KEY,NOTES,ENGLISH,FRENCH,SPANISH,GERMAN,ITALIAN,PORTUGUESE BR,PORTUGUESE,RUSSIAN,POLISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,,,,,,,,,,,,,
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,,,,,,,,,,,,,
FURNITURE.GRAVE,,Grave,,,,,,,,,,,,,
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.,,,,,,,,,,,,,
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,,,,,,,,,,,,,
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,,,,,,,,,,,,,
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,,,,,,,,,,,,,
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,,,,,,,,,,,,,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,,,,,,,,,,,,,
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,,,,,,,,,,,,,
FURNITURE.FORGE,,Forge,,,,,,,,,,,,,
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,,,,,,,,,,,,,
FURNITURE.MALTING_STATION,,Malting station,,,,,,,,,,,,,
FURNITURE.MALTING_STATION.TOOLTIP,,Here brewers steep barley and then dry it out using a kiln to produce malt. ,,,,,,,,,,,,,
FURNITURE.WATER_PUMP,,Water pump,,,,,,,,,,,,,
FURNITURE.WELL,,Well,,,,,,,,,,,,,
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system.",,,,,,,,,,,,,
FURNITURE.WINDMILL,,Windmill,,,,,,,,,,,,,
FURNITURE.WINDMILL.TOOLTIP,,"Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,,,,,,,,,,,,,
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,,,,,,,,,,,,,
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,,,,,,,,,,,,,
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},,,,,,,,,,,,,
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,Used to display how long a mushroom log submerged in water needs to be “shocked” for,Progress to shock mushroom log: {{progress}}%,,,,,,,,,,,,,
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GEM.AMETHYST.ADJECTIVE,,Amethyst,en améthyste,De amatista,Amethyst,di ametista,de ametista,De ametista,(аметист),Ametystowy,Amethist,Ametist-,Ametyst,Ametiszt,Ametistinen
GEM.AMETHYST.NOUN,,Amethyst,Améthyste,Amatista,Amethyst,Ametista,de ametista,Ametista,Аметист,Ametyst,Amethist,Ametist,Ametyst,Ametiszt,Ametisti
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,,,,,,,,,,,,,
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,en aigue-marine,De aguamarina,Aquamarin,di acquamarina,de água-marinha,De água-marinha,(аквамарин),Akwamarynowy,Aquamarijn,Akvamarin-,Akvamarin,Akvamarin,Akvamariininen
GEM.AQUAMARINE.NOUN,,Aquamarine,Aigue-marine,Aguamarina,Aquamarin,Acquamarina,de água-marinha,Água-marinha,Аквамарин,Akwamaryna,Aquamarijn,Akvamarin,Akvamarin,Akvamarin,Akvamariini
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,,,,,,,,,,,,,
GEM.CITRINE.ADJECTIVE,,Citrine,en citrine,De cuarzo,Zitrin,di citrino,de citrino,De citrino,(цитрин),Cytrynowy,Citrien,Citron-,Citrin,Sárga kvarc,Sitriininen
GEM.CITRINE.NOUN,,Citrine,Citrine,Cuarzo,Zitrin,Citrino,de citrino,Citrino,Цитрин,Cytryn,Citrien,Citrin,Citrin,Sárga kvarc,Sitriini
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",,,,,,,,,,,,,
GEM.DIAMOND.ADJECTIVE,,Diamond,en diamant,De diamante,Diamant,di diamante,de diamante,De diamante,(алмаз),Diamentowy,Diamanten,Diamant-,Diamant,Gyémánt,Timanttinen
GEM.DIAMOND.NOUN,,Diamond,Diamant,Diamante,Diamant,Diamante,de diamante,Diamante,Алмаз,Diament,Diamant,Diamant,Diamant,Gyémánt,Timantti
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,,,,,,,,,,,,,
GEM.EMERALD.ADJECTIVE,,Emerald,en émeraude,De esmeralda,Smaragd,di smeraldo,de esmeralda,De esmeralda,(изумруд),Szmaragdowy,Smaragd,Smaragd-,Smaragd,Smaragd,Smaragdinen
GEM.EMERALD.NOUN,,Emerald,Émeraude,Esmeralda,Smaragd,Smeraldo,de esmeralda,Esmeralda,Изумруд,Szmaragd,Smaragd,Smaragd,Smaragd,Smaragd,Smaragdi
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,,,,,,,,,,,,,
GEM.GARNET.ADJECTIVE,,Garnet,en grenat,De granate,Granat,di granato,de granada,De granada,(гранат),Granatowy,Granaten,Granat-,Granat,Gránát,Granaattinen
GEM.GARNET.NOUN,,Garnet,Grenat,Granate,Granat,Granato,de granada,Granada,Гранат,Granat,Granaat,Granat,Granat,Gránát,Granaatti
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",,,,,,,,,,,,,
GEM.JADE.ADJECTIVE,,Jade,en jade,De jade,Jade,di giada,de jade,De jade,(нефрит),Jadeitowy,Jaden,Jade-,Jade,Jáde,Jadekivinen
GEM.JADE.NOUN,,Jade,Jade,Jade,Jade,Giada ,de jade,Jade,Нефрит,Jadeit,Jade,Jade,Jade,Jáde,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",,,,,,,,,,,,,
GEM.JASPER.ADJECTIVE,,Jasper,en jaspe,De jaspe,Jaspis,di diaspro,de jaspe,De jaspe,(яшма),Jaspisowy,Jaspis,Jaspis-,Jaspis,Jáspis,Jaspiskivinen
GEM.JASPER.NOUN,,Jasper,Jaspe,Jaspe,Jaspis,Diaspro,de jaspe,Jaspe,Яшма,Jaspis,Jaspis,Jaspis,Jaspis,Jáspis,Jaspiskivi
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.",,,,,,,,,,,,,
GEM.MOONSTONE.ADJECTIVE,,Moonstone,en pierre de lune,De piedra lunar,Mondstein,di pietra di luna,de selenita,De pedra da lua,(лунный камень),Księżycowy,Maansteen,Månsten-,Månestein,Holdkő,Kuukivinen
GEM.MOONSTONE.NOUN,,Moonstone,Pierre de lune,Piedra lunar,Mondstein,Pietra di luna,de selenita,Pedra da lua,Лунный камень,Kamień księżycowy,Maansteen,Månsten,Månestein,Holdkő,Kuukivi
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",,,,,,,,,,,,,
GEM.MORGANITE.ADJECTIVE,,Morganite,en morganite,De morganita,Beryll,di morganite,de morganita,De morganite,(морганит),Morganitowy,Morganiet,Morganit-,Morganitt,Morganit,Morganiittinen
GEM.MORGANITE.NOUN,,Morganite,Morganite,Morganita,Beryll,Morganite,de morganita,Morganite,Морганит,Morganit,Morganiet,Morganit,Morganitt,Morganit,Morganiitti
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,,,,,,,,,,,,,
GEM.OPAL.ADJECTIVE,,Opal,en opale,De ópalo,Opal,di opale,de opala,De opala,(опал),Opalowy,Opaal,Opal-,Opal,Opál,Opaalinen
GEM.OPAL.NOUN,,Opal,Opale,Ópalo,Opal,Opale,de opala,Opala,Опал,Opal,Opaal,Opal,Opal,Opál,Opaali
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.",,,,,,,,,,,,,
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,en quartz,De cristal de roca,Bergkristall,di cristallo di rocca,de cristal de rocha,De cristal de rocha,(горный хрусталь),Kryształowy,Steenkristallen,Bergkristall-,Kvarts,Hegyikristály,Vuorikristallinen
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Quartz,Cristal de roca,Bergkristall,Cristallo di rocca,de cristal de rocha,Cristal de rocha,Горный хрусталь,Kryształ,Steenkristal,Bergkristall,Kvarts,Hegyikristály,Vuorikristalli
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,,,,,,,,,,,,,
GEM.RUBY.ADJECTIVE,,Ruby,en rubis,De rubí,Rubin,di rubino,de rubi,De rubi,(рубин),Rubinowy,Robijnen,Rubin-,Rubin,Rubint,Rubiininen
GEM.RUBY.NOUN,,Ruby,Rubis,Rubí,Rubin,Rubino,de rubi,Rubi,Рубин,Rubin,Robijn,Rubin,Rubin,Rubint,Rubiini
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",,,,,,,,,,,,,
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,en saphir,De zafiro,Saphir,di zaffiro,de safira,De safira,(сапфир),Szafirowy,Saffieren,Safir-,Safir,Zafír,Safiirinen
GEM.SAPPHIRE.NOUN,,Sapphire,Saphir,Zafiro,Saphir,Zaffiro,de safira,Safira,Сапфир,Szafir,Saffier,Safir,Safir,Zafír,Safiiri
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",,,,,,,,,,,,,
GEM.SPINEL.ADJECTIVE,,Spinel,en spinelle,De espinela,Spinell,di smeriglio,de espinela,De espinela,(шпинель),Spinelowy,Spinel,Spinell-,Spinell,Spinell,Spinellinen
GEM.SPINEL.NOUN,,Spinel,Spinelle,Espinela,Spinell,Smeriglio,de espinela,Espinela,Шпинель,Spinel,Spinel,Spinell,Spinell,Spinell,Spinelli
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.",,,,,,,,,,,,,
GEM.TANZANITE.ADJECTIVE,,Tanzanite,en tanzanite,De tanzanita,Tansanit,di tanzanite,de tanzanita,De tanzanite,(танзанит),Tanzanitowy,Tanzaniet,Tanzanite-,Tanzanitt,Tanzanit,Tansaniittinen
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanite,Tanzanita,Tansanit,Tanzanite,de tanzanita,Tanzanite,Танзанит,Tanzanit,Tanzaniet,Tanzanite,Tanzanitt,Tanzanit,Tansaniitti
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,,,,,,,,,,,,,
GEM.TOPAZ.ADJECTIVE,,Topaz,en topaze,De topacio,Topas,di topazio,de topázio,De topázio,(топаз),Topazowy,Topaas,Topas-,Topas,Topáz,Topaasinen
GEM.TOPAZ.NOUN,,Topaz,Topaze,Topacio,Topas,Topazio,de topázio,Topázio,Топаз,Topaz,Topaas,Topas,Topas,Topáz,Topaasi
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",,,,,,,,,,,,,
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,en tourmaline,De turmalina,Turmalin,di tormalina,de turmalina,De turmalina,(турмалин),Turmalinowy,Toermalijn,Turmalin-,Turmalin,Turmalin,Turmaliininen
GEM.TOURMALINE.NOUN,,Tourmaline,Tourmaline,Turmalina,Turmalin,Tormalina,de turmalina,Turmalina,Турмалин,Turmalin,Toermalijn,Turmalin,Turmalin,Turmalin,Turmaliini
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,,,,,,,,,,,,,
GEM.TURQUOISE.ADJECTIVE,,Turquoise,en turquoise,De turquesa,Türkis,di turchese,de turquesa,De turquesa,(бирюза),Turkusowy,Turkooizen,Turkos-,Turkis,Türkiz,Turkoosinen
GEM.TURQUOISE.NOUN,,Turquoise,Turquoise,Turquesa,Türkis,Turchese,de turquesa,Turquesa,Бирюза,Turkus,Turkoois,Turkos,Turkis,Türkiz,Turkoosi
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,,,,,,,,,,,,,
GEM.AMMOLITE.ADJECTIVE,,Ammolite,,,,,,,,,,,,,
GEM.AMMOLITE.NOUN,,Ammolite,,,,,,,,,,,,,
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,,,,,,,,,,,,,
GEM.PAINITE.ADJECTIVE,,Painite,,,,,,,,,,,,,
GEM.PAINITE.NOUN,,Painite,,,,,,,,,,,,,
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,,,,,,,,,,,,,
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,,,,,,,,,,,,,
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,,,,,,,,,,,,,
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,,,,,,,,,,,,,
GEM.BIXBITE.ADJECTIVE,,Bixbite,,,,,,,,,,,,,
GEM.BIXBITE.NOUN,,Bixbite,,,,,,,,,,,,,
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",,,,,,,,,,,,,
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,,,,,,,,,,,,,
GEM.LAPIS.NOUN,,Lapis lazuli,,,,,,,,,,,,,
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,,,,,,,,,,,,,
GEM.LABRADORITE.ADJECTIVE,,Labradorite,,,,,,,,,,,,,
GEM.LABRADORITE.NOUN,,Labradorite,,,,,,,,,,,,,
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,,,,,,,,,,,,,
GEM.MAGNESITE.ADJECTIVE,,Magnesite,,,,,,,,,,,,,
GEM.MAGNESITE.NOUN,,Magnesite,,,,,,,,,,,,,
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,,,,,,,,,,,,,
GEM.CINNABAR.ADJECTIVE,,Cinnabar,,,,,,,,,,,,,
GEM.CINNABAR.NOUN,,Cinnabar,,,,,,,,,,,,,
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Collectant : {{targetDescription}},Recogiendo {{targetDescription}},Sammelt {{targetDescription}},Sta raccogliendo: {{targetDescription}},Coletando {{targetDescription}},A recolher {{targetDescription}},Собирает: {{targetDescription}},Zbieranie {{targetDescription}},,,,,
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transportant : {{itemDescription}},Transportando {{itemDescription}},Transportiert {{itemDescription}},Sta trasportando: {{itemDescription}},Transportando {{targetDescription}},Carregar {{itemDescription}},Переносит: {{itemDescription}},Transportowanie {{itemDescription}},{{itemDescription}} sjouwen,Släpa {{itemDescription}},Frakter {{itemDescription}},,Kuljetus: {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Libre,Descansando,Unbeschäftigt,Non sta facendo niente,À toa,Inativo,Бездельничает,Bezczynny,Nietsdoend,Inaktiv,Ledig,,Joutilas
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Va dormir,Yendo a dormir,Geht schlafen,Sta andando a dormire,Indo dormir,A ir para a cama,Идет спать,Idzie spać,,,,,
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Transférant : {{targetZoneMaterial}},Transfiriendo {{targetZoneMaterial}},Füllt {{targetZoneMaterial}} um,Sta trasferendo: {{targetZoneMaterial}},Transferindo {{targetZoneMaterial}},A transferir {{targetZoneMaterial}},Переносит: {{targetZoneMaterial}},Przenosi {{targetZoneMaterial}},,,,,
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},,,,,,,,,,,,,
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},,,,,,,,,,,,,
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},,,,,,,,,,,,,
GOAL.ON_FIRE.DESCRIPTION,,On fire!,,,,,,,,,,,,,
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Ajouter/retirer des cases,Añadir/eliminar baldosas,Felder hinzufügen/entfernen,Aggiungi/Rimuovi caselle,Adicionar/remover áreas,Adicionar/remover mosaicos,Добавление/удаление квадратов,Dodaj/usuń kafelki,,,,,
GUI.ADD_TILES,This should be as short as possible,Add tiles,Ajouter des cases,Añadir baldosas,Felder hinzufügen,Aggiungi caselle,Adicionar áreas,Adicionar mosaicos,Добавить квадраты,Dodaj kafelki,Tegels toevoegen,Lägg till paneler,Legg til felter,Mezők hozzáadása,Lisää ruutuja
GUI.BACK_LABEL,This should be as short as possible,Back,Retour ,Atrás,Zurück ,Indietro,Voltar,Anterior,Назад,Wstecz ,Vorige,Tillbaka ,Tilbake,Vissza,Taakse
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Portes,Puertas,Türen,Porte,Portas,Portas,Двери,Drzwi,,,,,
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,,,,,,,,,,,,,
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,,,,,,,,,,,,,
GUI.BUILD.WALLS,,Walls,Murs,Muros,Wände,Pareti,Paredes,Paredes,Стены,Ściany,,,,,
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,En L,Forma en L,L-Form,Angolo,Em L,Forma em L,Г-образное соединение,Kształt L,,,,,
GUI.BUILD.WALLS.ROOM,For building 4 walls and a roof at once,Room,,,,,,,,,,,,,
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Simple,Única,Einzeln,Singola,Individual,Simples,Одинарное,Pojedynczy,,,,,
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Meubles,Muebles,Möbel,Suppellettili,Mobília,Mobília,Мебель,Meble,Meubels,Möbler,Møbler,Búrotok,Huonekalut
GUI.BUILD.PIPING,,Pipes,,,,,,,,,,,,,
GUI.BUILD.POWER,,Power,,,,,,,,,,,,,
GUI.BUILD.ROOFING,,Roofing,,,,,,,,,,,,,
GUI.ROOFING.ADD,,Add,,,,,,,,,,,,,
GUI.BUILD_LABEL,This should be as short as possible,Build,Construire ,Construir ,Bauen ,Costruisci,Construir,Construir ,Построить,Buduj,Bouwen,Bygg,Bygg,Építés,Rakenna
GUI.CHANGE_PROFESSION_LABEL,,Change profession,,,,,,,,,,,,,
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,Annuler ,Cancelar ,Abbrechen ,Annulla,Cancelar,Cancelar ,Отмена,Anuluj ,Annuleren ,Avbryt ,Avbryt,Mégse,Peruuta
GUI.CROP_SELECTION,,Crop:,Culture:,Cosecha:,Pflanze:,Coltura:,Cultivo:,Plantação:,Культура:,Plon:,,,,,
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}, year {{year}}","{{timeOfDay}}, jour {{dayNumber}}, {{season}}, an {{year}}","{{timeOfDay}}, día {{dayNumber}}, año {{season}}, {{year}}","{{timeOfDay}}, Tag {{dayNumber}}, {{season}}, jahr {{year}}","{{timeOfDay}}, {{dayNumber}}° giorno, {{season}}, anno {{year}}","{{timeOfDay}}, dia {{dayNumber}}, {{season}}","{{timeOfDay}}, dia {{dayNumber}}, {{season}}","{{timeOfDay}}, день {{dayNumber}}, {{season}}","{{timeOfDay}} , dzień {{dayNumber}} , {{season}}",,,,,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Appartient à {{name}},Asignado a {{name}},Zugewiesen zu {{name}},Oggetto assegnato a: {{name}},Atribuição: {{name}},Atribuído a {{name}},Принадлежит: {{name}},Przypisano do {{name}},,,,,
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Retrait en cours,Se está eliminando,Wird gerade entfernt,Rimozione in corso,Em remoção,Atualmente em remoção,В процессе удаления,Trwa usuwanie,,,,,
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Vide (en jachère),Nada (en barbecho),Keine (Brachfläche),Nessuna (lascia incolto),Nada (deixar em repouso),Nenhum (pousio),Ничего (оставить под паром),Brak (pozostawić odłogiem),,,,,
GUI.NEXT_LABEL,This should be as short as possible,Next,Suivant,Seguir,Weiter,Avanti,Seguinte,Seguinte,Далее,Dalej,Volgende,Nästa,Neste,Következő,Eteen
GUI.OK_LABEL,This should be as short as possible,Ok,OK,Ok,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Couper,Talar,Hacken,Taglia,Cortar,Cortar,Рубить,Rąb,Houthakken,Hugga,Hugg,Favágás,Hakkaa
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Arracher,Despejar,Aufräumen,Rimuovi,Limpar,Limpar,Расчистить,Sprzątaj,Ontginnen,Rensa,Rydd,Megtisztít,Tyhjentää
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Récolter ,Cosechar,Ernten,Raccogli,Colher,Colher,Собирать,Zbieraj,Oogsten,Skörda,Høst inn,Begyűjtés,Korjaa
GUI.ORDERS.MINE,This should be as short as possible,Mine,Miner,Excavar,Graben ,Scava,Minerar,Escavar,Добывать,Kop,Delven,Gräva,Utvinn,Bányászat,Louhi
GUI.ORDERS.EXTINGUISH_FLAMES,This should be as short as possible - used to put out fires by throwing buckets of water on them,Extinguish,,,,,,,,,,,,,
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,,,,,,,,,,,,,
GUI.ORDERS.DIG_CHANNELS,This should be as short as possible - used to dig channels in the ground for water to run through to irrigate crops,Irrigation,,,,,,,,,,,,,
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,,,,,,,,,,,,,
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Ordres ,Pedidos ,Bestellungen ,Ordini,Ordens,Encomendas ,Приказы,Rozkazy,Orders ,Order,Bestillinger,Parancsok,Käskyt
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,,,,,,,,,,,,,
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Retirer,Eliminar,Entfernen,Rimuovi,Remover,Remover,Удалить,Usuń,Verwijderen,Ta bort,Fjern,Eltávolít,Poista
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Retirer des cases,Eliminar baldosas,Felder entfernen,Rimuovi caselle,Remover áreas,Remover mosaicos,Удалить квадраты,Usuń kafelki,Tegels verwijderen,Ta bort paneler,Fjern felter,Mezők eltávoltása,Poista ruutuja
GUI.EMPTY_CONTAINER_LABEL,This should be as short as possible,Empty,,,,,,,,,,,,,
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,,,,,,,,,,,,,
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,,,,,,,,,,,,,
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Appuyez sur (R) pour pivoter les meubles,Pulsa (R) para rotar los muebles,Zum Rotieren der Möbel (R) drücken,Premi (R) per ruotare le suppellettili,Aperte (R) para girar a mobília,Premir (R) para rodar mobília,"Нажмите (R), чтобы повернуть мебель","Wciśnij (R), aby obrócić mebel",Druk op (R) om meubels te draaien,Tryck på (R) för att rotera möbler,Trykk på (R) for å rotere møbler,Bútor fordítása (R),Kierrä huonekaluja painamalla (R)
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,,,,,,,,,,,,,
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,,,,,,,,,,,,,
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,,,,,,,,,,,,,
GUI.ZONES_LABEL,This should be as short as possible,Zones,Zones,Zonas,Zonen,Zone,Zonas,Áreas,Зоны,Strefy,Zones,Zoner,Soner,Zónák,Vyöhykkeet
GUI.MUSIC_VOLUME,,Music volume:,Volume de la musique:,Volumen de la música:,Musiklautstärke:,Volume della musica:,Volume da música:,Volume da música:,Громкость музыки:,Głośność muzyki:,,,,,
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Volume des effets sonores,Volumen de los efectos de sonido,Soundeffektlautstärke,Volume degli effetti sonori,Volume dos efeitos sonoros,Volume de efeitos sonoros,Громкость эффектов,Głośność efektów ,,,,,
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,,,,,,,,,,,,,
