KEY,NOTES,ENGLISH,SPANISH
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","A menudo se cree que protege al usuario de la atención de los demonios, los zafiros son muy buscados por los magos para su uso en la magia del cielo y el aire."
GEM.SPINEL.ADJECTIVE,,Spinel,De espinela
GEM.SPINEL.NOUN,,Spinel,Espinela
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","A menudo confundidas con piedras celestiales como rubíes y zafiros verdaderos, las espinelas son una forma menor de gema impregnada de magia que puede asociarse con cualquiera de los elementos, dependiendo del color."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,De tanzanita
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanita
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,Una piedra preciosa rara que puede alternar entre azul y violeta. Se cree que está formado a partir del cuerpo material de un dios muerto.
GEM.TOPAZ.ADJECTIVE,,Topaz,De topacio
GEM.TOPAZ.NOUN,,Topaz,Topacio
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","A veces confundido con la gema más común {{GEM.CITRINE.NOUN}}, el topacio se puede encontrar en varios colores, pero más comúnmente un marrón amarillento. Fue descubierto por primera vez en una isla que ya no existe."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,De turmalina
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalina
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,A menudo se encuentra junto a {{ORE.CASSITERITE.ADJECTIVE}} mineral. A veces se asocia con la magia de la tierra.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,De turquesa
GEM.TURQUOISE.NOUN,,Turquoise,Turquesa
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Un mineral azul-verde a menudo utilizado en decoraciones. Se cree que trae buena suerte al portador. A menudo se infunde con el elemento de la tierra.

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Recogiendo {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Beber {{targetZoneMaterial}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Comer {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transportando {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Descansando
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Yendo a dormir
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Transfiriendo {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Añadir/eliminar baldosas
GUI.ADD_TILES,This should be as short as possible,Add tiles,Añadir baldosas
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Volumen del efecto de la atmósfera ambiente:
GUI.BACK_LABEL,This should be as short as possible,Back,Atrás
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Puente
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Puertas
GUI.BUILD.WALLS,,Walls,Muros
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,Forma en L
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,Cuatro paredes
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Única
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Muebles
GUI.BUILD_LABEL,This should be as short as possible,Build,"Construir "
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,"Cancelar "
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Cambiar profesión
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),
GUI.CROP_SELECTION,,Crop:,Cosecha:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}}, día {{dayNumber}}, {{season}}"
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,
GUI.DIALOG.DISMISS,,Dismiss,Despedir
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Ya existe una habitación con ese nombre.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,No se pudo cargar el archivo guardado porque no es compatible con esta versión del juego.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Ha ocurrido un error
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Se produjo un error inesperado al cargar el juego.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Se produjo un error inesperado al guardar el juego.
GUI.DIALOG.INFO_TITLE,,Information,Información
GUI.DIALOG.JUMP_TO,,Go to location,Ir a la ubicación
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,La traducción del idioma seleccionado está incompleta y le faltará texto. Se utilizará un lenguaje alternativo.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Has seleccionado un conjunto diferente de mods para aplicar al juego. Estos se aplicarán cuando se reinicie el juego.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Uno o varios mods son incompatibles con esta versión del juego y han sido desactivados. Puede buscar actualizaciones en el menú de mods.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Cambiar nombre de habitación
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Debe reiniciar el juego para que este cambio surta efecto
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Asignado a {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Se está eliminando
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Este mobiliario debe colocarse en {{materialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Pantalla completa
GUI.GRAPHICS.RESOLUTION,,Resolution,Resolución
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Nada (en barbecho)
GUI.MINIMAP.LABEL,,Minimap,Minimapa
GUI.MUSIC_VOLUME,,Music volume:,Volumen de la música:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Nueva versión disponible en Itch.io
GUI.NEXT_LABEL,This should be as short as possible,Next,Seguir
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Este mobiliario no se puede girar en esta versión del juego
GUI.OK_LABEL,This should be as short as possible,Ok,Ok
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Opciones de sonido
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Hacer que los árboles sean transparentes al oscurecer a los colonos
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Pausa para notificaciones
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Opciones de juego
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Desplazarse cuando el cursor está en el borde de la pantalla
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Ajustes de vídeo "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Permitir informes de bloqueos automáticos
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Misceláneo
GUI.OPTIONS.TAB.AUDIO,,Audio,
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,
GUI.OPTIONS.TAB.MISC,,Other,
GUI.OPTIONS.TAB.TWITCH,,Twitch,
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Talar
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Despejar
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Cosechar
GUI.ORDERS.MINE,This should be as short as possible,Mine,Excavar
GUI.ORDERS_LABEL,This should be as short as possible,Orders,"Pedidos "
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Un puente debe cubrir ambos lados del río y tener al menos 3x3 azulejos de tamaño
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Eliminar
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Eliminar baldosas
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Recursos
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Disponible: {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Pulsa (R) para rotar los muebles
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Guardando…
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Muerto: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Población: {{count}}
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Colonos
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Total: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Volumen de los efectos de sonido
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Tamaño de interfaz:
GUI.VIEW_ROADMAP,,View development roadmap,
GUI.ZONES_LABEL,This should be as short as possible,Zones,Zonas

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWL,,Going sober,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Comí una comida bien preparada
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Llevaba un cadáver.
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Bebió agua de río
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Muerto de hambre
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Deshidratado críticamente
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Optimistas sobre la nueva solución
HAPPINESS_MODIFIER.POISONED,,Poisoned,Envenenado
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Vi un cadáver.
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",Dormía en un amplio dormitorio privado
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,Dormía en un dormitorio privado
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Compartió un dormitorio con otros
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Dormía en un dormitorio estrecho
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Dormí en terreno áspero
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Dormí bajo las estrellas
HAPPINESS_MODIFIER.TITLE,,Happiness:,Felicidad:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Muy hambriento
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Muy sediento
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Extremadamente cansado

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} asignado a {{targetDescription}}

HINT.BUTTON.DISABLE_ALL,,Disable all hints,Deshabilitar todas las sugerencias
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,Sólo sugerencias
HINT.BUTTON.NEXT,,Next,Próximo
HINT.BUTTON.TUTORIAL,,Tutorial,Tutorial
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",
HINT.PROGRESS.HEADER,,Progress:,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","¡Bienvenido al mundo de King under the Mountain! Esta es una versión alfa temprana del juego con muchas más características y elementos de juego aún por implementarse. Su intrépida banda de colonos enanos ha elegido este lugar para fundar una nueva colonia de su reino. Proporcionar comida, refugio y prosperidad y quién sabe, tal vez algún día esta será la capital de un reino propio!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",TEXTO

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{profession.noun}} {{race.adjective}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Masa
INGREDIENT.FLOUR,,Flour,Harina
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Hogaza
INGREDIENT.LOAF.PLURAL,,Loaves,Hogazas
INGREDIENT.MALT.SACK.NOUN,,Malt,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Desaparición de hongos
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Desaparición de hongos
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","También conocido como micelio, esto se puede considerar como «semillas» de las cuales cultivar hongos en un {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Semilla
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Semillas
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Las semillas del tipo correcto son necesarias para plantar en un {{ROOMS.FARM}}. También deben estar disponibles en una reserva de {{STORINE.GRANARY}}.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Saco

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Inventario:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Combustible
ITEM_GROUP.PRODUCT.PLURAL,,Products,Productos
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Recursos
ITEM_GROUP.TOOL.PLURAL,,Tools,Herramientas

LANGUAGE.LABEL,,Language,Idioma

LIQUID.BEER.NOUN,,Beer,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,
LIQUID.WATER.NOUN,,Water,Agua
LIQUID.WORT.NOUN,,Wort,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",

MADNESS.BROKEN.ADJECTIVE,,Broken,Roto
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",Este colono era tan infeliz que han sido empujados más allá del punto de ruptura y ya no va a trabajar o incluso comer!

MATERIAL,Used for specifying which material something is made out of,Material,Material

MATERIAL_TYPE,,Type,Tipo de material
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Cualquiera
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,De tierra
MATERIAL_TYPE.EARTH.NOUN,,Earth,Tierra
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Comida
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,{{BLANK}}
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,De metal
MATERIAL_TYPE.METAL.NOUN,,Metal,Metal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,{{BLANK}}
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Otro
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Semilla
MATERIAL_TYPE.STONE.ADJECTIVE,,,De piedra
MATERIAL_TYPE.STONE.NOUN,,Stone,Piedra
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,De verduras
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol de
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,De madera
MATERIAL_TYPE.WOOD.NOUN,,Wood,Madera

MENU.CONTINUE_GAME,,Continue game,Continuar partida
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,Start new game,Comenzar partida nueva
MENU.OPTIONS,,Options,Opciones
MENU.QUIT,,Quit,Salir
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Pantalla completa (sí/no)

METAL.BRONZE.ADJECTIVE,,Bronze,De bronce
METAL.BRONZE.NOUN,,Bronze,Bronce
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Bronce es una aleación de cobre y estaño. Es más duro y mucho más duradero que el cobre solo. (Las aleaciones aún no se han implementado en King under the Mountain)
METAL.COPPER.ADJECTIVE,,Copper,De cobre
METAL.COPPER.NOUN,,Copper,Cobre
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Además de ocurrir naturalmente como {{ORE.NATIVE_COPPER.NOUN}}, también es fácil de oler de {{ORE.MALACHITE.NOUN}} mineral. El cobre tiene muchos usos, especialmente en la acuñación, aunque no es lo suficientemente difícil para crear armas efectivas."
METAL.GOLD.ADJECTIVE,,Golden,De oro
METAL.GOLD.NOUN,,Gold,Oro
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","El rey de los metales. Aunque no es el más raro ni el más valioso, el oro es el metal más codiciado por la mayoría de las razas, especialmente los enanos."
METAL.IRON.ADJECTIVE,,Iron,De hierro
METAL.IRON.NOUN,,Iron,Hierro
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,Es un ejército pobre que no tiene acceso al hierro. Los metaleros enanos conocen los secretos de trabajar en {{METAL.STEEL.NOUN}}.
METAL.PLATINUM.ADJECTIVE,,Platinum,Platino
METAL.PLATINUM.NOUN,,Platinum,Platino
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,"Un metal blanco plateado que es altamente resistente a la corrosión. El platino es más raro y, por lo tanto, más valioso que {{METAL.GOLD.NOUN}}."
METAL.SILVER.ADJECTIVE,,Silver,Plata
METAL.SILVER.NOUN,,Silver,Plata
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ","Al igual que {{METAL.GOLD.NOUN}}, la plata se usa a menudo para acuñar y como barras sólidas para el comercio de riqueza."
METAL.STEEL.ADJECTIVE,,Steel,De acero
METAL.STEEL.NOUN,,Steel,Acero
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Mucho más fuerte que {{METAL.IRON.NOUN}} que hace para armas y herramientas superiores, sólo los enanos conocen el secreto de crear acero."
METAL.TIN.ADJECTIVE,,Tin,Estaño
METAL.TIN.NOUN,,Tin,Hojalata
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),El estaño se puede fundir desde {{ORE.CASSITERITE.NOUN}} y alear con {{METAL.COPPER.NOUN}} para producir {{METAL.BRONZE.NOUN}}. (Las aleaciones aún no se han implementado en King under the Mountain)

MODS.APPLY,,Apply,Aplicar
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Sí
MODS.COMPATIBILITY.INCOMPATIBLE,,No,No
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Desconocido
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Este archivo de guardado se utilizó por última vez mientras los siguientes mods estaban activos. Estos mods ahora faltan o están deshabilitados, por lo que es posible que el guardado no se cargue correctamente."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","No se pudo cargar el archivo guardado porque es incompatible con esta versión del juego o porque algunos mods se han deshabilitado o eliminado desde la última vez que se cargó este guardado. Se esperaban los siguientes mods, pero ya no están activos:"
MODS.TABLE.COMPATIBILITY,,Compatible?,¿Compatible?
MODS.TABLE.ENABLED,,Enabled?,¿Activado?
MODS.TABLE.NAME,,Mod Name,Nombre del mod
MODS.TABLE.ORDERING,,Re-order,Reordenar
MODS.TABLE.VERSION,,Mod Version,Versión Mod

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Beber
NEEDS.FOOD,,Food,Comida
NEEDS.SLEEP,,Sleep,Duerme

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,¡Sus mineros han descubierto una nueva área!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Exploración
