KEY,NOTES,ENGLISH,PORTUGUESE
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Às vezes confundido com a gema {{GEM.CITRINE.NOUN}} mais comum, topázio pode ser encontrado em várias cores, mas mais comumente um marrom amarelado. Foi descoberto pela primeira vez numa ilha que já não existe."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,De turmalina
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalina
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Frequentemente encontrado junto com {{ORE.CASSITERITE.ADJECTIVE}} minério. Às vezes é associado com a magia da Terra.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,De turquesa
GEM.TURQUOISE.NOUN,,Turquoise,Turquesa
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Um mineral azul-verde freqüentemente usado em decorações. Pensa-se que trará boa sorte ao portador. Muitas vezes é infundido com o elemento da terra.

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},A recolher {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Beber {{targetZoneMaterial}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Comer {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Carregar {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Inativo
GOAL.SLEEP.DESCRIPTION,,Going to sleep,A ir para a cama
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},A transferir {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Adicionar/remover mosaicos
GUI.ADD_TILES,This should be as short as possible,Add tiles,Adicionar mosaicos
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Volume do efeito da atmosfera ambiente:
GUI.BACK_LABEL,This should be as short as possible,Back,Anterior
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Ponte
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Portas
GUI.BUILD.WALLS,,Walls,Paredes
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,Forma em L
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,Quadriculado
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Simples
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Mobília
GUI.BUILD_LABEL,This should be as short as possible,Build,"Construir "
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,"Cancelar "
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Mudar de profissão
GUI.CROP_SELECTION,,Crop:,Plantação:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}}, dia {{dayNumber}}, {{season}}"
GUI.DIALOG.DISMISS,,Dismiss,Dispensar
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Já existe uma sala com esse nome.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,O arquivo salvo não pôde ser carregado porque é incompatível com esta versão do jogo.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Ocorreu um erro
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Ocorreu um erro inesperado ao carregar o jogo.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Ocorreu um erro inesperado ao salvar o jogo.
GUI.DIALOG.INFO_TITLE,,Information,Informação
GUI.DIALOG.JUMP_TO,,Go to location,Ir para o local
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,A tradução do idioma selecionado está atualmente incompleta e faltará algum texto. Uma linguagem de fallback será usada.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Você selecionou um conjunto diferente de mods a serem aplicados ao jogo. Estes serão aplicados quando o jogo for reiniciado da próxima vez.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Um ou mais mods são incompatíveis com esta versão do jogo e foram desativados. Você pode verificar se há atualizações no menu mods.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Renomear sala
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Você deve reiniciar o jogo para que essa alteração entre em vigor
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Atribuído a {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Atualmente em remoção
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Este mobiliário deve ser colocado em {{materialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Ecrã inteiro
GUI.GRAPHICS.RESOLUTION,,Resolution,Resolução
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Nenhum (pousio)
GUI.MINIMAP.LABEL,,Minimap,Minimapa
GUI.MUSIC_VOLUME,,Music volume:,Volume da música:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Nova versão agora disponível no ItC.io
GUI.NEXT_LABEL,This should be as short as possible,Next,Seguinte
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Este mobiliário não pode ser girado nesta versão do jogo
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Opções de Som
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Tornar as árvores transparentes ao obscurecer os colonos
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Pausar para notificações
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Opções de Jogo
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Role quando o cursor estiver na borda da tela
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Opções Gráficas "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Permitir relatórios de falhas automáticos
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Diversos
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Cortar
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Limpar
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Colher
GUI.ORDERS.MINE,This should be as short as possible,Mine,Escavar
GUI.ORDERS_LABEL,This should be as short as possible,Orders,"Encomendas "
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Uma ponte deve cobrir ambos os lados do rio e ter pelo menos 3x3 telhas de tamanho
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Remover
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Remover mosaicos
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Recursos
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Disponível: {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Premir (R) para rodar mobília
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,A guardar…
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Morto: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},População: {{count}}
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Colonos
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Total: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Volume de efeitos sonoros
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Tamanho da interface:
GUI.ZONES_LABEL,This should be as short as possible,Zones,Áreas

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWL,,Going sober,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Comi uma refeição bem preparada
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Carregava um cadáver
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Bebeu água do rio
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Morrendo de fome
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Criticamente desidratado
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Otimista sobre o novo assentamento
HAPPINESS_MODIFIER.POISONED,,Poisoned,Envenenado
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Vi um cadáver.
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",Dormi em um quarto espaçoso e privado
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,Dormi em um quarto privado
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Compartilhou um quarto com outras pessoas
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Dormi em um quarto apertado
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Dormiu em terreno acidentado
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Dormiu sob as estrelas
HAPPINESS_MODIFIER.TITLE,,Happiness:,Felicidade:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Muito faminta.
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Muito sedento.
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Extremamente cansado

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} atribuído a {{targetDescription}}

HINT.BUTTON.DISABLE_ALL,,Disable all hints,Desativar todas as dicas
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,Somente dicas
HINT.BUTTON.NEXT,,Next,Próximo
HINT.BUTTON.TUTORIAL,,Tutorial,Tutorial
HINT.PROGRESS.HEADER,,Progress:,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","Bem-vindo ao mundo do Rei sob a Montanha! Esta é uma versão alfa inicial do jogo com muitos mais recursos e elementos de jogabilidade ainda por implementar. Seu grupo intrépido de colonos anões escolheu este local para fundar uma nova colônia do reino deles. Proporcionar comida, abrigo e prosperidade e quem sabe, talvez um dia esta seja a capital de um reino próprio!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",TEXTO

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Massa
INGREDIENT.FLOUR,,Flour,Farinha
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Pão de forma
INGREDIENT.LOAF.PLURAL,,Loaves,Pães de forma
INGREDIENT.MALT.SACK.NOUN,,Malt,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Cogumelos desovados
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Cogumelos desovados
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Também conhecido como micélio, isso pode ser pensado como “sementes” para cultivar cogumelos em um {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Semente
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Sementes
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Sementes do tipo certo são necessárias para plantar em {{ROOMS.FARM}}. Eles também precisam estar disponíveis em um estoque {{STOCKPILE.GRANARY}}.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Saco

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Inventário:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Combustível
ITEM_GROUP.PRODUCT.PLURAL,,Products,Produtos
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Recursos
ITEM_GROUP.TOOL.PLURAL,,Tools,Ferramentas

LANGUAGE.LABEL,,Language,Idioma

LIQUID.BEER.NOUN,,Beer,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,
LIQUID.WATER.NOUN,,Water,Água
LIQUID.WORT.NOUN,,Wort,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",

MADNESS.BROKEN.ADJECTIVE,,Broken,Quebrado
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",Este colono estava tão infeliz que eles foram empurrados para além do ponto de ruptura e não vai mais trabalhar ou mesmo comer!

MATERIAL,Used for specifying which material something is made out of,Material,Material

MATERIAL_TYPE,,Type,Tipo
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Qualquer
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,Terráqueo
MATERIAL_TYPE.EARTH.NOUN,,Earth,Terra
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Comida
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Joia
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,De metal
MATERIAL_TYPE.METAL.NOUN,,Metal,Metal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Minério
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Outro
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Semente
MATERIAL_TYPE.STONE.ADJECTIVE,,,De pedra
MATERIAL_TYPE.STONE.NOUN,,Stone,Pedra
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Vegetal
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol de
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,De madeira
MATERIAL_TYPE.WOOD.NOUN,,Wood,Madeira

MENU.CONTINUE_GAME,,Continue game,Continuar jogo
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,Start new game,Iniciar novo jogo
MENU.OPTIONS,,Options,Opções
MENU.QUIT,,Quit,Sair
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Alternar ecrã inteiro

METAL.BRONZE.ADJECTIVE,,Bronze,De bronze
METAL.BRONZE.NOUN,,Bronze,Bronze
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Bronze é uma liga de cobre e estanho. É mais difícil e muito mais durável do que o cobre sozinho. (Ligas ainda não foram implementadas no Rei sob a Montanha)
METAL.COPPER.ADJECTIVE,,Copper,De cobre
METAL.COPPER.NOUN,,Copper,Cobre
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Além de ocorrer naturalmente como {{ORE.NATIVE_COPPER.NOUN}}, também é fácil de fundir a partir de {{ORE.MALACHITE.NOUN}} minério. O cobre tem muitos usos, particularmente em cunhagem, embora não seja difícil o suficiente para criar armas eficazes."
METAL.GOLD.ADJECTIVE,,Golden,De ouro
METAL.GOLD.NOUN,,Gold,Ouro
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","O rei dos metais. Embora não seja o mais raro ou o mais valioso, o ouro é o metal mais cobiçado pela maioria das raças — particularmente os anões."
METAL.IRON.ADJECTIVE,,Iron,De ferro
METAL.IRON.NOUN,,Iron,Ferro
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,É um militar pobre que não tem acesso ao ferro. Metalferreiros anões conhecem os segredos de trabalhar isso em {{METAL.STEEL.NOUN}}.
METAL.PLATINUM.ADJECTIVE,,Platinum,Platina
METAL.PLATINUM.NOUN,,Platinum,Platina
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,"Um metal prateado e branco altamente resistente à corrosão. A platina é mais rara e, portanto, mais valiosa do que {{METAL.GOLD.NOUN}}."
METAL.SILVER.ADJECTIVE,,Silver,Prata
METAL.SILVER.NOUN,,Silver,Prata
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ","Como {{METAL.GOLD.NOUN}}, a prata é frequentemente usada para moedas e como barras sólidas para a negociação de riqueza."
METAL.STEEL.ADJECTIVE,,Steel,De aço
METAL.STEEL.NOUN,,Steel,Aço
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Muito mais forte do que {{METAL.IRON.NOUN}} o que torna armas e ferramentas superiores, apenas os anões sabem o segredo da criação de aço."
METAL.TIN.ADJECTIVE,,Tin,Lata
METAL.TIN.NOUN,,Tin,Latão
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),A lata pode ser fundida a partir de {{ORE.CASSITERITE.NOUN}} e ligada a {{METAL.COPPER.NOUN}} para produzir {{METAL.BRONZE.NOUN}}. (Ligas ainda não foram implementadas no Rei sob a Montanha)

MODS.APPLY,,Apply,Aplicar
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Sim
MODS.COMPATIBILITY.INCOMPATIBLE,,No,Não
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Desconhecido
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Este arquivo de salvamento foi usado pela última vez enquanto os seguintes mods estavam ativos. Esses mods agora estão ausentes ou desativados, portanto, o salvamento pode não ser carregado corretamente."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","O arquivo de salvamento não pôde ser carregado porque ele é incompatível com esta versão do jogo, ou porque alguns mods foram desativados ou removidos desde que este salvamento foi carregado pela última vez. Os seguintes mods eram esperados, mas não estão mais ativos:"
MODS.TABLE.COMPATIBILITY,,Compatible?,Compatível?
MODS.TABLE.ENABLED,,Enabled?,Ativado?
MODS.TABLE.NAME,,Mod Name,Nome do Mod
MODS.TABLE.ORDERING,,Re-order,Reordenar
MODS.TABLE.VERSION,,Mod Version,Versão do Mod

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Bebida
NEEDS.FOOD,,Food,Comida
NEEDS.SLEEP,,Sleep,Durma

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Seus mineiros descobriram uma nova área!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Exploração
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, morreu devido a {{reason}}."
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Morreu devido a {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler death,Morte de colono
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Todas as coisas devem chegar ao fim. Seu assentamento está abandonado.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Fim de jogo
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,A prosperidade do seu assentamento atraiu uma série de novos imigrantes para impulsionar a sua população.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Imigração
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Uma área cedeu devido à falta de pilares e suportes.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Colapso de mineração
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,As dificuldades exaustivas provaram ser demais para lidar com {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Intervalo mental

ORE.BAUXITE.ADJECTIVE,,Bauxite,Bauxita
ORE.BAUXITE.NOUN,,Bauxite,Bauxita
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.","A bauxita é o minério primário do alumínio. Infelizmente, ainda não foi descoberto um meio de produção de alumínio."
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Carvão betuminoso
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Hematite
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Isso pode ser convertido em {{ORE.COKE.NOUN}} usando um {{MOBILITURE.COKE_OVEN}}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,Cassiterita
ORE.CASSITERITE.NOUN,,Cassiterite,Cassiterite
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,Um minério que pode ser fundido para produzir {{METAL.TIN.NOUN}}.
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Carvão
ORE.CHARCOAL.NOUN,,Charcoal,Carvão
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} produzido a partir de madeira {{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Crisócolla
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Crisócolla
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Muitas vezes confundido com turquesa, é na verdade um minério de {{METAL.COPPER}}."
ORE.COKE.ADJECTIVE,,Coke,Coca
ORE.COKE.NOUN,,Coke,Coca
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,Uma forma refinada de {{ORE.BITUMINOUS_COAL}} que pode ser usada como {{FUEL.SACK}}.
ORE.GALENA.ADJECTIVE,,Galena,Galena
ORE.GALENA.NOUN,,Galena,Galena
