KEY,NOTES,ENGLISH,DANISH
GOAL.DRINK.DESCRIPTION,,Drinking {{targetZoneMaterial}},Drikker {{targetZoneMaterial}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Spise {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Hauling {{targetDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,- Itomgang
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Skal til at sove
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Overførsel {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Tilføj/fjern fliser
GUI.ADD_TILES,This should be as short as possible,Add tiles,Tilføj fliser
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Volumen i atmosfæren:
GUI.BACK_LABEL,This should be as short as possible,Back,Tilbage
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Broen
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Døre
GUI.BUILD.WALLS,,Walls,Vægge
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,L-form
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,Quad
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Enkelt
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Møbler
GUI.BUILD_LABEL,This should be as short as possible,Build,Byg
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,Aflys
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Skift erhverv
GUI.CROP_SELECTION,,Crop:,Afgrøde:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}}, dag {{dayNumber}}, {{season}}"
GUI.DIALOG.DISMISS,,Dismiss,Afskedige
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Der findes allerede et værelse med det navn.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,"Gem filen kunne ikke indlæses, fordi den er uforenelig med denne version af spillet."
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Der er opstået en fejl
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Der opstod en uventet fejl under indlæsning af spillet.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Der opstod en uventet fejl under lagring af spillet.
GUI.DIALOG.INFO_TITLE,,Information,Information
GUI.DIALOG.JUMP_TO,,Go to location,Gå til placering
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Den valgte sprogoversættelse er i øjeblikket ufuldstændig og mangler tekst. Et fallback sprog vil blive brugt.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,"Du har valgt et andet sæt mods, der skal anvendes til spillet. Disse vil blive anvendt, når spillet næste gang genstartes."
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,En eller flere mods er uforenelige med denne version af spillet og er blevet deaktiveret. Du kan søge efter opdateringer i modsmenuen.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Omdøb værelse
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Du skal genstarte spillet for at denne ændring kan træde i kraft
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Tildelt til {{name}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,I øjeblikket er ved at blive fjernet
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Møblerne skal placeres på {{materialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Fuldskærm
GUI.GRAPHICS.RESOLUTION,,Resolution,Opløsning
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Ingen (Efterlad brak)
GUI.MINIMAP.LABEL,,Minimap,Minimap
GUI.MUSIC_VOLUME,,Music volume:,Musikvolumen:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Ny version nu tilgængelig på Itch.io
GUI.NEXT_LABEL,This should be as short as possible,Next,Næste
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Disse møbler kan ikke drejes i denne version af spillet
GUI.OK_LABEL,This should be as short as possible,Ok,Ok
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Lydindstillinger
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,"Gør træer gennemsigtige, når tilslører bosættere"
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Pause for meddelelser
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Gameplay-muligheder
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,"Rul, når markøren er ved kanten af skærmen"
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ",Grafikindstillinger
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Tillad automatiske nedbrudsrapporter
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Diverse
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Hak
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Klar
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Høst
GUI.ORDERS.MINE,This should be as short as possible,Mine,Mine
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Ordrer
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,En bro skal dække begge sider af floden og være mindst 3x3 fliser i størrelse
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Fjern
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Fjern fliser
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Ressourcer
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Tilgængelig: {{count}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Tryk (R) for at rotere møbler
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Redder...
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Død: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Befolkning: {{count}
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Nybyggere
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},I alt: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Lydeffektvolumen
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,UI-skala:
GUI.ZONES_LABEL,This should be as short as possible,Zones,Zoner

HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Spiste et pænt tilberedt måltid
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Brevet et lig
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Drak floden vand
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Sulter
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Kritisk dehydreret
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Optimistisk om nye forlig
HAPPINESS_MODIFIER.POISONED,,Poisoned,Forgiftet
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Så et lig
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom","Sov i et rummeligt, privat soveværelse"
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,Sov i et privat soveværelse
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Delt soveværelse med andre
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Sov i et trangt soveværelse
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Sovet på hårdt underlag
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Sov under stjernerne
HAPPINESS_MODIFIER.TITLE,,Happiness:,Lykke:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Meget sulten
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Meget tørstig
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Ekstremt træt

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} tildelt {{targetDescription}

HINT.BUTTON.DISABLE_ALL,,Disable all hints,Deaktiver alle tip
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,Kun tip
HINT.BUTTON.NEXT,,Next,Næste
HINT.BUTTON.TUTORIAL,,Tutorial,Tutorial
HINT.PROGRESS.HEADER,,Progress:,
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","Velkommen til kongens verden under bjerget! Dette er en tidlig alpha version af spillet med mange flere funktioner og gameplay elementer, der stadig skal implementeres. Jeres frygtløse bande af dværge bosættere har valgt dette sted for at finde en ny koloni af deres rige. Giv mad, husly og velstand, og hvem ved, måske en dag vil dette være hovedstaden i et kongerige af sit eget!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",TEKST

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Dejen
INGREDIENT.FLOUR,,Flour,Mel
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Brød
INGREDIENT.LOAF.PLURAL,,Loaves,Brød
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Champignon gyde
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Champignon gyde
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Også kendt som mycelium, dette kan betragtes som „frø“, hvorfra der kan dyrkes svampe i en {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Frø
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Frø
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Frø af den rigtige type er påkrævet til plantning i en {{ROOMS.FARM}}. De skal også være tilgængelige i et lager {{STOCKPILE.GRANARY}}.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Sæk

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Fortegnelse:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}} {{ItemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}} {{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Brændstof
ITEM_GROUP.PRODUCT.PLURAL,,Products,Produkter
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Ressourcer
ITEM_GROUP.TOOL.PLURAL,,Tools,Værktøjer

LANGUAGE.LABEL,,Language,Sprog

LIQUID.WATER.NOUN,,Water,Vand

MADNESS.BROKEN.ADJECTIVE,,Broken,Brækket
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ","Denne bosætter var så ulykkelig, at de er blevet skubbet forbi brudpunktet og ikke længere vil arbejde eller endda spise!"

MATERIAL,Used for specifying which material something is made out of,Material,Materiale

MATERIAL_TYPE,,Type,Type
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Enhver
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,Jordens
MATERIAL_TYPE.EARTH.NOUN,,Earth,Jorden
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Mad
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Perle
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,Metallisk
MATERIAL_TYPE.METAL.NOUN,,Metal,Metal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Malm
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Andre varer
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Frø
MATERIAL_TYPE.STONE.ADJECTIVE,,,
MATERIAL_TYPE.STONE.NOUN,,Stone,Sten
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Grøntsager
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol af
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,Træ
MATERIAL_TYPE.WOOD.NOUN,,Wood,Træ

MENU.CONTINUE_GAME,,Continue game,Fortsæt spil
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,Start new game,Start nyt spil
MENU.OPTIONS,,Options,Valgmuligheder
MENU.QUIT,,Quit,Stop
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Slå fuldskærm til

METAL.BRONZE.ADJECTIVE,,Bronze,Bronze
METAL.BRONZE.NOUN,,Bronze,Bronze
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Bronze er en legering af kobber og tin. Det er sværere og meget mere holdbart end kobber alene. (Legeringer er endnu ikke blevet implementeret i Kongen under bjerget)
METAL.COPPER.ADJECTIVE,,Copper,Kobber
METAL.COPPER.NOUN,,Copper,Kobber
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Ud over at forekomme naturligt som {{ORE.NATIVE_COPPER.NOUN}}, er det også let at smelt fra {{ORE.MALACHITE.NOUN}} malm. Kobber har mange anvendelser, især i møntværker, selv om det ikke er svært nok at skabe effektive våben."
METAL.GOLD.ADJECTIVE,,Golden,Gyldne
METAL.GOLD.NOUN,,Gold,Guld
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","Kongen af metaller. Selvom det ikke er det sjældneste eller mest værdifulde, er guld det mest eftertragtede metal af de fleste racer — især dværge."
METAL.IRON.ADJECTIVE,,Iron,Jern
METAL.IRON.NOUN,,Iron,Jern
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,"Det er et fattigt militær, som ikke har adgang til jern. Dværgmetalsmede kender hemmelighederne ved at arbejde dette ind i {{METAL.STEEL.NOUN}}."
METAL.PLATINUM.ADJECTIVE,,Platinum,Platin
METAL.PLATINUM.NOUN,,Platinum,Platin
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,"Et sølvhvidt metal, der er meget modstandsdygtigt over for korrosion. Platin er sjældnere og derfor mere værdifuld end {{METAL.GOLD.NOUN}}."
METAL.SILVER.ADJECTIVE,,Silver,Sølv
METAL.SILVER.NOUN,,Silver,Sølv
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",Som {{METAL.GOLD.NOUN}} bruges sølv ofte til møntværker og som solide stænger til handel med rigdom.
METAL.STEEL.ADJECTIVE,,Steel,Stål
METAL.STEEL.NOUN,,Steel,Stål
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Langt stærkere end {{METAL.IRON.NOUN}}, som giver overlegen våben og værktøjer, kun dværgene kender hemmeligheden bag at skabe stål."
METAL.TIN.ADJECTIVE,,Tin,Tin
METAL.TIN.NOUN,,Tin,Tin
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),Tin kan smeltes fra {{ORE.CASSITERITE.NOUN}} og legeres med {{METAL.COPPER.NOUN}} for at producere {{METAL.BRONZE.NOUN}}. (Legeringer er endnu ikke blevet implementeret i Kongen under bjerget)

MODS.APPLY,,Apply,Ansøg
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Ja
MODS.COMPATIBILITY.INCOMPATIBLE,,No,Nej
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Ukendt
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Denne gemte fil blev sidst brugt mens følgende mods var aktive. Disse mods mangler nu eller deaktiveres, så lagringen muligvis ikke indlæses korrekt."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","Gem filen kunne ikke indlæses, fordi den enten er uforenelig med denne version af spillet, eller fordi nogle mods er blevet deaktiveret eller fjernet, siden denne lagring sidst blev indlæst. Følgende mods blev forventet, men er ikke længere aktive:"
MODS.TABLE.COMPATIBILITY,,Compatible?,Kompatibel?
MODS.TABLE.ENABLED,,Enabled?,Aktiveret?
MODS.TABLE.NAME,,Mod Name,Mod navn
MODS.TABLE.ORDERING,,Re-order,Genbestilling
MODS.TABLE.VERSION,,Mod Version,Mod Version

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Drik
NEEDS.FOOD,,Food,Mad
NEEDS.SLEEP,,Sleep,Sove

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Dine minearbejdere har opdaget et nyt område!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Udforskning
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, er død på grund af {{reason}}."
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Død på grund af {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler death,Settler død
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Alt må komme til en ende. Jeres forlig ligger forladt.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Spil Over
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,Velstanden i jeres bosættelse har tiltrukket en række nye indvandrere til at øge jeres befolkning.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Indvandring
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Et område har givet sig ind på grund af manglende søjler og understøtninger.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Minedrift kollaps
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,De opslidende trængsler har vist sig at være for meget til at klare for {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Mental pause

ORE.BAUXITE.ADJECTIVE,,Bauxite,- Bauxit
ORE.BAUXITE.NOUN,,Bauxite,- Bauxit
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",Bauxit er den primære malm af aluminium. Desværre er der endnu ikke fundet et middel til aluminiumsproduktion.
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Bituminøst kul
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Bituminøst kul
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Dette kan konverteres til {{ORE.COKE.NOUN}} ved hjælp af en {{FURNITURE.COKE_OVEN}}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,Cassiterit
ORE.CASSITERITE.NOUN,,Cassiterite,Cassiterit
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,"En malm, der kan smeltes til at producere {{METAL.TIN.NOUN}}."
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Trækul
ORE.CHARCOAL.NOUN,,Charcoal,Trækul
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} fremstillet af træ {{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Chrysocolla
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Chrysocolla
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Ofte forveksles med turkis, det er faktisk en malm af {{METAL.COPPER}}."
ORE.COKE.ADJECTIVE,,Coke,Coke
ORE.COKE.NOUN,,Coke,Coke
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,En raffineret form af {{ORE.BITUMINOUS_COAL}} som kan bruges som {{FUEL.SACK}}.
ORE.GALENA.ADJECTIVE,,Galena,Galena
ORE.GALENA.NOUN,,Galena,Galena
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,"En malm, der kan smeltes til at producere {{METAL.SILVER}}."
ORE.HEMATITE.ADJECTIVE,,Hematite,Hæmatit
ORE.HEMATITE.NOUN,,Hematite,Hæmatit
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,"En malm, der kan smeltes til at producere {{METAL.IRON}}."
ORE.ILMENITE.ADJECTIVE,,Ilmenite,Ilmenit
ORE.ILMENITE.NOUN,,Ilmenite,Ilmenit
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",Ilmenit er den primære malm af titanium. Desværre er der endnu ikke fundet et middel til titaniumproduktion.
ORE.MALACHITE.ADJECTIVE,,Malachite,Malakit
ORE.MALACHITE.NOUN,,Malachite,Malakit
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,"En malm, der kan smeltes til at producere {{METAL.COPPER}}."
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,Indfødt kobber
ORE.NATIVE_COPPER.NOUN,,Native copper,Indfødt kobber
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,Naturligt forekommende {{METAL.COPPER}} som skal smeltes før brug.
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,Native guld
ORE.NATIVE_GOLD.NOUN,,Native gold,Native guld
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,Naturligt forekommende {{METAL.GOLD}} som skal smeltes før brug.
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Indfødt platin
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Indfødt platin
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,Naturligt forekommende {{METAL.PLATINUM}} som skal smeltes før brug.
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,Native sølv
ORE.NATIVE_SILVER.NOUN,,Native silver,Native sølv
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,Naturligt forekommende {{METAL.SILVER}} som skal smeltes før brug.
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Forurenende
ORE.POLLUCITE.NOUN,,Pollucite,Forurenende
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","Polurcit er en malm af cæsium, som i øjeblikket er for farlig til at producere. Særligt skøre dværgmetalsmede forsøger i øjeblikket at finde en pålidelig produktionsmetode."
ORE.PYRITE.ADJECTIVE,,Fool's gold,Fools guld
ORE.PYRITE.NOUN,,Fool's gold,Fools guld
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Også kendt som pyrit, dets lysegule udseende får nogle til at forveksle det for guld. Det har flere anvendelser, når det knuses, men der skal udvises forsigtighed, da det gnister, når det rammes."
ORE.THORIUM.ADJECTIVE,,Thorium,Thorium
ORE.THORIUM.NOUN,,Thorium,Thorium
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,"En sølvfarvet metalmalm, der bliver sort, når den udsættes for luft. Det er mærkeligt varmt at røre ved."
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Wolframit
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframit
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,"En metallisk malm, der komplicerer smeltning af tin. Det har for højt smeltepunkt til at smelte med normale processer."

