KEY,NOTES,ENGLISH,NORWEGIAN
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,
GUI.GRAPHICS.RESOLUTION,,Resolution,
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,
GUI.LOAD_GAME.TABLE.DELETE,,Delete,
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,
GUI.LOAD_GAME.TABLE.VERSION,,Version,
GUI.LOAD_GAME.TITLE,,Load Game,
GUI.MINIMAP.LABEL,,Minimap,
GUI.MUSIC_VOLUME,,Music volume:,
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,
GUI.NEXT_LABEL,This should be as short as possible,Next,Neste
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Grafikkinnstillinger "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,
GUI.OPTIONS.TAB.AUDIO,,Audio,
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,
GUI.OPTIONS.TAB.MISC,,Other,
GUI.OPTIONS.TAB.TWITCH,,Twitch,
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Hugg
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Rydd
GUI.ORDERS.EXTINGUISH_FLAMES,This should be as short as possible - used to put out fires by throwing buckets of water on them,Extinguish,
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Høst inn
GUI.ORDERS.MINE,This should be as short as possible,Mine,Utvinn
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Bestillinger
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Fjern
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Fjern felter
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},
GUI.ROOFING.ADD,,Add,
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Trykk på (R) for å rotere møbler
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,
GUI.SETTINGS.LABEL,,Settings,
GUI.SETTLER_MANAGEMENT.BEDS_COUNTER,,Number of beds: {{count}},
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,
GUI.VIEW_ROADMAP,,View development roadmap,
GUI.ZONES_LABEL,This should be as short as possible,Zones,Soner

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain,
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned,
HAPPINESS_MODIFIER.POISONED,,Poisoned,
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain,
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow,
HAPPINESS_MODIFIER.SLEPT_IN_ENCLOSED_BEDROOM,,Slept in an enclosed bedroom,
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,
HAPPINESS_MODIFIER.TITLE,,Happiness:,
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,,Worked in an enclosed room,
HAPPINESS_MODIFIER.WORKED_IN_RAIN,,Working in the rain,

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},

HINT.BUILD_ROOFING.1,,"This view allows you to see which tiles are outside with no roof above them (light blue), and those which have had a roof built overhead (dark brown).",
HINT.BUILD_ROOFING.2,,"You can use the {{GUI.ROOFING.ADD}} and {{GUI.CANCEL_LABEL}} options to queue up roofing to be constructed, and {{GUI.DECONSTRUCT_LABEL}} to remove any existing roof tiles.",
HINT.BUILD_ROOFING.3,,A roof can only be constructed within 3 tiles of a wall or {{FURNITURE.PILLAR}}.,
HINT.BUTTON.DISABLE_ALL,,Disable all hints,
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,
HINT.BUTTON.NEXT,,Next,
HINT.BUTTON.TUTORIAL,,Tutorial,
HINT.FIRE_ENCOUNTERED.1,,A fire has started! Extinguish it quickly before it spreads.,
HINT.FIRE_ENCOUNTERED.2,,You can use the {{GUI.ORDERS.EXTINGUISH_FLAMES}} order to douse the flames with water. Any settlers on fire will attempt to put themselves out.,
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",
HINT.PROGRESS.HEADER,,Progress:,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this area to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!",
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",
HINT.WELCOME.PRE_SPAWN,,"Start the game by selecting a location on the map with enough space, and clicking the '{{GUI.EMBARK.START}}' button.",

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}",
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} og {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,
INGREDIENT.FLOUR,,Flour,
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,
INGREDIENT.LOAF.PLURAL,,Loaves,
INGREDIENT.MALT.SACK.NOUN,,Malt,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.",
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate),
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate),
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack),
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack),

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} i {{materialType.adjective}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},

ITEM_GROUP.FUEL.PLURAL,,Fuel,
ITEM_GROUP.PRODUCT.PLURAL,,Products,
ITEM_GROUP.RESOURCE.PLURAL,,Resources,
ITEM_GROUP.TOOL.PLURAL,,Tools,

LANGUAGE.LABEL,,Language,Språk

LIQUID.BEER.NOUN,,Beer,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,
LIQUID.WATER.NOUN,,Water,
LIQUID.WORT.NOUN,,Wort,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",

MADNESS.BROKEN.ADJECTIVE,,Broken,
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",

MATERIAL,Used for specifying which material something is made out of,Material,

MATERIAL_TYPE,,Type,Type
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,
MATERIAL_TYPE.EARTH.NOUN,,Earth,
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Juvel
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,Metall
MATERIAL_TYPE.METAL.NOUN,,Metal,Metall
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Malm
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Annet
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,
MATERIAL_TYPE.STONE.ADJECTIVE,,,Stein
MATERIAL_TYPE.STONE.NOUN,,Stone,Stein
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,Tre
MATERIAL_TYPE.WOOD.NOUN,,Wood,Tre

MENU.CONTINUE_GAME,,Continue game,Fortsett spill
MENU.LOAD_GAME,,Load game,
MENU.MODS,,Mods,
MENU.NEW_GAME,,Start new game,Start nytt spill
MENU.OPTIONS,,Options,Innstillinger
MENU.QUIT,,Quit,Avslutt
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Skru fullskjerm på/av

METAL.BRONZE.ADJECTIVE,,Bronze,Bronse
METAL.BRONZE.NOUN,,Bronze,Bronse
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),
METAL.COPPER.ADJECTIVE,,Copper,Kobber
METAL.COPPER.NOUN,,Copper,Kobber
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.",
METAL.COPPER_PATINA.ADJECTIVE,,Copper,Kobber
METAL.COPPER_PATINA.NOUN,,Copper (Patina),
METAL.COPPER_PATINA.TOOLTIP,,{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}}
METAL.GOLD.ADJECTIVE,,Golden,Gull
METAL.GOLD.NOUN,,Gold,Gull
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.",
METAL.IRON.ADJECTIVE,,Iron,Jern
METAL.IRON.NOUN,,Iron,Jern
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,
METAL.PLATINUM.ADJECTIVE,,Platinum,
METAL.PLATINUM.NOUN,,Platinum,
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,
METAL.RUSTED_IRON.ADJECTIVE,,Rusted iron,
METAL.RUSTED_IRON.NOUN,,Rust,
METAL.RUSTED_IRON.TOOLTIP,,Iron turns to rust when exposed to rain for a long period. Eventually this will decay completely!,
METAL.SILVER.ADJECTIVE,,Silver,
METAL.SILVER.NOUN,,Silver,
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",
METAL.STEEL.ADJECTIVE,,Steel,Stål
METAL.STEEL.NOUN,,Steel,Stål
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.",
METAL.TIN.ADJECTIVE,,Tin,
METAL.TIN.NOUN,,Tin,
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),

MODS.APPLY,,Apply,
MODS.COMPATIBILITY.COMPATIBLE,,Yes,
MODS.COMPATIBILITY.INCOMPATIBLE,,No,
MODS.COMPATIBILITY.UNKNOWN,,Unknown,
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:",
MODS.TABLE.COMPATIBILITY,,Compatible?,
MODS.TABLE.ENABLED,,Enabled?,
MODS.TABLE.NAME,,Mod Name,
MODS.TABLE.ORDERING,,Re-order,
MODS.TABLE.VERSION,,Mod Version,

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},

NEEDS.DRINK,,Drink,
NEEDS.FOOD,,Food,
NEEDS.SLEEP,,Sleep,

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.",
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},
NOTIFICATION.DEATH.TITLE,,Settler death,
NOTIFICATION.FIRE_STARTED.DESCRIPTION,,A fire has broken out in your settlement!,
NOTIFICATION.FIRE_STARTED.TITLE,,Fire!,
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,
NOTIFICATION.GAME_OVER.TITLE,,Game Over,
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,
NOTIFICATION.OXIDISATION_DESTRUCTION.DESCRIPTION,,An item or piece of furniture has been destroyed due to prolonged exposure to rain.\nSome materials such as iron and steel should not be left outside for a long period.,
NOTIFICATION.OXIDISATION_DESTRUCTION.TITLE,,Rusted away,
NOTIFICATION.ROOFING_COLLAPSE.DESCRIPTION,,A roof has collapsed due to a lack of pillars and supports.,
NOTIFICATION.ROOFING_COLLAPSE.TITLE,,Roof collapsed,
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,

ORE.BAUXITE.ADJECTIVE,,Bauxite,
ORE.BAUXITE.NOUN,,Bauxite,
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Steinkull
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,
ORE.CASSITERITE.NOUN,,Cassiterite,Kassiteritt
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,
ORE.CHARCOAL.ADJECTIVE,,Charcoal,
ORE.CHARCOAL.NOUN,,Charcoal,
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.",
ORE.COKE.ADJECTIVE,,Coke,
ORE.COKE.NOUN,,Coke,
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,
ORE.GALENA.ADJECTIVE,,Galena,
ORE.GALENA.NOUN,,Galena,Blyglans
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,
ORE.HEMATITE.ADJECTIVE,,Hematite,
ORE.HEMATITE.NOUN,,Hematite,Hematitt
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,
ORE.ILMENITE.ADJECTIVE,,Ilmenite,
ORE.ILMENITE.NOUN,,Ilmenite,
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",
ORE.MALACHITE.ADJECTIVE,,Malachite,
ORE.MALACHITE.NOUN,,Malachite,Malakitt
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,
ORE.NATIVE_COPPER.NOUN,,Native copper,Naturkobber
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,
ORE.NATIVE_GOLD.NOUN,,Native gold,Naturgull
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,
ORE.NATIVE_SILVER.NOUN,,Native silver,Natursølv
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,
ORE.POLLUCITE.ADJECTIVE,,Pollucite,
ORE.POLLUCITE.NOUN,,Pollucite,
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.",
ORE.PYRITE.ADJECTIVE,,Fool's gold,
ORE.PYRITE.NOUN,,Fool's gold,
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.",
ORE.THORIUM.ADJECTIVE,,Thorium,
ORE.THORIUM.NOUN,,Thorium,
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,
ORE.WOLFRAMITE.NOUN,,Wolframite,
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,

OTHER.ASH,,Charred,
OTHER.BRICK.NOUN,,Brick,Murstein
OTHER.CLAY_SOIL.NOUN,,Clay soil,Leire
OTHER.GRASS.NOUN,,,Gress

PRIORITY.DISABLED,,Disabled,
PRIORITY.HIGHER,,Higher,
PRIORITY.HIGHEST,,Highest,
PRIORITY.LOWER,,Lower,
PRIORITY.LOWEST,,Lowest,
PRIORITY.NORMAL,,Normal,

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to",
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,
PRIVACY.OPT_IN.LINE_4,," ",
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,
PRIVACY.OPT_IN.LINE_7,,- Your operating system,
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,
PRIVACY.OPT_IN.LINE_9,,- Your options settings,

PRODUCT.ANVIL,,Anvil,
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,
PRODUCT.BARREL.HOOPS,,Barrel hoops,
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,
PRODUCT.BARREL.NOUN,,Barrel,
PRODUCT.BARREL.PLURAL,,Barrels,
PRODUCT.BARREL.STAVES,,Barrel staves,
