KEY,NOTES,ENGLISH,JAPANESE
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,青と紫が交互に変化する希少な宝石。 死神の物体から形成されると考えられている。
GEM.TOPAZ.ADJECTIVE,,Topaz,トパーズ
GEM.TOPAZ.NOUN,,Topaz,トパーズ
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",時々より一般的な {{GEM.CITRINE.NOUN}} の宝石と混同され、トパーズはいくつかの色がありますが、最も一般的に黄色がかった茶色です。 これは、もはや存在しない島で最初に発見されました。
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,トルマリン
GEM.TOURMALINE.NOUN,,Tourmaline,トルマリン
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,多くの場合、{{オレ.カシテリト. 調整可能}} 鉱石と一緒に発見されます。 それは時々地球の魔法に関連付けられています。
GEM.TURQUOISE.ADJECTIVE,,Turquoise,ターコイズ
GEM.TURQUOISE.NOUN,,Turquoise,ターコイズ
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,装飾によく使用される青緑色の鉱物。 運び手には幸運をもたらすと考えられています。 それはしばしば地球の要素を注入されます。

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},{{targetDescription}} を収集しています
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},{{targetZoneMaterial}} を飲む
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},{{targetDescription}} を食べる
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},運搬 {{targetDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,アイドル
GOAL.SLEEP.DESCRIPTION,,Going to sleep,眠りにつく
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},{{targetZoneMaterial}} を転送しています

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,タイルの追加/削除
GUI.ADD_TILES,This should be as short as possible,Add tiles,タイルを追加する
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,アンビエント大気効果ボリューム:
GUI.BACK_LABEL,This should be as short as possible,Back,戻れ
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,ブリッジ
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,ドア
GUI.BUILD.WALLS,,Walls,壁
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,L字型
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,クワッド
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,シングル
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,家具
GUI.BUILD_LABEL,This should be as short as possible,Build,ビルド
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,キャンセルします
GUI.CHANGE_PROFESSION_LABEL,,Change profession,職業を変える
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),
GUI.CROP_SELECTION,,Crop:,切り抜き:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}, year {{year}}",{{時刻}}、日 {{日}}、{{季節}}
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,
GUI.DIALOG.CANCEL_BUTTON,,Cancel,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,
GUI.DIALOG.DISMISS,,Dismiss,却下します
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,その名前のルームは既に存在します。
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,このバージョンのゲームと互換性がないため、保存ファイルをロードできませんでした。
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,エラーが発生しました
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,ゲームの読み込み中に予期しないエラーが発生しました。
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,ゲームの保存中に予期しないエラーが発生しました。
GUI.DIALOG.INFO_TITLE,,Information,
GUI.DIALOG.JUMP_TO,,Go to location,場所へ移動
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,選択された言語の翻訳は現在不完全なため、一部のテキストが欠落しています。 代替言語が使用されます。
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,ゲームに設定するmodの組み合わせが変更されました。変更はゲームの再起動後に有効化されます。
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,このバージョンと互換性の無いため、無効になっているmodがあります。 更新はmodメニューで確認することができます。
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,部屋の名前を変更する
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,変更を有効にするには、ゲームを再起動する必要があります。
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,
GUI.EMBARK.DISCLAIMER,,"This is an early alpha version of King under the Mountain. There are many, many features still to be added, and bugs are to be expected. In a future update you will be able to use this screen to customise your starting settlers, resources and even map and gameplay settings. Please join our Discord community to report any bugs you find or offer feedback, so we can work together to guide King under the Mountain to become the best possible version of itself. Thank you for playing!",
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,
GUI.EMBARK.MAP_SEED,,Map seed:,
GUI.EMBARK.SETTLEMENT_NAME,,Settlement name:,
GUI.EMBARK.START,,Begin!,
GUI.EMBARK.TITLE,,Embark Options,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},{{name}} に割り当てられました
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,現在削除されています
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,この家具は {{materialType}} に配置する必要があります。
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,全画面表示
GUI.GRAPHICS.RESOLUTION,,Resolution,解像度
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),なし (休ませる)
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,
GUI.LOAD_GAME.TABLE.DELETE,,Delete,
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,
GUI.LOAD_GAME.TABLE.VERSION,,Version,
GUI.LOAD_GAME.TITLE,,Load Game,
GUI.MINIMAP.LABEL,,Minimap,ミニマップ
GUI.MUSIC_VOLUME,,Music volume:,音楽ボリューム:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,新しいバージョンがItch.ioで利用可能になりました
GUI.NEXT_LABEL,This should be as short as possible,Next,次はね
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,この家具は、ゲームのこのバージョンで回転することはできません
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,サウンドオプション
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,入植者を隠すときに木を透明にする
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,通知の一時停止
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",ゲームプレイオプション
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,カーソルが画面の端にあるときにスクロールする
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ",[グラフィックスオプション]
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,自動クラッシュレポートを許可する
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,[その他]
GUI.OPTIONS.TAB.AUDIO,,Audio,
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,
GUI.OPTIONS.TAB.MISC,,Other,
GUI.OPTIONS.TAB.TWITCH,,Twitch,
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,チョップ
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,クリア
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,収穫
GUI.ORDERS.MINE,This should be as short as possible,Mine,採掘
GUI.ORDERS_LABEL,This should be as short as possible,Orders,注文
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,橋は川の両側を覆い、少なくとも3x3タイルのサイズでなければなりません
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,
GUI.REMOVE_LABEL,This should be as short as possible,Remove,[除去]
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,タイルを削除
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,リソース
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},利用可能:{{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,(R) を押して家具を回転させる
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,保存中...
GUI.SETTINGS.LABEL,,Settings,
GUI.SETTLER_MANAGEMENT.BEDS_COUNTER,,Number of beds: {{count}},
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},デッド:{{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},人口：{{count}}
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,入植者だ
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},合計：{{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,効果音量
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,UI スケール:
GUI.VIEW_ROADMAP,,View development roadmap,
GUI.ZONES_LABEL,This should be as short as possible,Zones,ゾーン

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWL,,Going sober,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,きれいに準備された食事を食べた
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,死体を運んだ
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,飲料水
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,飢えだ
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,脱水症状
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,新しい和解について楽観的
HAPPINESS_MODIFIER.POISONED,,Poisoned,毒殺されてる
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,死体を見たの
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",広々としたプライベートベッドルームで寝る
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,プライベートベッドルームで寝た
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,ベッドルームを他の人とシェアする
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,窮屈な寝室で寝た
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,荒れた地面に寝る
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,星の下で眠った
HAPPINESS_MODIFIER.TITLE,,Happiness:,幸せ:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,お腹がすいた
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,のどが渇いた
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,非常に疲れている

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{{itemDescription}} が {{targetDescription}} に割り当てられました

HINT.BUTTON.DISABLE_ALL,,Disable all hints,
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,
HINT.BUTTON.NEXT,,Next,
HINT.BUTTON.TUTORIAL,,Tutorial,
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",
HINT.PROGRESS.HEADER,,Progress:,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!",
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,生地
INGREDIENT.FLOUR,,Flour,小麦粉
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,ローフ
INGREDIENT.LOAF.PLURAL,,Loaves,パンだ
INGREDIENT.MALT.SACK.NOUN,,Malt,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,キノコの産卵
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,キノコの産卵
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.",菌糸体とも呼ばれ、これは {{ROOMS.MUSHROOM_FARM}} でキノコを栽培する「種子」と考えることができます。
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,シード
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,種子
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,{{ROOMS.FARM}} に植えるには、適切なタイプの種が必要です。 また、{{STOCKPILE.GRANARY}} の備
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate),
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate),
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack),袋だ
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack),

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,在庫:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}hui

ITEM_GROUP.FUEL.PLURAL,,Fuel,燃料
ITEM_GROUP.PRODUCT.PLURAL,,Products,製品
ITEM_GROUP.RESOURCE.PLURAL,,Resources,リソース
ITEM_GROUP.TOOL.PLURAL,,Tools,[ツール]

LANGUAGE.LABEL,,Language,言語

LIQUID.BEER.NOUN,,Beer,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,
LIQUID.WATER.NOUN,,Water,水
LIQUID.WORT.NOUN,,Wort,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",

MADNESS.BROKEN.ADJECTIVE,,Broken,壊れた
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",この入植者は、彼らが突破点を過ぎてプッシュされ、もはや動作したり、食べたりしないように不幸でした！

MATERIAL,Used for specifying which material something is made out of,Material,[マテリアル]

MATERIAL_TYPE,,Type,タイプ
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,任意です
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,土だ
MATERIAL_TYPE.EARTH.NOUN,,Earth,地球
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,フード
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,ジェム
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,メタリック
MATERIAL_TYPE.METAL.NOUN,,Metal,金属
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,鉱石
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,その他の
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,シード
MATERIAL_TYPE.STONE.ADJECTIVE,,,
MATERIAL_TYPE.STONE.NOUN,,Stone,ストーン
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,野菜
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,硫酸ドデシルナトリウム
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,ヴィトリオール
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,木製
MATERIAL_TYPE.WOOD.NOUN,,Wood,木材

MENU.CONTINUE_GAME,,Continue game,ゲームを続ける
MENU.LOAD_GAME,,Load game,
MENU.MODS,,Mods,改造者
MENU.NEW_GAME,,Start new game,新しいゲームを始める
MENU.OPTIONS,,Options,オプション
MENU.QUIT,,Quit,やめろ
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,フルスクリーンの切り替え

METAL.BRONZE.ADJECTIVE,,Bronze,ブロンズ
METAL.BRONZE.NOUN,,Bronze,ブロンズ
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),ブロンズは銅とスズの合金です。 それは銅だけよりも硬く、はるかに耐久性があります。 (合金はまだ山の下の王に実装されていません)
METAL.COPPER.ADJECTIVE,,Copper,銅
METAL.COPPER.NOUN,,Copper,銅
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.",{{ORE.NATIVE_COPPER.NOUN}} として自然に発生するだけでなく、{{ORE.MALACHITE.NOUN}} の鉱石からワサギをするのは簡単です。 銅には多くの用途がありますが、特に硬質では効果的な武器を作り出すのは難しいことではありません。
METAL.GOLD.ADJECTIVE,,Golden,ゴールデン
METAL.GOLD.NOUN,,Gold,ゴールド
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.",金属の王だ それは最も希少でも最も価値のあるものではありませんが、金はほとんどの人種（特にドワーフ）で最も切望された金属です。
METAL.IRON.ADJECTIVE,,Iron,アイロンがけます
METAL.IRON.NOUN,,Iron,アイロンがけます
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,それは鉄へのアクセスを持っていない貧しい軍です。 ドワーフの金属細工師は、これを {{METAL.STEEL.NOUN}} に組み込む秘訣を知っています。
METAL.PLATINUM.ADJECTIVE,,Platinum,プラチナ
METAL.PLATINUM.NOUN,,Platinum,プラチナ
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,耐腐食性に優れた銀白色の金属です。 プラチナは {{メタル.GOLD.NOUN}} よりも稀で、貴重です。
METAL.SILVER.ADJECTIVE,,Silver,シルバー
METAL.SILVER.NOUN,,Silver,シルバー
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",{{METAL.GOLD.NOUN}} と同様に、銀は金貨や富の取引のための堅い棒としてよく使われます。
METAL.STEEL.ADJECTIVE,,Steel,スチール
METAL.STEEL.NOUN,,Steel,スチール
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.",優れた武器や道具を実現する {{METAL.IRON.NOUN}} よりはるかに強く、ドワーフだけが鋼を作る秘訣を知っています。
METAL.TIN.ADJECTIVE,,Tin,スズ
METAL.TIN.NOUN,,Tin,スズ
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),スズは、{{金属.銅.NOUN}} から精錬し、{{金属.銅.NOUN} と合金化して {{金属.ブロンズ.NOUN} を生成することができます。 (合金はまだ山の下の王に実装されていません)

MODS.APPLY,,Apply,適用
MODS.COMPATIBILITY.COMPATIBLE,,Yes,はい
MODS.COMPATIBILITY.INCOMPATIBLE,,No,いいえ
MODS.COMPATIBILITY.UNKNOWN,,Unknown,不明
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,このセーブファイルが使用していたmodが 破損しているか無効になっているので、 正しくロードできないかもしれません。
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:",このバージョンと互換性が無いか、 modが破損又は削除されたため、 セーブファイルがロードできませんでした。 使用されていた次のmodが有効ではなくなりました:
MODS.TABLE.COMPATIBILITY,,Compatible?,互換性？
MODS.TABLE.ENABLED,,Enabled?,有効？
MODS.TABLE.NAME,,Mod Name,mod名
MODS.TABLE.ORDERING,,Re-order,再実行
MODS.TABLE.VERSION,,Mod Version,modバージョン

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{マテリアルタイプ.名詞}}

NEEDS.DRINK,,Drink,飲み物
NEEDS.FOOD,,Food,食料
NEEDS.SLEEP,,Sleep,睡眠

