KEY,NOTES,ENGLISH,KOREAN
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,빨간색에서 분홍색까지 다양한 색조로 발견됩니다. 대부분의 보석만큼 힘들지 않아 반지와 기타 충격이 강한 보석에 적합하지 않습니다.
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,록 크리스탈
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,록 크리스탈
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,석영의 가장 순수한 형태. 바위 결정은 종종 얼음 원소의 응축 형태로서 마법의 유물에 등장합니다.
GEM.RUBY.ADJECTIVE,,Ruby,루비
GEM.RUBY.NOUN,,Ruby,루비
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",일곱 천상의 돌 중 하나 인 루비는 단단한 형태로 응축 된 불의 요소입니다.
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,사파이어
GEM.SAPPHIRE.NOUN,,Sapphire,사파이어
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",데몬의 주목으로부터 착용자를 보호한다고 여겨지는 사파이어는 하늘과 공기 기반의 마법에 사용하기 위해 마법사들이 많이 찾는 사파이어입니다.
GEM.SPINEL.ADJECTIVE,,Spinel,스피넬
GEM.SPINEL.NOUN,,Spinel,스피넬
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","종종 진정한 루비와 사파이어 같은 천상의 돌과 혼동, 스피넬은 마법 주입 보석의 작은 형태이며, 어떤 요소와도 연관 될 수 있습니다, 색상에 따라."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,탄자나이트
GEM.TANZANITE.NOUN,,Tanzanite,탄자나이트
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,블루와 바이올렛을 번갈아 사용할 수 있는 희귀 한 보석. 그것은 죽은 신의 물질적 몸으로 형성된 것으로 생각됩니다.
GEM.TOPAZ.ADJECTIVE,,Topaz,토파즈
GEM.TOPAZ.NOUN,,Topaz,토파즈
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","때로는 더 일반적인 {{GEM.CITRINE.NOUN}} 보석과 혼동, 토파즈는 여러 가지 색상에서 찾을 수 있지만 가장 일반적으로 황갈색입니다. 그것은 더 이상 존재하지 않는 섬에서 처음 발견되었습니다."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,토르말린
GEM.TOURMALINE.NOUN,,Tourmaline,토르말린
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,종종 {{ORE.CASSITERITE.ADJECTIVE}} 광석과 함께 발견됩니다. 그것은 때때로 지구 마법과 관련이 있습니다.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,청록색
GEM.TURQUOISE.NOUN,,Turquoise,청록색
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,장식에 자주 사용되는 푸른 녹색 미네랄. 그것은 무기명에게 행운을 가져다 줄 것으로 생각된다. 그것은 종종 지구의 요소로 주입됩니다.

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},{{대상 설명}} 수집하는 중
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},마시는 {{대상 지역 재료}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},{{대상 설명}} 먹는 것
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},운반 {{대상 설명}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,유휴 상태
GOAL.SLEEP.DESCRIPTION,,Going to sleep,잠자기
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},{{대상 지역 소재}} 전송 중

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,타일 추가/제거
GUI.ADD_TILES,This should be as short as possible,Add tiles,타일 추가
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,주변 대기 효과 볼륨:
GUI.BACK_LABEL,This should be as short as possible,Back,뒤로
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,다리
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,문
GUI.BUILD.WALLS,,Walls,벽
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,L자형
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,쿼드
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,싱글
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,가구
GUI.BUILD_LABEL,This should be as short as possible,Build,빌드
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,취소
GUI.CHANGE_PROFESSION_LABEL,,Change profession,직업 변경
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),
GUI.CROP_SELECTION,,Crop:,자르기:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}, year {{year}}","{{timeOfDay}}, 일 {{일 번호}}, {{dayNumber}}"
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,
GUI.DIALOG.CANCEL_BUTTON,,Cancel,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,
GUI.DIALOG.DISMISS,,Dismiss,해고
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,해당 이름의 룸이 이미 있습니다.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,저장 파일은이 버전의 게임과 호환되지 않기 때문에로드 할 수 없습니다.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,오류가 발생했습니다.
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,게임을 로드하는 동안 예기치 않은 오류가 발생했습니다.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,게임을 저장하는 동안 예상치 못한 오류가 발생했습니다.
GUI.DIALOG.INFO_TITLE,,Information,정보
GUI.DIALOG.JUMP_TO,,Go to location,위치로 이동
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,선택한 언어 번역이 현재 불완전하며 일부 텍스트가 누락됩니다. 대체 언어가 사용됩니다.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,게임에 적용할 다른 모드 세트를 선택했습니다. 다음 번 게임이 다시 시작될 때 적용됩니다.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,하나 이상의 개조 게임이 버전과 호환되지 않는 및 비활성화되었습니다. 모드 메뉴에서 업데이트를 확인할 수 있습니다.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,확인
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,룸 이름 바꾸기
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,이 변경 사항을 적용하려면 게임을 다시 시작해야 합니다.
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,
GUI.EMBARK.DISCLAIMER,,"This is an early alpha version of King under the Mountain. There are many, many features still to be added, and bugs are to be expected. In a future update you will be able to use this screen to customise your starting settlers, resources and even map and gameplay settings. Please join our Discord community to report any bugs you find or offer feedback, so we can work together to guide King under the Mountain to become the best possible version of itself. Thank you for playing!",
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,
GUI.EMBARK.MAP_SEED,,Map seed:,
GUI.EMBARK.SETTLEMENT_NAME,,Settlement name:,
GUI.EMBARK.START,,Begin!,
GUI.EMBARK.TITLE,,Embark Options,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},{{name}} 에 할당됨
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,현재 제거 중입니다.
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,이 가구는 {{재료 유형}} 에 배치해야 합니다.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,전체 화면
GUI.GRAPHICS.RESOLUTION,,Resolution,해결 방법
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),없음 (휴지 남기기)
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,
GUI.LOAD_GAME.TABLE.DELETE,,Delete,
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,
GUI.LOAD_GAME.TABLE.VERSION,,Version,
GUI.LOAD_GAME.TITLE,,Load Game,
GUI.MINIMAP.LABEL,,Minimap,미니맵
GUI.MUSIC_VOLUME,,Music volume:,음악 볼륨:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Itch.io에서 새 버전을 사용할 수 있습니다.
GUI.NEXT_LABEL,This should be as short as possible,Next,다음
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,이 가구는 게임의이 버전에서 회전 할 수 없습니다
GUI.OK_LABEL,This should be as short as possible,Ok,좋아
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,사운드 옵션
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,정착민을 가릴 때 나무를 투명하게 만듭니다.
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,알림을 위해 일시 중지
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",게임플레이 옵션
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,커서가 화면 가장자리에있을 때 스크롤
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ",그래픽 옵션
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,자동 충돌 보고서 허용
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,기타
GUI.OPTIONS.TAB.AUDIO,,Audio,
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,
GUI.OPTIONS.TAB.MISC,,Other,
GUI.OPTIONS.TAB.TWITCH,,Twitch,
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,들어온다
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,클리어
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,수확
GUI.ORDERS.MINE,This should be as short as possible,Mine,내
GUI.ORDERS_LABEL,This should be as short as possible,Orders,주문
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,다리는 강 양쪽을 덮어야 하며 크기는 3x3 이상이어야 합니다.
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,
GUI.REMOVE_LABEL,This should be as short as possible,Remove,제거
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,타일 제거
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,리소스
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},사용 가능: {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,가구를 회전하려면 (R) 키를 누릅니다.
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,저장하는 중...
GUI.SETTINGS.LABEL,,Settings,
GUI.SETTLER_MANAGEMENT.BEDS_COUNTER,,Number of beds: {{count}},
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},죽은: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},인구: {{count}}
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,정착민
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},합계: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,사운드 효과 볼륨
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,UI 배율:
GUI.VIEW_ROADMAP,,View development roadmap,
GUI.ZONES_LABEL,This should be as short as possible,Zones,영역

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWL,,Going sober,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,멋지게 준비된 식사를 먹었다.
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,시체를 운반한
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,마신 강 물
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,굶주린
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,비판적으로 탈수
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,새로운 정착에 대한 낙관적
HAPPINESS_MODIFIER.POISONED,,Poisoned,중독
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,죽은 시체를 보았다
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",넓은 개인 침실에서 잠을 자다.
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,개인 침실에서 잤다.
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,다른 사람들과 침실을 공유했습니다.
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,비좁은 침실에서 잤다.
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,거친 땅에서 잤다.
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,별 아래에서 잤다.
HAPPINESS_MODIFIER.TITLE,,Happiness:,행복:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,매우 배고픈
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,매우 목마른
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,매우 피곤함

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{대상 설명}} 에 {{quantity}} 이 (가) 할당되었습니다.

HINT.BUTTON.DISABLE_ALL,,Disable all hints,모든 힌트 비활성화
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,힌트만
HINT.BUTTON.NEXT,,Next,다음
HINT.BUTTON.TUTORIAL,,Tutorial,자습서
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",
HINT.PROGRESS.HEADER,,Progress:,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","산 아래 왕의 세계에 오신 것을 환영합니다! 이것은 더 많은 기능과 게임 플레이 요소가 여전히 구현 될 게임의 초기 알파 버전입니다. 당신의 용맹 한 드워프 정착민들이 그들의 왕국의 새로운 식민지를 발견하기 위해이 위치를 선택했습니다. 음식, 피난처와 번영을 제공하고 누가 알고, 어쩌면 언젠가는 자신의 왕국의 수도가 될 것입니다!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",텍스트를 입력합니다

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,반죽
INGREDIENT.FLOUR,,Flour,밀가루
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,덩어리
INGREDIENT.LOAF.PLURAL,,Loaves,덩어리
INGREDIENT.MALT.SACK.NOUN,,Malt,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,버섯 산란
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,버섯 산란
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","균사체라고도 불리며, 이것은 {{ROOMS.MUSHROOM_FARM}} 에서 버섯을 재배하는 “씨앗”으로 생각할 수 있습니다."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,씨앗
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,씨앗
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,"{{ROOMS.FARM}} 에 심기 위해서는 올바른 유형의 씨앗이 필요합니다. 또한, {{STOCKPILE.GRANARY}} 비축으로 사용할 수 있어야 합니다."
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate),
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate),
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack),자루
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack),

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,인벤토리:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}} {{항목 유형.명사_또는_복수형}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}} {{물질유형.명사_복수형}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,연료
ITEM_GROUP.PRODUCT.PLURAL,,Products,제품
ITEM_GROUP.RESOURCE.PLURAL,,Resources,리소스
ITEM_GROUP.TOOL.PLURAL,,Tools,도구

LANGUAGE.LABEL,,Language,언어

LIQUID.BEER.NOUN,,Beer,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,
LIQUID.WATER.NOUN,,Water,물
LIQUID.WORT.NOUN,,Wort,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",

MADNESS.BROKEN.ADJECTIVE,,Broken,깨진
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",이 정착민은 너무 불행해서 그들이 한계점을 지나서 밀려 났고 더 이상 일하지 않거나 심지어 먹지 않을 것입니다!

MATERIAL,Used for specifying which material something is made out of,Material,재질

MATERIAL_TYPE,,Type,를 입력합니다
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,아무 것도
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,흙
MATERIAL_TYPE.EARTH.NOUN,,Earth,지구
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,음식
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,보석
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,메탈릭
MATERIAL_TYPE.METAL.NOUN,,Metal,금속
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,광석
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,기타
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,씨앗
MATERIAL_TYPE.STONE.ADJECTIVE,,,
MATERIAL_TYPE.STONE.NOUN,,Stone,스톤
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,야채
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,비트리올
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,비트리올
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,나무
MATERIAL_TYPE.WOOD.NOUN,,Wood,나무

MENU.CONTINUE_GAME,,Continue game,게임 계속
MENU.LOAD_GAME,,Load game,
MENU.MODS,,Mods,개조물
MENU.NEW_GAME,,Start new game,새 게임 시작
MENU.OPTIONS,,Options,옵션
MENU.QUIT,,Quit,그만둬
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,전체화면 전환

METAL.BRONZE.ADJECTIVE,,Bronze,청동
METAL.BRONZE.NOUN,,Bronze,청동
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),청동은 구리와 주석의 합금입니다. 그것은 구리 단독보다 더 단단하고 훨씬 더 내구성이 있습니다. (합금은 아직 산 아래 킹에서 구현되지 않았습니다)
METAL.COPPER.ADJECTIVE,,Copper,구리
METAL.COPPER.NOUN,,Copper,구리
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","{{ORE.NATIVE_COPPER.NOUN}} 처럼 자연적으로 발생하는 것뿐만 아니라, {{ORE.MALACHITE.NOUN}} 광석에서 쉽게 제련할 수 있습니다. 구리는 효과적인 무기를 만들기에 충분하지 않지만 특히 주화 분야에서 많은 용도를 가지고 있습니다."
METAL.GOLD.ADJECTIVE,,Golden,황금
METAL.GOLD.NOUN,,Gold,금
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","금속의 왕. 가장 희귀하거나 가장 가치있는 것은 아니지만, 금은 대부분의 종족들, 특히 드워프에 의해 가장 탐낼 수 있는 금속입니다."
METAL.IRON.ADJECTIVE,,Iron,철
METAL.IRON.NOUN,,Iron,철
