KEY,NOTES,ENGLISH,FRENCH
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,en saphir
GEM.SAPPHIRE.NOUN,,Sapphire,Saphir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Souvent censés protéger le porteur de l'attention des démons, les saphirs sont très recherchés par les mages pour une utilisation dans le ciel et la magie aérienne."
GEM.SPINEL.ADJECTIVE,,Spinel,en spinelle
GEM.SPINEL.NOUN,,Spinel,Spinelle
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Souvent confondus avec des pierres célestes comme de vrais rubis et saphirs, les spinelles sont une forme moindre de gemme imprégnée de magie qui peut être associée à n'importe quel élément, selon la couleur."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,en tanzanite
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanite
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,Une pierre précieuse rare qui peut alterner entre le bleu et le violet. Il est supposé être formé à partir du corps matériel d'un dieu mort.
GEM.TOPAZ.ADJECTIVE,,Topaz,en topaze
GEM.TOPAZ.NOUN,,Topaz,Topaze
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Parfois confondue avec la gemme {{GEM.CITRINE.NOUN}} plus commune, la topaze peut être trouvée en plusieurs couleurs, mais le plus souvent un brun jaunâtre. Il a d'abord été découvert sur une île qui n'existe plus."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,en tourmaline
GEM.TOURMALINE.NOUN,,Tourmaline,Tourmaline
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Souvent trouvé à côté de {{ORE.CASSITERITE.ADJECTIVE}} minerai. Il est parfois associé à la magie de la terre.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,en turquoise
GEM.TURQUOISE.NOUN,,Turquoise,Turquoise
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Un minéral bleu-vert souvent utilisé dans les décorations. On pense qu'il porte bonne chance au porteur. Il est souvent infusé avec l'élément de la terre.

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Collecte: {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Boire {{targetZoneMaterial}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Mange {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transporte: {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Libre
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Va dormir
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Transfère: {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Ajouter/retirer des cases
GUI.ADD_TILES,This should be as short as possible,Add tiles,Ajouter des cases
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Volume de l’ambiance sonore:
GUI.BACK_LABEL,This should be as short as possible,Back,"Retour "
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Pont
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Portes
GUI.BUILD.WALLS,,Walls,Murs
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,En L
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,En carré
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Simple
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Meubles
GUI.BUILD_LABEL,This should be as short as possible,Build,"Construire "
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,"Annuler "
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Changer de profession
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),
GUI.CROP_SELECTION,,Crop:,Culture:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}}, jour{{dayNumber}}, {{season}}"
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,
GUI.DIALOG.DISMISS,,Dismiss,Rejeter
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Une chambre avec ce nom existe déjà.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,Le fichier de sauvegarde n'a pas pu être chargé car il est incompatible avec cette version du jeu.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Une erreur s'est produite
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Une erreur inattendue s'est produite lors du chargement du jeu.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Une erreur inattendue s'est produite lors de la sauvegarde du jeu.
GUI.DIALOG.INFO_TITLE,,Information,Informations
GUI.DIALOG.JUMP_TO,,Go to location,Aller à l'emplacement
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,La traduction de la langue sélectionnée est actuellement incomplète et il manque du texte. Un langage de secours sera utilisé.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Vous avez sélectionné un autre ensemble de mods à appliquer au jeu. Celles-ci seront appliquées au prochain redémarrage du jeu.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Un ou plusieurs mods sont incompatibles avec cette version du jeu et ont été désactivés. Vous pouvez vérifier les mises à jour dans le menu mods.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Renommer la salle
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Vous devez redémarrer le jeu pour que cette modification prenne effet
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Appartient à {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Retrait en cours
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Ce meuble doit être placé sur {{materialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Plein écran
GUI.GRAPHICS.RESOLUTION,,Resolution,Résolution
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Vide (en jachère)
GUI.MINIMAP.LABEL,,Minimap,Minimap
GUI.MUSIC_VOLUME,,Music volume:,Volume de la musique:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Nouvelle version maintenant disponible sur Itch.io
GUI.NEXT_LABEL,This should be as short as possible,Next,Suivant
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Aucune rotation possible pour ce meuble dans cette version du jeu
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Options sonores
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Rendre les arbres transparents lors de l'obscurcissement des colons
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Pause pour les notifications
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","Options de jeu "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Faites défiler lorsque le curseur est sur le bord de l'écran
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Options graphiques "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Autoriser les rapports d'incident automatiques
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Divers
GUI.OPTIONS.TAB.AUDIO,,Audio,
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,
GUI.OPTIONS.TAB.MISC,,Other,
GUI.OPTIONS.TAB.TWITCH,,Twitch,
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Couper
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Arracher
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,"Récolter "
GUI.ORDERS.MINE,This should be as short as possible,Mine,Miner
GUI.ORDERS_LABEL,This should be as short as possible,Orders,"Ordres "
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Un pont doit couvrir les deux côtés de la rivière et avoir au moins 3x3 tuiles de taille
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Retirer
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Retirer des cases
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Ressources
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Disponible: {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Appuyez sur (R) pour pivoter les meubles
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Sauvegarde en cours...
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Mort: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Population: {{count}}
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Les colons
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Total: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Volume des effets sonores
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Dimension de l'interface:
GUI.VIEW_ROADMAP,,View development roadmap,
GUI.ZONES_LABEL,This should be as short as possible,Zones,Zones

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWL,,Going sober,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,A mangé un repas cuisiné
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,A porté un cadavre
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,A bu de l'eau de rivière
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,- Affamé
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Déshydraté de façon critique
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Optimiste quant à la nouvelle colonisation
HAPPINESS_MODIFIER.POISONED,,Poisoned,Empoisonné
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,J'ai vu un cadavre
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",A dormi dans une chambre spacieuse et individuelle
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,A dormi dans une chambre individuelle
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,A partagé une chambre avec d'autres colons
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,A dormi dans une chambre étroite
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,A dormi sur sol rugueux
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,A dormi sous les étoiles
HAPPINESS_MODIFIER.TITLE,,Happiness:,Bonheur:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Très faim
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Très soif
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Extrêmement fatigué

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} affecté à {{targetDescription}}

HINT.BUTTON.DISABLE_ALL,,Disable all hints,Désactiver tous les conseils
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,Indications uniquement
HINT.BUTTON.NEXT,,Next,Prochain
HINT.BUTTON.TUTORIAL,,Tutorial,Tutoriel
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",
HINT.PROGRESS.HEADER,,Progress:,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","Bienvenue dans le monde du Roi sous la Montagne! Il s'agit d'une version alpha précoce du jeu avec beaucoup plus de fonctionnalités et d'éléments de gameplay encore à mettre en œuvre. Votre bande intrépide de colons nains a choisi cet endroit pour fonder une nouvelle colonie de leur royaume. Fournir de la nourriture, du logement et de la prospérité et qui sait, peut-être un jour ce sera la capitale d'un royaume à lui seul!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",TEXTE

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{profession.noun}} {{race.adjective}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Pâte
INGREDIENT.FLOUR,,Flour,Farine
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Miche
INGREDIENT.LOAF.PLURAL,,Loaves,Miches
INGREDIENT.MALT.SACK.NOUN,,Malt,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Champignonnière
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Champignonnière
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Également connu sous le nom de mycélium, cela peut être considéré comme des «graines» à partir desquelles on peut cultiver des champignons dans une {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Graine:
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Graines:
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Les graines du bon type sont nécessaires pour la plantation dans un {{ROOMS.FARM}}. Ils doivent également être disponibles dans le grenier {{STOCKPILE.GRANARY}}.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Sac:

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Inventaire:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Carburant
ITEM_GROUP.PRODUCT.PLURAL,,Products,Produits
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Ressources
ITEM_GROUP.TOOL.PLURAL,,Tools,Outils

LANGUAGE.LABEL,,Language,Langue

LIQUID.BEER.NOUN,,Beer,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,
LIQUID.WATER.NOUN,,Water,Eau
LIQUID.WORT.NOUN,,Wort,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",

MADNESS.BROKEN.ADJECTIVE,,Broken,Cassé
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",Ce colon était si malheureux qu'ils ont été poussés au-delà du point de rupture et ne vont plus travailler ou même manger!

MATERIAL,Used for specifying which material something is made out of,Material,Matériau

MATERIAL_TYPE,,Type,Sorte
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Tous
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,En terre
MATERIAL_TYPE.EARTH.NOUN,,Earth,Terre
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Nourriture
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Gemme
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,en métal
MATERIAL_TYPE.METAL.NOUN,,Metal,Métal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Minerai
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Autre
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Graine
MATERIAL_TYPE.STONE.ADJECTIVE,,,en pierre
MATERIAL_TYPE.STONE.NOUN,,Stone,Pierre
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Légumes
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol de
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,en bois
MATERIAL_TYPE.WOOD.NOUN,,Wood,Bois

MENU.CONTINUE_GAME,,Continue game,Continuer
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,Start new game,Nouvelle partie
MENU.OPTIONS,,Options,Options
MENU.QUIT,,Quit,Quitter
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Plein écran

METAL.BRONZE.ADJECTIVE,,Bronze,En bronze
METAL.BRONZE.NOUN,,Bronze,Bronze
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Le bronze est un alliage de cuivre et d'étain. Il est plus dur et beaucoup plus durable que le cuivre seul. (Les alliages n'ont pas encore été mis en œuvre à King sous la montagne)
METAL.COPPER.ADJECTIVE,,Copper,en cuivre
METAL.COPPER.NOUN,,Copper,Cuivre
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","En plus de se présenter naturellement comme {{ORE.NATIVE_COPPER.NOUN}}, il est également facile à éperler à partir de {{ORE.MALACHITE.NOUN}} minerai. Le cuivre a de nombreuses utilisations, en particulier dans la monnaie, bien qu'il ne soit pas assez difficile de créer des armes efficaces."
METAL.GOLD.ADJECTIVE,,Golden,en or
METAL.GOLD.NOUN,,Gold,Or
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","Le roi des métaux. Bien qu'il ne soit pas le plus rare ou le plus précieux, l'or est le métal le plus convoité par la plupart des races — en particulier les nains."
METAL.IRON.ADJECTIVE,,Iron,En fer
METAL.IRON.NOUN,,Iron,Fer
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,C'est une armée pauvre qui n'a pas accès au fer. Les métallurgistes nains connaissent les secrets de l'opération dans {{METAL.STEEL.NOUN}}.
METAL.PLATINUM.ADJECTIVE,,Platinum,En platine
METAL.PLATINUM.NOUN,,Platinum,Platine
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,Un métal argenté très résistant à la corrosion. Le platine est plus rare et donc plus précieux que {{METAL.GOLD.NOUN}}.
METAL.SILVER.ADJECTIVE,,Silver,En argent
METAL.SILVER.NOUN,,Silver,Argent
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ","Comme {{METAL.GOLD.NOUN}}, l'argent est souvent utilisé pour la monnaie et comme barres solides pour le commerce de la richesse."
METAL.STEEL.ADJECTIVE,,Steel,En acier
METAL.STEEL.NOUN,,Steel,Acier
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Bien plus fort que {{METAL.IRON.NOUN}} qui fait des armes et des outils supérieurs, seuls les nains connaissent le secret de la création de l'acier."
METAL.TIN.ADJECTIVE,,Tin,Boîte
METAL.TIN.NOUN,,Tin,Étain
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),L'étain peut être fondu à partir de {{ORE.CASSITERITE.NOUN}} et allié avec {{METAL.COPPER.NOUN}} pour produire {{METAL.BRONZE.NOUN}}. (Les alliages n'ont pas encore été mis en œuvre à King sous la montagne)

MODS.APPLY,,Apply,Appliquer
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Oui
MODS.COMPATIBILITY.INCOMPATIBLE,,No,Non
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Inconnu
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Ce fichier de sauvegarde a été utilisé pour la dernière fois alors que les mods suivants étaient actifs. Ces mods sont maintenant manquants ou désactivés, de sorte que l'enregistrement risque de ne pas se charger correctement."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","Le fichier de sauvegarde n'a pas pu être chargé car il est incompatible avec cette version du jeu, ou parce que certains mods ont été désactivés ou supprimés depuis le dernier chargement de cette sauvegarde. Les mods suivants étaient attendus mais ne sont plus actifs:"
MODS.TABLE.COMPATIBILITY,,Compatible?,Compatible?
MODS.TABLE.ENABLED,,Enabled?,Activé?
MODS.TABLE.NAME,,Mod Name,Nom du mod
MODS.TABLE.ORDERING,,Re-order,Réorganiser
MODS.TABLE.VERSION,,Mod Version,Version Mod

