KEY,NOTES,ENGLISH,ITALIAN
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,Una gemma rara che può alternarsi tra blu e viola. Si pensa che sia formato dal corpo materiale di un dio morto.
GEM.TOPAZ.ADJECTIVE,,Topaz,di topazio
GEM.TOPAZ.NOUN,,Topaz,Topazio
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Talvolta confuso con la più comune gemma {{GEM.CITRINE.NOUN}}, il topazio può essere trovato in diversi colori ma più comunemente un marrone giallastro. Fu scoperto per la prima volta su un'isola che non esiste più."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,di tormalina
GEM.TOURMALINE.NOUN,,Tourmaline,Tormalina
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Spesso trovato accanto a {{ORE.CASSITERITE.ADJETTIVE}} ore. A volte è associato alla magia della terra.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,di turchese
GEM.TURQUOISE.NOUN,,Turquoise,Turchese
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Un minerale blu-verde spesso usato nelle decorazioni. Si pensa che porti fortuna al portatore. È spesso infuso con l'elemento della terra.

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Sta raccogliendo: {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Bere {{targetZoneMaterial}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Mangiare {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Sta trasportando: {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Non sta facendo niente
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Sta andando a dormire
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Sta trasferendo: {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Aggiungi/Rimuovi caselle
GUI.ADD_TILES,This should be as short as possible,Add tiles,Aggiungi caselle
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Volume effetto atmosfera ambiente:
GUI.BACK_LABEL,This should be as short as possible,Back,Indietro
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Ponte
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Porte
GUI.BUILD.WALLS,,Walls,Pareti
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,Angolo
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,Quadrato
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Singola
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Suppellettili
GUI.BUILD_LABEL,This should be as short as possible,Build,Costruisci
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,Annulla
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Cambia professione
GUI.CROP_SELECTION,,Crop:,Coltura:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}}, {{dayNumber}}° giorno, {{season}}"
GUI.DIALOG.DISMISS,,Dismiss,- Mancate
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Una stanza con quel nome esiste già.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,Impossibile caricare il file di salvataggio perché non è compatibile con questa versione del gioco.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,È stato riscontrato un errore
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Si è verificato un errore imprevisto durante il caricamento del gioco.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Si è verificato un errore imprevisto durante il salvataggio del gioco.
GUI.DIALOG.INFO_TITLE,,Information,Informazioni
GUI.DIALOG.JUMP_TO,,Go to location,Vai alla località
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,La traduzione della lingua selezionata è attualmente incompleta e mancherà del testo. Verrà utilizzato un linguaggio di fallback.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Hai selezionato una serie diversa di mod da applicare al gioco. Questi verranno applicati al successivo riavvio del gioco.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Una o più mod sono incompatibili con questa versione del gioco e sono state disattivate. Puoi controllare gli aggiornamenti nel menu mod.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Rinomina stanza
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,È necessario riavviare il gioco affinché questa modifica abbia effetto
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Oggetto assegnato a: {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Rimozione in corso
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Questi mobili devono essere collocati su {{materialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Schermo intero
GUI.GRAPHICS.RESOLUTION,,Resolution,Risoluzione
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Nessuna (lascia incolto)
GUI.MINIMAP.LABEL,,Minimap,Minimap
GUI.MUSIC_VOLUME,,Music volume:,Volume della musica:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Nuova versione ora disponibile su Itch.io
GUI.NEXT_LABEL,This should be as short as possible,Next,Avanti
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Questo mobile non può essere ruotato in questa versione del gioco
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Opzioni audio
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Rendere trasparenti gli alberi quando si oscurano i coloni
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Pausa per le notifiche
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Opzioni di gioco
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Scorri quando il cursore si trova sul bordo dello schermo
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Opzioni grafiche "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Consenti rapporti di arresto anomalo automatico
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Varie
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Taglia
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Rimuovi
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Raccogli
GUI.ORDERS.MINE,This should be as short as possible,Mine,Scava
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Ordini
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Un ponte deve coprire entrambi i lati del fiume e avere dimensioni di almeno 3x3 piastrelle
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Rimuovi
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Rimuovi caselle
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Risorse
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Disponibile: {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Premi (R) per ruotare le suppellettili
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Salvataggio...
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Morto: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Popolazione: {{count}}
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Coloni
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Totale: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Volume degli effetti sonori
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Dimensione dell'interfaccia:
GUI.ZONES_LABEL,This should be as short as possible,Zones,Zone

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWL,,Going sober,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Mangiato un pasto ben preparato
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Portava un cadavere.
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Bevuto acqua di fiume
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Morendo di fame
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Disidratati criticamente
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Ottimista sul nuovo insediamento
HAPPINESS_MODIFIER.POISONED,,Poisoned,Avvelenato
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Ho visto un cadavere.
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",Dormiva in una spaziosa camera da letto privata
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,Dormiva in una camera da letto privata
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Condividere una camera da letto con gli altri
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Dormiva in una camera da letto angusta
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Dormiva su terreni accidentati
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Dormiva sotto le stelle
HAPPINESS_MODIFIER.TITLE,,Happiness:,Felicità:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Molto affamato
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Molto sete
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Estremamente stanco

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} assegnato a {{targetDescription}}

HINT.BUTTON.DISABLE_ALL,,Disable all hints,Disabilita tutti i suggerimenti
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,Solo suggerimenti
HINT.BUTTON.NEXT,,Next,Avanti
HINT.BUTTON.TUTORIAL,,Tutorial,Tutorial
HINT.PROGRESS.HEADER,,Progress:,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","Benvenuti nel mondo di Re sotto la Montagna! Questa è una prima versione alfa del gioco con molte altre caratteristiche ed elementi di gioco ancora da implementare. La tua intrepida banda di coloni nani ha scelto questo luogo per fondare una nuova colonia del loro regno. Fornire cibo, riparo e prosperità e chissà, forse un giorno questa sarà la capitale di un regno a sé stante!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",TESTO

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{profession.noun}} {{race.adjective}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Impasto
INGREDIENT.FLOUR,,Flour,Farina
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Filone
INGREDIENT.LOAF.PLURAL,,Loaves,Filoni
INGREDIENT.MALT.SACK.NOUN,,Malt,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Progenie di funghi
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Progenie di funghi
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Conosciuto anche come micelio, questo può essere pensato come «semi» da cui coltivare funghi in un {{ROOMS.MUSHROOM_FARM}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Seme
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Semi
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,I semi del tipo giusto sono necessari per piantare in un {{ROOMS.FARM}}. Devono inoltre essere disponibili in una riserva {{STOCKPILE.GRANARY}}.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Sacco

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Inventario:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Carburante
ITEM_GROUP.PRODUCT.PLURAL,,Products,Prodotti
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Risorse
ITEM_GROUP.TOOL.PLURAL,,Tools,Attrezzi

LANGUAGE.LABEL,,Language,Lingua

LIQUID.BEER.NOUN,,Beer,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,
LIQUID.WATER.NOUN,,Water,Acqua
LIQUID.WORT.NOUN,,Wort,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",

MADNESS.BROKEN.ADJECTIVE,,Broken,Rottuto
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",Questo colono era così infelice che sono stati spinti oltre il punto di rottura e non funzionerà più o nemmeno mangiare!

MATERIAL,Used for specifying which material something is made out of,Material,Materiale

MATERIAL_TYPE,,Type,Tipo
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Qualsiasi
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,Terrestre
MATERIAL_TYPE.EARTH.NOUN,,Earth,Terra
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Cibo
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Gemma
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,di metallo
MATERIAL_TYPE.METAL.NOUN,,Metal,Metallo
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,{{BLANK}}
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Altro
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Seme
MATERIAL_TYPE.STONE.ADJECTIVE,,,di pietra
MATERIAL_TYPE.STONE.NOUN,,Stone,Pietra
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Verdure
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriolo di
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriolo
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,di legno
MATERIAL_TYPE.WOOD.NOUN,,Wood,Legno

MENU.CONTINUE_GAME,,Continue game,Continua partita
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,Start new game,Nuova partita
MENU.OPTIONS,,Options,Opzioni
MENU.QUIT,,Quit,Esci
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Attiva/Disattiva schermo intero

METAL.BRONZE.ADJECTIVE,,Bronze,di bronzo
METAL.BRONZE.NOUN,,Bronze,Bronzo
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Il bronzo è una lega di rame e stagno. È più duro e molto più resistente del solo rame. (Le leghe non sono ancora state implementate in Re sotto la Montagna)
METAL.COPPER.ADJECTIVE,,Copper,di rame
METAL.COPPER.NOUN,,Copper,Rame
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Oltre a verificarsi naturalmente come {{ORE.NATIVE_COPPER.NOUN}}, è anche facile odorare da {{ORE.MALACHITE.NOUN}} minerale. Il rame ha molti usi, in particolare nella monetazione, anche se non è abbastanza difficile creare armi efficaci."
METAL.GOLD.ADJECTIVE,,Golden,d'oro
METAL.GOLD.NOUN,,Gold,Oro
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","Il re dei metalli. Sebbene non sia il più raro o il più prezioso, l'oro è il metallo più ambito della maggior parte delle razze — in particolare i nani."
METAL.IRON.ADJECTIVE,,Iron,di ferro
METAL.IRON.NOUN,,Iron,Ferro
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,Si tratta di un esercito povero che non ha accesso al ferro. I metalfabbri nani conoscono i segreti per lavorare in {{METAL.STEEL.NOUN}}.
METAL.PLATINUM.ADJECTIVE,,Platinum,Platino
METAL.PLATINUM.NOUN,,Platinum,Platino
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,Un metallo argento-bianco che è altamente resistente alla corrosione. Il platino è più raro e quindi più prezioso di {{METAL.GOLD.NOUN}}.
METAL.SILVER.ADJECTIVE,,Silver,Colore: argento
METAL.SILVER.NOUN,,Silver,Argento
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ","Come {{METAL.GOLD.NOUN}}, l'argento è spesso usato per la monetazione e come barre solide per il commercio della ricchezza."
METAL.STEEL.ADJECTIVE,,Steel,d'acciaio
METAL.STEEL.NOUN,,Steel,Acciaio
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Molto più forte di {{METAL.IRON.NOUN}} che offre armi e strumenti superiori, solo i nani conoscono il segreto della creazione dell'acciaio."
METAL.TIN.ADJECTIVE,,Tin,Stagno
METAL.TIN.NOUN,,Tin,Alluminio
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),Lo stagno può essere fuso da {{ORE.CASSITERITE.NOUN}} e legato con {{METAL.COPPER.NOUN}} per produrre {{METAL.BRONZE.NOUN}}. (Le leghe non sono ancora state implementate in Re sotto la Montagna)

MODS.APPLY,,Apply,Applicare
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Sì
MODS.COMPATIBILITY.INCOMPATIBLE,,No,No
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Sconosciuto
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Questo file di salvataggio è stato utilizzato per l'ultima volta mentre le seguenti mod erano attive. Queste mod sono ora mancanti o disabilitati, quindi il salvataggio potrebbe non essere caricato correttamente."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:",Il file di salvataggio non può essere caricato perché non è compatibile con questa versione del gioco o perché alcune mod sono state disabilitate o rimosse dall'ultima volta che questo salvataggio è stato caricato. Le seguenti mod erano attese ma non sono più attive:
MODS.TABLE.COMPATIBILITY,,Compatible?,Compatibile?
MODS.TABLE.ENABLED,,Enabled?,Abilitato?
MODS.TABLE.NAME,,Mod Name,Nome mod
MODS.TABLE.ORDERING,,Re-order,Riordina
MODS.TABLE.VERSION,,Mod Version,Versione Mod

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.Noun}}

NEEDS.DRINK,,Drink,Bere
NEEDS.FOOD,,Food,Cibo
NEEDS.SLEEP,,Sleep,Dormi

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,I tuoi minatori hanno scoperto una nuova area!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Esplorazione
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, è morto a causa di {{reason}}."
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Morto a causa di {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler death,Morte colono
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Tutto deve finire. Il tuo insediamento e' abbandonato.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Partita finita
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,La prosperità del vostro insediamento ha attirato un certo numero di nuovi immigrati per aumentare la vostra popolazione.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Immigrazione
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Un'area è crollato a causa della mancanza di pilastri e supporti.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Crollo minerario
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,L'estenuante difficoltà ha dimostrato di essere troppo da gestire per {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Pausa mentale

ORE.BAUXITE.ADJECTIVE,,Bauxite,Bauxite
ORE.BAUXITE.NOUN,,Bauxite,Bauxite
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.","La bauxite è il minerale primario di alluminio. Purtroppo, un mezzo di produzione dell'alluminio è ancora da scoprire."
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,di carbone bituminoso
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Carbone bituminoso
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Questo può essere convertito in {{ORECOKE.NOUN}} utilizzando un {{FURNITURE.COKE_OVEN}}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,di cassiterite
ORE.CASSITERITE.NOUN,,Cassiterite,Cassiterite
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,Un minerale che può essere fuso per produrre {{METAL.TIN.NOUN}}.
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Carboncino
ORE.CHARCOAL.NOUN,,Charcoal,Carboncino
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} prodotto da legno {{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Crisocolla
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Crisocolla
