KEY,NOTES,ENGLISH,TURKISH
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,Menekşe renkli bir kuvars çeşidi. Antik insanlar taşın kendilerini çok sarhoş olmaktan koruyacağına inandıkları için Cüce kültüründe çok popüler değil.
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolit
GEM.AMMOLITE.NOUN,,Ammolite,Ammolit
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"Kırmızı ve yeşil parıltıya sahip, opal benzeri kıymetli taş. ""Avcı Taşı"" olarak bilinir ve bu taştan yapılan muskaların av esnasında iyi şans getireceğine inanılır."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Aquamarin
GEM.AQUAMARINE.NOUN,,Aquamarine,Aquamarin
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,"Camgöbeği renkli bir beril çeşididir. Bazı insanlar, antik bir büyücü gök ve buz büyülerini  denizlerin tehlikelerine karşı büyüşü bir koruma sağladığına inanır. Bunun inanışın nedeni, antik bir büyücünün karanlık çağda ticaret gemilerini korumak için gökyüzü ve buz büyüsünün bir kombinasyonunu kullanmış olmasıdır."
GEM.BIXBITE.ADJECTIVE,,Bixbite,Biksbit
GEM.BIXBITE.NOUN,,Bixbite,Biksbit
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",Kırmızı beril olarakta bilinen çok nadir bir değerli taş. Genellikle kırmızı zümrüt ile karıştırılır.
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Zincifre
GEM.CINNABAR.NOUN,,Cinnabar,Zincifre
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,Koyu kırmızı rengi nedeni ile genellikle mücevher yapımında kullanılan bir civa cevheri. Ayrıca vermilyon olarak bilinen boyanında yapımında kullanılır.
GEM.CITRINE.ADJECTIVE,,Citrine,Sitrin
GEM.CITRINE.NOUN,,Citrine,Sitrin
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",Sarımsı kuvars çeşidi. Rengi altına en yakın değerli taş olduğu için cüceler şans getirdiğine inanır.
GEM.DIAMOND.ADJECTIVE,,Diamond,Elmas
GEM.DIAMOND.NOUN,,Diamond,Elmas
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,"Yedi cennet taşlarının en önemlilerinden biri olan ve bilinen en sert madde.  Elmaslar, “ruh” veya “eter” olarak bilinen nötr elementin en yoğun halidir."
GEM.EMERALD.ADJECTIVE,,Emerald,Smaragd
GEM.EMERALD.NOUN,,Emerald,Smaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,"Eine leuchtend grÃ¼ne Beryllvariante. Man glaubt, dass Gravuren auf einem Smaragd groÃŸes UnglÃ¼ck bringen. Smaragde sind eng mit dem Elementarleben und der damit verbundenen Magie verwandt."
GEM.GARNET.ADJECTIVE,,Garnet,Zümrüt
GEM.GARNET.NOUN,,Garnet,Zümrüt
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",Zümrütler değerli taş olarak geçen ve genellikle koyu kırmızı renge sahip olan minerallerin genel adıdır. Bazı zümrütler aslında yoğunlaştırılmış ateş elementidir.
GEM.JADE.ADJECTIVE,,Jade,Yeşim
GEM.JADE.NOUN,,Jade,Yeşim
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Açık yeşil renge sahip ve genellikle dekorasyon için kullanılan mineral. Ayrıca, elflerin yeşimi bağırsak rahatsızlıklarına iyi gelen ilaç yapımında kullanıldığı biliniyor."
GEM.JASPER.ADJECTIVE,,Jasper,Jasper
GEM.JASPER.NOUN,,Jasper,Jasper
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Silisin, genellikle kırmızı olan ancak farklı renklerdede görülebilenö saf olmayan bir çeşidi. Jasper renk çeşitliliği nedeni ile Orklar tarafından rağbet görmektedir."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorit
GEM.LABRADORITE.NOUN,,Labradorite,Labradorit
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,Açık mavi bir ışıltıyla parlayan bir taş. Nadir çeşitleri  farklı renkler yansıtabilmektedir.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapislazuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapislazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,Muhteşem bir koyu mavi renge sahip olan değerli taş.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Manyezit
GEM.MAGNESITE.NOUN,,Magnesite,Manyezit
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,"Kuyucumlukta kullanılmak üzere boncuk haline getirebilen ve isteğe göre farklı renklere boyanabilen bir mineral. "
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Lüle Taşı
GEM.MOONSTONE.NOUN,,Moonstone,Lüle Taşı
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",Ay ışığının bir taş içine hapsolması ile oluştuğu düşünülen ve bu nedenle Elflerin favorisi olan değerli taş.
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganit
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,"Gül rengine sahip bir beril çeşidi. Efsaneler çağında yaşamış, zengin bir tüccar tarafından popülerleştirildikden sonra bu ismi almıştır."
GEM.OPAL.ADJECTIVE,,Opal,Opal
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.",Okyanusların büyüsü ile birleşmiş bir silika çeşididir. Bu nedenle denizciler ve balıkçılar arasında popülerdir.
GEM.PAINITE.ADJECTIVE,,Painite,Painit
GEM.PAINITE.NOUN,,Painite,Painit
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,Çok nadir bir mücehverdir genellikle solgun safir renginden anlaşılır. Kristaller doğal olarak altıgen şeklindedirler ve taktik uzmanlarının favorileridir.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rodokrosit
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rodokrosit
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,Kırmızıdan pembeye kadar farklı tonlarda bulunur. Diğer değerli taşlar kadar sert olmadıkları için genellikle yüzük veya diğer şaşalı takılarda kullanılmaz.
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,Kaya Kristali
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Kaya Kristali
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,Kuvarsın en saf hali. Taş kristalleri buz elementinin yoğunlaşmış halleri olduğu için genellikle büyülü artefaktlarda kullanılırlar.
GEM.RUBY.ADJECTIVE,,Ruby,Yakut
GEM.RUBY.NOUN,,Ruby,Yakut
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",Yedi cennet taşından biri olan yakutlar katı hale yoğunlaşmış ateş elementidirler.
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Safir
GEM.SAPPHIRE.NOUN,,Sapphire,Safir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Genellikle kullanıcıyı iblislerden koruduğuna inanılan safir, büyücüler tarafından gök ve hava temelli büyülerde kullanmak için rağbet görür."
GEM.SPINEL.ADJECTIVE,,Spinel,Spinel
GEM.SPINEL.NOUN,,Spinel,Spinel
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Genellikle  yakutlar ve safirler gibi cennet taşlarla karıştırılan spineller, renge bağlı olarak herhangi bir elementle ilişkilendirilebilen daha aşağı seviye büyü ile aşılanmış mücevher şeklidir."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Tanzanit
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanit
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,Mavi veya menekşe arasında renk değiştirebilen nadir bir değerli taş. Ölü bir tanrının fiziksel bedeninden meydana geldikleri düşünülüyor.
GEM.TOPAZ.ADJECTIVE,,Topaz,Topaz
GEM.TOPAZ.NOUN,,Topaz,Topaz
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",Bazen daha kolay bulunan {{GEM.CITRINE.NOUN}} karıştırılan topaz birkaç renkte bulunabilir ancak genellikle kahverengiye çalan sarı rengindedir. İlk defa artık olmayan bir adada keşfedildi.
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalin
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Genellikle {{ORE.CASSITERITE.ADJECTIVE}} ile beraber bulunan cevher. Bazen yeryüzü büyüsü ile ilişkilendirilir.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Turkuaz
GEM.TURQUOISE.NOUN,,Turquoise,Turkuaz
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Mavi-yeşil renge sahip genellikle dekorasyonda kullanılan bir mineral. Taşıyıcısına iyi şans getirdiğine inanılır. Genellikle toprak elementi ile birleiştirilir.

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}}," {{targetDescription}} toplanıyor"
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}}," {{targetZoneMaterial}} içiliyor"
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},{{targetDescription}} yeniliyor
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},{{itemDescription}} taşınıyor
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Boşta
GOAL.ON_FIRE.DESCRIPTION,,On fire!,
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Uyumaya gidiyor
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},{{targetZoneMaterial}} aktarılıyor

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Karo ekle/çıkar
GUI.ADD_TILES,This should be as short as possible,Add tiles,Karo ekle
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Ambians atmosfer müzik sesi
GUI.BACK_LABEL,This should be as short as possible,Back,Geri
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Köprü
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Kapı
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,
GUI.BUILD.PIPING,,Pipes,
GUI.BUILD.POWER,,Power,
GUI.BUILD.ROOFING,,Roofing,
GUI.BUILD.WALLS,,Walls,Duvar
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,L şekilli
GUI.BUILD.WALLS.ROOM,For building 4 walls and a roof at once,Room,
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Tekli
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Mobilya
GUI.BUILD_LABEL,This should be as short as possible,Build,İnşa Et
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,İptal
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Meslek Değiştir
GUI.CHANGE_WEAPON_LABEL,,Select weapon,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,Sabit Düzey
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,Üretim
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Anlık toplam: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),Toplam) ({{quantity}}
GUI.CROP_SELECTION,,Crop:,Mahsül:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}, year {{year}}","{{timeOfDay}}, Gün {{dayNumber}}, {{season}}"
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,Yık
GUI.DIALOG.CANCEL_BUTTON,,Cancel,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,
GUI.DIALOG.DISMISS,,Dismiss,Savmak
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Bu isime sahip bir oda zaten var.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,Kayıt dosyası oyunun bu versiyonu ile uyumlu olmadığı için yüklenemedi.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Bir hata oluştu.
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Oyunu yüklerken beklenmeyen bir hata oluştu.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Oyunu kaydederken beklenmeyen bir hata oluştu.
GUI.DIALOG.INFO_TITLE,,Information,Bilgi
GUI.DIALOG.JUMP_TO,,Go to location,Konuma git
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Seçilen dilin çevirisi henüz tamamlanmadı ve bazı metinler eksik. Eksik kısımlar yedek dil ile doldurulacak.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,"Oyuna uygulanacak farklı bir mod seti seçtiniz. Bu modlar, oyun yeniden başlatıldığında aktif hale gelecektir."
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Bir veya birden fazla mod oyunun sürümü ile uyumlu değil bu yüzden devre dışı bırakıldı. Güncellemeler için Mod menüsünü kontrol edebilirsin.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,Tamam
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Odayı yeniden isimlendir
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,Vatantaşı yeniden isimlendir
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Bu değişikliğin gerçekleşmesi için oyunu yeniden başlatman gerekiyor.
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,
GUI.EMBARK.DISCLAIMER,,"This is an early alpha version of King under the Mountain. There are many, many features still to be added, and bugs are to be expected. In a future update you will be able to use this screen to customise your starting settlers, resources and even map and gameplay settings. Please join our Discord community to report any bugs you find or offer feedback, so we can work together to guide King under the Mountain to become the best possible version of itself. Thank you for playing!",
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,
GUI.EMBARK.MAP_SEED,,Map seed:,
GUI.EMBARK.SETTLEMENT_NAME,,Settlement name:,
GUI.EMBARK.START,,Begin!,
GUI.EMBARK.TITLE,,Embark Options,
GUI.EMPTY_CONTAINER_LABEL,This should be as short as possible,Empty,
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}}," {{name}} a atandı"
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Şuanda kaldırılıyor
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Bu mobilya  {{materialType}} üzerine yerleştirilmeli
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Tam ekran
GUI.GRAPHICS.RESOLUTION,,Resolution,Çözünürlük
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Hiç
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,
GUI.LOAD_GAME.TABLE.DELETE,,Delete,
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,
GUI.LOAD_GAME.TABLE.VERSION,,Version,
GUI.LOAD_GAME.TITLE,,Load Game,
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,
GUI.MAP_SEED_DISPLAY,,"Current map seed: ",
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,
GUI.MINIMAP.LABEL,,Minimap,El Haritası
GUI.MUSIC_VOLUME,,Music volume:,Müzik seviyesi:
GUI.NEXT_LABEL,This should be as short as possible,Next,Sonraki
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Oyunun bu versiyonunda mobilyalar döndürülemiyor.
GUI.OK_LABEL,This should be as short as possible,Ok,Tamam
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Ses Ayarları
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Vatandaşı görmeyi engelleyen ağaçları transparan yapar.
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Bildirimler için duraklat
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Oyun Ayarları
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,İmleç ekranın köşesinde iken orta tuş ile kaydır.
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ",Grafik Ayarları
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Otomatik çökme raporlarına izin ver.
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints in-game,Oyun içinde ipucu ve öğreticilere izin ver.
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,Ana ekrandaki arka planı kaydır.
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Çeşitli
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Ask to start the tutorial at game start,
GUI.OPTIONS.TAB.AUDIO,,Audio,Ses
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,Oynanış
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,Grafikler
GUI.OPTIONS.TAB.MISC,,Other,Diğer
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Twitch Hesabı:
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,Kod
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,Twitch hesabı bağlandı
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,Bağlantıyı kopart
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Twitch hesap bağlantısı koparıldı
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,Twitch entagrasyonu aktif.
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,Twitch ile iletişimde bir hata oluştu.
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,Twitch hesabı ile bağlanmak için tıkla
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,Abonelere öncelik ver
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,Gönder
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Twitch Entagrasyonu
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,İzleyicileri vatandaş isimleri olarak gör
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Kes
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Temizle
GUI.ORDERS.DIG_CHANNELS,This should be as short as possible - used to dig channels in the ground for water to run through to irrigate crops,Irrigation,
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,
GUI.ORDERS.EXTINGUISH_FLAMES,This should be as short as possible - used to put out fires by throwing buckets of water on them,Extinguish,
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Hasat
GUI.ORDERS.HUNT,This should be as short as possible - used to select animals to be hunted,Hunt,
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,
GUI.ORDERS.MINE,This should be as short as possible,Mine,Kaz
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Emirler
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Köpri nehirin iki tarafınıda kaplamalı ve en az 3x3 karo olmalı.
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,Öncelik
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Kaldır
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Karoları Sil
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Kaynaklar
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},"Mevcut: {{count}}  "
GUI.ROOFING.ADD,,Add,
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Mobilyayı döndürmek içni (R) bas.
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Kaydediliyor
GUI.SETTINGS.LABEL,,Settings,
GUI.SETTLER_MANAGEMENT.BEDS_COUNTER,,Number of beds: {{count}},
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Ölü: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Popülasyon: {{count}}
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,İsime göre sırala
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,Mutsuzluğa göre sırala
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Vatandaşlar
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Toplam: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Ses efekti seviyesi
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Arayüz ölçeği:
GUI.VIEW_ROADMAP,,View development roadmap,Geliştirme yol haritasını görüntüle
GUI.ZONES_LABEL,This should be as short as possible,Zones,Bölgeler

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober,Ayılıyor
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Güzel hazırlanmış bir yemek yedi
HAPPINESS_MODIFIER.BLEEDING,,Bleeding profusely,
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Bir ceset taşıdı
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain,
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,Alkolün etksii altında
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Nehir suyu içti
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Açlıktan Ölüyor
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Tehlikeli seviyede susuz
HAPPINESS_MODIFIER.HAD_A_TANTRUM,,Had a tantrum,
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Yeni yerleşim yeri hakkında umutlu
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned,
HAPPINESS_MODIFIER.POISONED,,Poisoned,Zehirlendi
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Ceset gördü
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain,
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow,
HAPPINESS_MODIFIER.SLEPT_IN_ENCLOSED_BEDROOM,,Slept in an enclosed bedroom,
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",Kişisel ve geniş bir yatak odasında uyudu
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Başkaları ile oda paylaştı
