KEY,NOTES,ENGLISH,SWEDISH
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Äta {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Släpa {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Inaktiv
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Gå till sängs
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Överföra {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Lägg till/ta bort brickor
GUI.ADD_TILES,This should be as short as possible,Add tiles,Lägg till paneler
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Volym för omgivande atmosfär:
GUI.BACK_LABEL,This should be as short as possible,Back,"Tillbaka "
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Bron
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Dörrar
GUI.BUILD.WALLS,,Walls,Väggar
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,L-form
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,Quad
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Singel
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Möbler
GUI.BUILD_LABEL,This should be as short as possible,Build,Bygg
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,"Avbryt "
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Byt yrke
GUI.CROP_SELECTION,,Crop:,Beskära:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{TimeofDay}}, dag {{dayNumber}}, {{säsong}}"
GUI.DIALOG.DISMISS,,Dismiss,Avfärda
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Ett rum med det namnet finns redan.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,Spara filen kunde inte laddas eftersom den är inkompatibel med den här versionen av spelet.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Ett fel har inträffat
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Det var ett oväntat fel när du laddade spelet.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Det var ett oväntat fel när du räddade spelet.
GUI.DIALOG.INFO_TITLE,,Information,Information
GUI.DIALOG.JUMP_TO,,Go to location,Gå till plats
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Den valda språköversättningen är för närvarande ofullständig och kommer att sakna en del text. Ett reservspråk kommer att användas.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Du har valt en annan uppsättning mods som ska tillämpas på spelet. Dessa kommer att tillämpas när spelet startas nästa gång.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,En eller flera mods är inkompatibla med den här versionen av spelet och har avaktiverats. Du kan söka efter uppdateringar i mods-menyn.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,OKEJ
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Byt namn på rum
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Du måste starta om spelet för att ändringen ska träda i kraft
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Tilldelas till {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,För närvarande tas bort
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Möblerna måste placeras på {{MaterialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Helskärm
GUI.GRAPHICS.RESOLUTION,,Resolution,Upplösning
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Ingen (Lämna träda)
GUI.MINIMAP.LABEL,,Minimap,Minimap
GUI.MUSIC_VOLUME,,Music volume:,Musik volym:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Ny version nu tillgänglig på Itch.io
GUI.NEXT_LABEL,This should be as short as possible,Next,Nästa
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Dessa möbler kan inte roteras i den här versionen av spelet
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Alternativ för ljud
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Gör träd genomskinliga när dölja bosättare
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Paus för meddelanden
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Spelalternativ
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Rulla när markören är vid kanten av skärmen
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Grafikinställningar "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Tillåt automatiska kraschrapporter
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Diverse
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Hugga
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Rensa
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Skörda
GUI.ORDERS.MINE,This should be as short as possible,Mine,Gräva
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Order
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,En bro måste täcka båda sidor av floden och vara minst 3x3 plattor i storlek
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Ta bort
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Ta bort paneler
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Resurser
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Tillgänglig: {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Tryck på (R) för att rotera möbler
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Räddar...
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Döda: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Befolkning: {{count}}
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Nybyggare
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Totalt: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Ljudeffektvolym
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Gränssnittskala:
GUI.ZONES_LABEL,This should be as short as possible,Zones,Zoner

HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Åt en fint tillagad måltid
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Bär en död kropp
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Drack flod vatten
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Svältande
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Kritiskt uttorkad
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Optimistiska om ny bosättning
HAPPINESS_MODIFIER.POISONED,,Poisoned,Förgiftad
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Såg en död kropp
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom","Sov i ett rymligt, privat sovrum"
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,Sov i ett privat sovrum
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Delat sovrum med andra
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Sov i ett trångt sovrum
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Sov på grov mark
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Sov under stjärnorna
HAPPINESS_MODIFIER.TITLE,,Happiness:,Lycka:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Mycket hungrig
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Mycket törstig
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Extremt trött

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{kvantitet}} tilldelad till {{targetDescription}}

HINT.BUTTON.DISABLE_ALL,,Disable all hints,Inaktivera alla tips
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,Endast tips
HINT.BUTTON.NEXT,,Next,Nästa
HINT.BUTTON.TUTORIAL,,Tutorial,Handledning
HINT.PROGRESS.HEADER,,Progress:,
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","Välkommen till kungens värld under berget! Detta är en tidig alfa-version av spelet med många fler funktioner och spelelement som fortfarande återstår att implementera. Ert orädda band av dvärgbosättare har valt den här platsen för att hitta en ny koloni i sitt kungarike. Ge mat, skydd och välstånd och vem vet, kanske en dag kommer detta att vara huvudstad i ett eget rike!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",TEXT

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjektiv}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,- Degen
INGREDIENT.FLOUR,,Flour,Mjöl
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,- Brödet
INGREDIENT.LOAF.PLURAL,,Loaves,Bröden
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Svamp leka
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Svamp leka
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Även känt som mycelium, kan detta ses som ”frön” för att odla svamp i en {{ROOPS.MUSROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Frö
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Frön
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Frön av rätt typ krävs för plantering i {{ROOMS.FARM}}. De måste också finnas tillgängliga i en {{STOCKPILE.GRANARY}} -lagerlucka.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Säck

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Inventering:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}} {{MaterialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Bränsle
ITEM_GROUP.PRODUCT.PLURAL,,Products,Produkter
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Resurser
ITEM_GROUP.TOOL.PLURAL,,Tools,Verktyg

LANGUAGE.LABEL,,Language,Språk

LIQUID.WATER.NOUN,,Water,Vatten

MADNESS.BROKEN.ADJECTIVE,,Broken,Bruten
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",Denna bosättare var så olycklig att de har drivit förbi brytpunkten och kommer inte längre att fungera eller ens äta!

MATERIAL,Used for specifying which material something is made out of,Material,Material

MATERIAL_TYPE,,Type,Sort
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Någon
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,Jord
MATERIAL_TYPE.EARTH.NOUN,,Earth,Jorden
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Mat
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Ädelsten
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,Metallisk
MATERIAL_TYPE.METAL.NOUN,,Metal,Metall
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Malm
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Annat
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Frö
MATERIAL_TYPE.STONE.ADJECTIVE,,,Sten-
MATERIAL_TYPE.STONE.NOUN,,Stone,Sten
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Grönsaker
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol av
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,Trä-
MATERIAL_TYPE.WOOD.NOUN,,Wood,Trä

MENU.CONTINUE_GAME,,Continue game,Fortsätt spela
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,Start new game,Starta ett nytt spel
MENU.OPTIONS,,Options,Inställningar
MENU.QUIT,,Quit,Avsluta
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Växla helskärm

METAL.BRONZE.ADJECTIVE,,Bronze,Brons-
METAL.BRONZE.NOUN,,Bronze,Brons
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Brons är en legering av koppar och tenn. Det är svårare och mycket mer hållbart än koppar ensam. (Legeringar har ännu inte genomförts i King under berget)
METAL.COPPER.ADJECTIVE,,Copper,Koppar-
METAL.COPPER.NOUN,,Copper,Koppar
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Förutom att den förekommer naturligt som {{ORE.NATIVE_COPPER.NOUN}} är den också lätt att smälta från {{ORE.MALACHITE.NOUN}} malm. Koppar har många användningsområden, särskilt i mynt, men det är inte svårt nog att skapa effektiva vapen."
METAL.GOLD.ADJECTIVE,,Golden,Guld-
METAL.GOLD.NOUN,,Gold,Guld
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.",Kungen av metaller. Även om det inte är den mest sällsynta eller värdefulla är guld den mest eftertraktade metallen av de flesta raser — särskilt dvärgar.
METAL.IRON.ADJECTIVE,,Iron,Järn-
METAL.IRON.NOUN,,Iron,Järn
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,Det är en fattig militär som inte har tillgång till järn. Dvärgmetallsmider känner till hemligheterna bakom att arbeta in detta i {{MEAL.STEEL.NOUN}}.
METAL.PLATINUM.ADJECTIVE,,Platinum,Platina
METAL.PLATINUM.NOUN,,Platinum,Platina
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,En silvervit metall som är mycket motståndskraftig mot korrosion. Platina är ovanligare och därför mer värdefullt än {{MEAL.GOLD.NOUN}}.
METAL.SILVER.ADJECTIVE,,Silver,Silver
METAL.SILVER.NOUN,,Silver,Silver
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",Liksom {{MEAL.GOLD.NOUN}} används silver ofta för mynt och som solida barer för handel med rikedom.
METAL.STEEL.ADJECTIVE,,Steel,Stål-
METAL.STEEL.NOUN,,Steel,Stål
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Mycket starkare än {MEAL.IRON.NOUN}} som gör för överlägsna vapen och verktyg, bara dvärgarna känner till hemligheten med att skapa stål."
METAL.TIN.ADJECTIVE,,Tin,Tenn
METAL.TIN.NOUN,,Tin,Tenn
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),Tenn kan smältas från {{ORE.CASSITERITE.NOUN}} och legeras med {{MEAL.COPPER.NOUN}} för att producera {{META.BRONZE.NOUN}}. (Legeringar har ännu inte genomförts i King under berget)

MODS.APPLY,,Apply,Applicera
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Javisst
MODS.COMPATIBILITY.INCOMPATIBLE,,No,- Nej
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Okänd
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,Den här sparfilen användes senast medan följande mods var aktiva. Dessa mods saknas nu eller inaktiveras så att spara kanske inte laddas korrekt.
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","Spara filen kunde inte laddas eftersom den antingen är inkompatibel med den här versionen av spelet, eller eftersom vissa mods har inaktiverats eller tagits bort sedan den här sparningen senast laddades. Följande mods förväntades men är inte längre aktiva:"
MODS.TABLE.COMPATIBILITY,,Compatible?,Kompatibel?
MODS.TABLE.ENABLED,,Enabled?,Aktiverad?
MODS.TABLE.NAME,,Mod Name,Mod Namn
MODS.TABLE.ORDERING,,Re-order,Order om
MODS.TABLE.VERSION,,Mod Version,Mod version

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.substantiv}}

NEEDS.DRINK,,Drink,Drick
NEEDS.FOOD,,Food,Mat
NEEDS.SLEEP,,Sleep,Sova

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Dina gruvarbetare har upptäckt ett nytt område!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Utforskning
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, har dött på grund av {{reason}}."
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Död på grund av {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler death,Settler död
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Allt måste komma till ett slut. Din bosättning ligger övergiven.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Game Over
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,Välståndet i er bosättning har lockat ett antal nya invandrare för att öka er befolkning.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Invandring
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Ett område har rasat in på grund av brist på pelare och stöd.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Gruvkollaps
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,De hårda svårigheterna har visat sig vara för mycket att hantera för {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Mental paus

ORE.BAUXITE.ADJECTIVE,,Bauxite,Bauxit
ORE.BAUXITE.NOUN,,Bauxite,Bauxit
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",Bauxit är den primära malmen av aluminium. Tyvärr har man ännu inte upptäckt ett sätt att tillverka aluminium.
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Bituminöst kol
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Stenkol
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Detta kan konverteras till {{ORE.COKE.NOUN}} med hjälp av en {{FURITURE.COKE_OVEN}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,Kassiterit
ORE.CASSITERITE.NOUN,,Cassiterite,Kassiterit
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,En malm som kan smältas för att producera {{METAL.TIN.NOUN}}.
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Träkol
ORE.CHARCOAL.NOUN,,Charcoal,Träkol
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} producerat av trä {{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Chrysocolla
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Chrysocolla
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Ofta förväxlas med turkos, det är faktiskt en malm av {MEAL.COPER}}."
ORE.COKE.ADJECTIVE,,Coke,Cola
ORE.COKE.NOUN,,Coke,Cola
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,En raffinerad form av {{ORE.BITUMINOUS_COAL}} som kan användas som {{FUEL.SACK}}.
ORE.GALENA.ADJECTIVE,,Galena,Galena
ORE.GALENA.NOUN,,Galena,Blyglans
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,En malm som kan smältas för att producera {{MEAL.SILVER}}.
ORE.HEMATITE.ADJECTIVE,,Hematite,Hematit
ORE.HEMATITE.NOUN,,Hematite,Hematit
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,En malm som kan smältas för att producera {{MEAL.Iron}}.
ORE.ILMENITE.ADJECTIVE,,Ilmenite,Ilmenit
ORE.ILMENITE.NOUN,,Ilmenite,Ilmenit
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",Ilmenit är den primära malmen av titan. Tyvärr har ett sätt att producera titan ännu inte upptäckts.
ORE.MALACHITE.ADJECTIVE,,Malachite,Malakit
ORE.MALACHITE.NOUN,,Malachite,Malakit
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,En malm som kan smältas för att producera {{MEAL.COPER}}.
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,Native koppar
ORE.NATIVE_COPPER.NOUN,,Native copper,Koppar
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,Naturligt förekommande {{MEAL.COPER}} som måste smältas före användning.
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,Nativt guld
ORE.NATIVE_GOLD.NOUN,,Native gold,Guldklimp
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,Naturligt förekommande {{MEAL.GOLD}} som måste smältas före användning.
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Ursprungligt platina
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Ursprungligt platina
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,Naturligt förekommande {{MEAL.PLATINUM}} som måste smältas före användning.
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,Nativt silver
ORE.NATIVE_SILVER.NOUN,,Native silver,Silver
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,Naturligt förekommande {{MEAL.SILVER}} som måste smältas före användning.
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Pollusit
ORE.POLLUCITE.NOUN,,Pollucite,Pollusit
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","Pollusit är en malm av cesium, som för närvarande är för farlig för att producera. Särskilt galna dvärgmetallsmider försöker för närvarande hitta en pålitlig produktionsmetod."
ORE.PYRITE.ADJECTIVE,,Fool's gold,Dårens guld
ORE.PYRITE.NOUN,,Fool's gold,Dårens guld
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Även känd som Pyrite, orsakar dess blekgula utseende vissa att missta det för guld. Det har flera användningsområden när det krossas, men försiktighet måste tas eftersom det gnistor när det slås."
ORE.THORIUM.ADJECTIVE,,Thorium,Torium
ORE.THORIUM.NOUN,,Thorium,Torium
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,En silverfärgad metallmalm som blir svart när den utsätts för luft. Det är konstigt varmt att ta på.
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Wolframit
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframit
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,En metallisk malm som försvårar smältning av tenn. Den har för hög smältpunkt för att smältas med normala processer.

OTHER.BRICK.NOUN,,Brick,Tegelsten
OTHER.CLAY_SOIL.NOUN,,Clay soil,Lerjord
OTHER.GRASS.NOUN,,,Gräs

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,Jag accepterar
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,Inaktivera rapportering
