KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
GEM.AMETHYST.ADJECTIVE,,Amethyst,紫水晶
GEM.AMETHYST.NOUN,,Amethyst,紫水晶
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,紫色的水晶。古人相信它具有防止让人酩酊大醉的奇妙效果。因此，紫水晶在矮人文化中不太受欢迎。
GEM.AMMOLITE.ADJECTIVE,,Ammolite,斑彩石
GEM.AMMOLITE.NOUN,,Ammolite,斑彩石
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,发乳光的稀有宝石，拥有红色向绿色转变的晕彩。它也被称为“狩猎石”，用它制作的首饰据说能给狩猎带去好运。
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,海蓝宝石
GEM.AQUAMARINE.NOUN,,Aquamarine,海蓝宝石
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,蓝色或海蓝色的绿柱石。有些人觉得它能保护免受海上的危险。因为有一位古老的魔法师曾用天和冰系魔法保护黑暗时代的贸易船。
GEM.BIXBITE.ADJECTIVE,,Bixbite,红绿柱石
GEM.BIXBITE.NOUN,,Bixbite,红绿柱石
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",一种非常稀有的宝石。常常会与其他红色的绿柱石混淆。
GEM.CINNABAR.ADJECTIVE,,Cinnabar,朱砂
GEM.CINNABAR.NOUN,,Cinnabar,朱砂
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,硫化汞矿物，深红的色调使其常见于珠宝首饰。同时也会用来生产染料。
GEM.CITRINE.ADJECTIVE,,Citrine,黄水晶
GEM.CITRINE.NOUN,,Citrine,黄水晶
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",黄色的石英。它也是颜色最接近黄金的宝石，所以大多数矮人觉得黄水晶会带来好运。
GEM.DIAMOND.ADJECTIVE,,Diamond,钻石
GEM.DIAMOND.NOUN,,Diamond,钻石
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,世界上最硬的物质，也是七圣石中最重要的宝石。钻石是有着“灵”或“以太”之名的中立元素最凝练的形态。
GEM.EMERALD.ADJECTIVE,,Emerald,祖母绿
GEM.EMERALD.NOUN,,Emerald,祖母绿
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,充满活力的绿柱石。据说在祖母绿上雕刻会导致大祸临头。祖母绿与生命元素及相关的魔法息息相关。
GEM.GARNET.ADJECTIVE,,Garnet,石榴石
GEM.GARNET.NOUN,,Garnet,石榴石
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",石榴石包含多种用作宝石的矿物，但颜色都呈现深红色。有些石榴石其实是火元素的凝聚形态。
GEM.JADE.ADJECTIVE,,Jade,玉
GEM.JADE.NOUN,,Jade,玉
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",浅绿色的矿物，常用来雕琢成装饰品。此外，精灵会使用玉制作治疗肠胃疾病的药物。
GEM.JASPER.ADJECTIVE,,Jasper,碧玉
GEM.JASPER.NOUN,,Jasper,碧玉
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.",不纯的石英品种，呈现的颜色较多，但最常见的为红色。由于碧玉的多样性，兽人很喜欢把它当做装饰品。
GEM.LABRADORITE.ADJECTIVE,,Labradorite,富拉玄武岩
GEM.LABRADORITE.NOUN,,Labradorite,富拉玄武岩
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,这种矿物拥有很有特色的淡蓝色虹彩。更稀有的也会出现其他的颜色。
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,天青石
GEM.LAPIS.NOUN,,Lapis lazuli,天青石
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,常用做珍贵宝石的湛蓝色矿物。
GEM.MAGNESITE.ADJECTIVE,,Magnesite,菱镁矿
GEM.MAGNESITE.NOUN,,Magnesite,菱镁矿
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,能够打磨成珠子制作珠宝首饰的矿物。而且能够染成各种不同的颜色。
GEM.MOONSTONE.ADJECTIVE,,Moonstone,月长石
GEM.MOONSTONE.NOUN,,Moonstone,月长石
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",人们认为岩石中的月光形成了这种宝石，因此深受精灵的喜爱。
GEM.MORGANITE.ADJECTIVE,,Morganite,摩根石
GEM.MORGANITE.NOUN,,Morganite,摩根石
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,呈现玫红色的绿柱石。在神话时代，一名腰缠万贯的富人推广了这种宝石，它也因此得名。
GEM.OPAL.ADJECTIVE,,Opal,蛋白石
GEM.OPAL.NOUN,,Opal,蛋白石
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.",蕴含海洋的魔力，因此深受水手和渔夫的喜爱。
GEM.PAINITE.ADJECTIVE,,Painite,红硅硼铝钙石
GEM.PAINITE.NOUN,,Painite,红硅硼铝钙石
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,非常稀有的宝石，通常会被误以为颜色不佳的蓝宝石。天然的六方晶系，谋略家的最爱。
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,红纹石
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,红纹石
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,典型颜色为粉红色到红色。硬度不及许多宝石，因此不适合用来制作戒指和其他高强度珠宝首饰。
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,水晶
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,水晶
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,最纯粹的石英。由于水晶是凝练的冰元素，因此常见于各种魔法器具。
GEM.RUBY.ADJECTIVE,,Ruby,红宝石
GEM.RUBY.NOUN,,Ruby,红宝石
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",七圣石之一，凝练成固态的火焰元素。
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,蓝宝石
GEM.SAPPHIRE.NOUN,,Sapphire,蓝宝石
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",人们普遍认为佩戴蓝宝石能避开邪魔，对于使用天和风系魔法的法师而言，这种宝石深受他们的追捧。
GEM.SPINEL.ADJECTIVE,,Spinel,尖晶石
GEM.SPINEL.NOUN,,Spinel,尖晶石
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.",经常会与红宝石和蓝宝石这类真正的圣石混淆，尖晶石可以与任何元素有关，视其颜色而定。
GEM.TANZANITE.ADJECTIVE,,Tanzanite,坦桑石
GEM.TANZANITE.NOUN,,Tanzanite,坦桑石
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,稀有的宝石，浓郁略带紫色调的蓝色。人们认为它是死亡神明的血肉形成的。
GEM.TOPAZ.ADJECTIVE,,Topaz,黄玉
GEM.TOPAZ.NOUN,,Topaz,黄玉
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",有时候容易与更常见的{{GEM.CITRINE.NOUN}}混淆，呈现的颜色较多，但最常见的为黄褐色。最初发现的地方是一座已经不复存在的岛屿。
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,电气石
GEM.TOURMALINE.NOUN,,Tourmaline,电气石
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,通常能在{{ORE.CASSITERITE.ADJECTIVE}}附近发现。它有时候与土系魔法有关。
GEM.TURQUOISE.ADJECTIVE,,Turquoise,绿松石
GEM.TURQUOISE.NOUN,,Turquoise,绿松石
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,蓝绿色的矿物，可作首饰。据说能为佩戴者带来好运。通常为它灌注土系元素。

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,放弃任务
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},正在采集{{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},正在攻击{{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},正在饮用{{targetDescription}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},正在清空{{targetDescription}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},正在吃{{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,正在灭火
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},正在逃离{{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},正在搬运{{targetDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,闲置
GOAL.ON_FIRE.DESCRIPTION,,On fire!,着火了！
GOAL.SLEEP.DESCRIPTION,,Going to sleep,去睡觉
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},正在转移{{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,添加/移除区格
GUI.ADD_TILES,This should be as short as possible,Add tiles,添加区格
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,周围环境效果的音量：
GUI.BACK_LABEL,This should be as short as possible,Back,返回
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,桥
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,门
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,地板
GUI.BUILD.PIPING,,Pipes,管道
GUI.BUILD.POWER,,Power,动力
GUI.BUILD.ROOFING,,Roofing,屋顶
GUI.BUILD.WALLS,,Walls,墙壁
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,L形
GUI.BUILD.WALLS.ROOM,For building 4 walls and a roof at once,Room,房间
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,单个
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,家具
GUI.BUILD_LABEL,This should be as short as possible,Build,建造
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,取消
GUI.CHANGE_PROFESSION_LABEL,,Change profession,更改职业
GUI.CHANGE_WEAPON_LABEL,,Select weapon,选择武器
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,维持
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,制作
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},目前总数：{{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),（总计{{quantity}}）
GUI.CROP_SELECTION,,Crop:,农作物：
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}, year {{year}}",{{timeOfDay}}，第{{dayNumber}}天，{{season}}，第{{year}}年
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,拆除
GUI.DIALOG.CANCEL_BUTTON,,Cancel,取消
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,确定删除{{name}}？
GUI.DIALOG.DISMISS,,Dismiss,遣散
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,已存在相同名字的房间。
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,存档与游戏版本不兼容，无法加载。
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,出现错误
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,加载游戏的时候出现了意外错误。
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,保存游戏的时候出现了意外错误。
GUI.DIALOG.INFO_TITLE,,Information,信息
GUI.DIALOG.JUMP_TO,,Go to location,前往地点
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,所选的本地化目前尚不完整，仍然有部分缺失。将使用备用的语言。
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,你已选择不同的MOD应用至游戏。重启游戏后会生效。
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,MOD与游戏版本不兼容，因此无效。你可以在MOD菜单中查看更新。
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,重命名房间
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,重命名殖民者
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,必须重启游戏让变更生效
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,你已经拥有殖民地为{{name}}的存档。开始新游戏将覆盖现有的存档。是否继续？
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,必须制定殖民地的名字。
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,贮存处设置
GUI.EMBARK.DISCLAIMER,,"This is an early alpha version of King under the Mountain. There are many, many features still to be added, and bugs are to be expected. In a future update you will be able to use this screen to customise your starting settlers, resources and even map and gameplay settings. Please join our Discord community to report any bugs you find or offer feedback, so we can work together to guide King under the Mountain to become the best possible version of itself. Thank you for playing!",King under the Mountain仍处于早期测试阶段。许多功能尚未实装，同时也会遇到BUG。在未来的更新中，你可以使用该界面自定义初始殖民者、资源，地图以及游戏设置。欢迎加入我们的Discord频道，方便提交BUG或提供反馈，让我们齐心协力打造出更优秀的King under the Mountain。感谢游玩！
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,点击此处加入Discord频道
GUI.EMBARK.MAP_SEED,,Map seed:,地图种子：
GUI.EMBARK.SETTLEMENT_NAME,,Settlement name:,殖民地名字：
GUI.EMBARK.START,,Begin!,开始！
GUI.EMBARK.TITLE,,Embark Options,设置
GUI.EMPTY_CONTAINER_LABEL,This should be as short as possible,Empty,空
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,正在清空中。
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,将此容器内的东西放在地上。
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},分配给{{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,正在移除
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,此家具必须放置于{{materialType}}。
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,全屏
GUI.GRAPHICS.RESOLUTION,,Resolution,分辨率
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),无（休耕）
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,上次修改
GUI.LOAD_GAME.TABLE.DELETE,,Delete,删除
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,世界时间
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,名字
GUI.LOAD_GAME.TABLE.VERSION,,Version,版本
GUI.LOAD_GAME.TITLE,,Load Game,加载游戏
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,复制到剪贴板
GUI.MAP_SEED_DISPLAY,,"Current map seed: ","当前的地图种子： "
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,水平
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,垂直
GUI.MINIMAP.LABEL,,Minimap,小地图
GUI.MUSIC_VOLUME,,Music volume:,音乐音量：
GUI.NEXT_LABEL,This should be as short as possible,Next,下一个
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,此家具在该游戏版本中无法旋转
GUI.OK_LABEL,This should be as short as possible,Ok,Ok
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,声音设置
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,让遮挡殖民者的树木透明化
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,推送通知时暂停
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","游戏设置 "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,当光标在屏幕边缘时滚动
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,缩放时是否基于光标所在位置
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,无边框
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,独占全屏
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,窗口化
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","图像设置 "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,允许自动报告崩溃
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints in-game,显示游戏中的提示
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,在主菜单滚动背景
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,其他
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Ask to start the tutorial at game start,游戏开始时询问是否开始教程
GUI.OPTIONS.TAB.AUDIO,,Audio,声音
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,游戏
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,图像
GUI.OPTIONS.TAB.MISC,,Other,其他
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Twitch账户：
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,代码
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,已连接Twitch账户
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,断开连接
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Twitch账户断开连接
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,开启Twitch整合
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,连接Twitch时发生错误
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,点击此处连接Twitch账户
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,优先订阅者
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,提交
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Twitch整合
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,将观众的名字为殖民者取名
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,伐木
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,清理
GUI.ORDERS.DIG_CHANNELS,This should be as short as possible - used to dig channels in the ground for water to run through to irrigate crops,Irrigation,灌溉
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,使用该指令能在地面挖掘通渠。
GUI.ORDERS.EXTINGUISH_FLAMES,This should be as short as possible - used to put out fires by throwing buckets of water on them,Extinguish,灭火
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,使用该指令能扑灭燃烧的火焰。
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,收割
GUI.ORDERS.HUNT,This should be as short as possible - used to select animals to be hunted,Hunt,狩猎
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,使用该指令选择狩猎的动物。
GUI.ORDERS.MINE,This should be as short as possible,Mine,挖矿
GUI.ORDERS_LABEL,This should be as short as possible,Orders,指令
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,桥必须覆盖河流的两岸且不低于3x3
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,优先级
GUI.REMOVE_LABEL,This should be as short as possible,Remove,移除
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,移除区格
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,资源
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},可用：{{count}}
GUI.ROOFING.ADD,,Add,添加
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,按R旋转家具
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,正在保存…
GUI.SETTINGS.LABEL,,Settings,设置
GUI.SETTLER_MANAGEMENT.BEDS_COUNTER,,Number of beds: {{count}},床位数量：{{count}}
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},死亡：{{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},人口：{{count}}
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,按名字排序
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,按不满意度排序
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,殖民者
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},总计：{{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,音效音量
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,UI缩放：
GUI.VIEW_ROADMAP,,View development roadmap,查看开发路线图
GUI.ZONES_LABEL,This should be as short as possible,Zones,区域

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober,戒酒
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,享用了美味的食物
HAPPINESS_MODIFIER.BLEEDING,,Bleeding profusely,大量出血
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,搬运尸体
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain,淋了雨
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,喝醉了
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,饮用河水
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,肚子饿了
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,严重脱水
HAPPINESS_MODIFIER.HAD_A_TANTRUM,,Had a tantrum,在乱发脾气
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,对新的殖民地很乐观
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned,严重烧伤
HAPPINESS_MODIFIER.POISONED,,Poisoned,中毒
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,看到了死尸
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain,在雨中睡觉
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow,在雪中睡觉
HAPPINESS_MODIFIER.SLEPT_IN_ENCLOSED_BEDROOM,,Slept in an enclosed bedroom,在卧室里睡觉
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",在宽敞、独立的卧室睡觉
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,与其他人共用卧室
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,在拥挤的卧室睡觉
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,在地上睡觉
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,在睡觉时以天为被
HAPPINESS_MODIFIER.TITLE,,Happiness:,幸福度：
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,饥饿
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,口渴
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,极度疲惫
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,,Worked in an enclosed room,在室内工作
HAPPINESS_MODIFIER.WORKED_IN_RAIN,,Working in the rain,在雨中工作

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}}分配给{{targetDescription}}

HINT.BUILD_PIPES.1,,"You can use this view to lay pipes between liquid inputs and outputs, as well as irrigation channels.",你可以使用该视图在出入口之间铺设管道，灌溉渠同样如此。
HINT.BUILD_PIPES.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.",它们铺设在地底，所以务必保证殖民者能从侧边使用每个区格。
HINT.BUILD_PIPES.3,,Furniture with a liquid input or output display a blue or green icon indicating if they are an input or output to the network.,拥有液体输入或输出的家具会以蓝色或绿色的图标标明。
HINT.BUILD_POWER.1,,Use this view to link constructions that require power with mechanisms built from {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,使用该视图可以将需要动能的设施与用{{PRODUCT.STONE.GEAR.PLURAL}}和连接杆建造的机械装置相连。
