KEY,NOTES,ENGLISH,RUSSIAN
GUI.BACK_LABEL,This should be as short as possible,Back,Назад
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Мост
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Двери
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,Полы
GUI.BUILD.PIPING,,Pipes,Трубы
GUI.BUILD.POWER,,Power,Энергия
GUI.BUILD.ROOFING,,Roofing,Крыша
GUI.BUILD.WALLS,,Walls,Стены
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,Г-образное соединение
GUI.BUILD.WALLS.ROOM,For building 4 walls and a roof at once,Room,Комната
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Одинарное
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Мебель
GUI.BUILD_LABEL,This should be as short as possible,Build,Строить
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,Отмена
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Сменить профессию
GUI.CHANGE_WEAPON_LABEL,,Select weapon,Сменить оружие
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,Поддержание 
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,Ремесло
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Текущий итог: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),Всего ({{quantity}}
GUI.CROP_SELECTION,,Crop:,Обрезать:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}, year {{year}}","{{timeOfDay}}, день {{dayNumber}}, сезон {{season}}, год {{year}}"
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,Снести
GUI.DIALOG.CANCEL_BUTTON,,Cancel,Отмена
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,Вы действительно хотите удалить {{name}} ?
GUI.DIALOG.DISMISS,,Dismiss,Уволить
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Комната с таким названием уже существует.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,"Не удалось загрузить файл сохранения, поскольку он несовместим с данной версией игры."
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Произошла ошибка
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,При загрузке игры произошла непредвиденная ошибка.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,При сохранении игры произошла непредвиденная ошибка.
GUI.DIALOG.INFO_TITLE,,Information,Информация
GUI.DIALOG.JUMP_TO,,Go to location,Перейти к местоположению
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,"Выбранный перевод языка в настоящее время неполный, и в нем отсутствует текст. Будет использоваться резервный язык."
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Вы выбрали другой набор модов для применения к игре. Они будут применены при следующем перезапуске игры.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Один или несколько модов несовместимы с данной версией игры и были деактивированы. Проверить наличие обновлений можно в меню модов.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Переименовать комнату
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,Переименовать поселенца
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,"Вы должны перезапустить игру, чтобы это изменение вступило в силу"
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,У вас уже есть сохраненная игра для поселения {{name}}. При запуске новой игры существующий файл сохранения будет перезаписан. Вы уверены что хотите продолжить? 
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,Необходимо указать название населенного пункта.
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,Настройка хранилища
GUI.EMBARK.DISCLAIMER,,"This is an early alpha version of King under the Mountain. There are many, many features still to be added, and bugs are to be expected. In a future update you will be able to use this screen to customise your starting settlers, resources and even map and gameplay settings. Please join our Discord community to report any bugs you find or offer feedback, so we can work together to guide King under the Mountain to become the best possible version of itself. Thank you for playing!","Это ранняя альфа-версия King Under the Mountain. В будущем в игру будут добавляться новые возможности, пока возможны ошибки. В будущем обновлении вы сможете использовать этот экран, чтобы настроить начальных поселенцев, ресурсы, карту и игровой процесс. Присоединяйтесь к нашему сообществу Discord, чтобы сообщать о любых обнаруженных вами ошибках или оставлять отзывы, чтобы мы могли вместе работать над тем, чтобы помочь King Under the Mountain стать лучше. Спасибо ты за игру!" 
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,Нажмите чтобы присоединиться к нашему сообществу в Discord
GUI.EMBARK.MAP_SEED,,Map seed:,Значение карты:
GUI.EMBARK.SETTLEMENT_NAME,,Settlement name:,Название поселения:
GUI.EMBARK.START,,Begin!,Начать!
GUI.EMBARK.TITLE,,Embark Options,Начало игры
GUI.EMPTY_CONTAINER_LABEL,This should be as short as possible,Empty,Пусто
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,Содержимое опорожняется 
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,Вылейте содержимое этого контейнера на землю. 
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Принадлежит: {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,В процессе удаления
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Эта мебель должна быть размещена на {{materialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Во весь экран
GUI.GRAPHICS.RESOLUTION,,Resolution,Разрешение экрана
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Ничего (оставить невозделанной)
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,Последнее изменение
GUI.LOAD_GAME.TABLE.DELETE,,Delete,Удалить
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,Мировое время
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,Имя
GUI.LOAD_GAME.TABLE.VERSION,,Version,Версия
GUI.LOAD_GAME.TITLE,,Load Game,Загрузить игру
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,Скопировать в буфер обмена
GUI.MAP_SEED_DISPLAY,,"Current map seed: ","Текущее значение карты:"
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,Горизонтальный
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,Вертикальный
GUI.MINIMAP.LABEL,,Minimap,Миникарта
GUI.MUSIC_VOLUME,,Music volume:,Громкость музыки:
GUI.NEXT_LABEL,This should be as short as possible,Next,Далее
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Эта мебель не может быть повернута в этой версии игры
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Настройки звука
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Сделать деревья прозрачными при затемнении поселенцев
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Пауза для уведомлений
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options "," Настройки игры "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,"Прокрутка, когда курсор находится на краю экрана"
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,Прокрутка к курсору при масштабировании 
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,Полный экран
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,Эксклюзивный полноэкранный режим 
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,В окне
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Настройки графики "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Разрешить автоматические отчеты о сбоях
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints in-game,Показывать подсказки в игре 
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,Прокрутите фон в главном меню 
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Разное
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Ask to start the tutorial at game start,Предлагать начать обучение при запуске игры 
GUI.OPTIONS.TAB.AUDIO,,Audio,Аудио
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,Игра
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,Графика
GUI.OPTIONS.TAB.MISC,,Other,Прочее
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Аккаунт Twitch:
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,Кож
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,Аккаунт Twitch подключен 
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,Отключен
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Аккаунт Twitch отключен
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,Интеграция с Twitch включена 
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,Произошла ошибка при подключении к Twitch 
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,"Нажмите здесь, чтобы подключить свою учетную запись Twitch"
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,Отдавайте приоритет подписчикам 
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,Отправить
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Интеграция с Twitch 
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,Используйте зрителей как имена поселенцев 
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Рубить
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Расчистить
GUI.ORDERS.DIG_CHANNELS,This should be as short as possible - used to dig channels in the ground for water to run through to irrigate crops,Irrigation,Орошение
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,Используйте для рытья каналов в земле
GUI.ORDERS.EXTINGUISH_FLAMES,This should be as short as possible - used to put out fires by throwing buckets of water on them,Extinguish,Тушить пожар
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,"Этот приказ используется для тушения пожаров, которые в настоящее время горят"
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Собирать
GUI.ORDERS.HUNT,This should be as short as possible - used to select animals to be hunted,Hunt,Охотиться
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,Используется для выбора животных для охоты
GUI.ORDERS.MINE,This should be as short as possible,Mine,Копать
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Приказы
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Мост должен покрывать обе стороны реки и иметь размер не менее 3x3 клетки
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,Приоритеты
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Удалить
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Удалить квадраты
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Ресурсы
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Доступно: {{count}}
GUI.ROOFING.ADD,,Add,Добавить
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,"Нажмите (R), чтобы повернуть мебель"
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Сохранение…
GUI.SETTINGS.LABEL,,Settings,Настройки
GUI.SETTLER_MANAGEMENT.BEDS_COUNTER,,Number of beds: {{count}},Количество спальных мест {{count}}
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Умершие: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Население: {{count}}
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,Сортировать по именам
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,Сортировать по уровню счастья
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Поселенцы
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Всего: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Громкость эффектов
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Размер интерфейса:
GUI.VIEW_ROADMAP,,View development roadmap,Посмотреть планы разработки
GUI.ZONES_LABEL,This should be as short as possible,Zones,Зоны

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober,Трезвый 
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Съел хорошо приготовленную еду 
HAPPINESS_MODIFIER.BLEEDING,,Bleeding profusely,Обильное кровотечение 
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Несет мертвое тело 
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain,Попал под дождь на улице 
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,Под воздействием алкоголя 
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Пьет речную воду
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Голод
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Критически обезвоженн
HAPPINESS_MODIFIER.HAD_A_TANTRUM,,Had a tantrum,Впал в ярость
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Оптимистичный подход к новому поселению
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned,Сильно обгорел 
HAPPINESS_MODIFIER.POISONED,,Poisoned,Отравлен
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Видел труп
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain,Спал под дождем 
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow,Спал на снегу
HAPPINESS_MODIFIER.SLEPT_IN_ENCLOSED_BEDROOM,,Slept in an enclosed bedroom,Спал в закрытой спальне 
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom","Спал в просторной, отдельной спальне"
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Общая спальня с другими
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Спал в стесненных спальнях
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Спал на грубой земле
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Спал под звездами
HAPPINESS_MODIFIER.TITLE,,Happiness:,Счастье:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Очень голодный
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Очень хочется пить
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Очень устал
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,,Worked in an enclosed room,Работал в закрытом помещении 
HAPPINESS_MODIFIER.WORKED_IN_RAIN,,Working in the rain,Работал под дождем 

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} назначено {{targetDescription}}

HINT.BUILD_PIPES.1,,"You can use this view to lay pipes between liquid inputs and outputs, as well as irrigation channels.","Вы можете использовать этот вид для прокладки труб между входами и выходами жидкости, а также оросительными каналами». "
HINT.BUILD_PIPES.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.","Они размещены под землей, поэтому убедитесь, что ваши поселенцы могут получить доступ к каждой клетке сбоку."
HINT.BUILD_PIPES.3,,Furniture with a liquid input or output display a blue or green icon indicating if they are an input or output to the network.,"Мебель с входом или выходом жидкости отображается синим или зеленым значком, указывающим, являются ли они входом или выходом в сеть."
HINT.BUILD_POWER.1,,Use this view to link constructions that require power with mechanisms built from {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,"Используйте этот вид, чтобы связать конструкции, требующие питания, с механизмами, построенными из {{PRODUCT.STONE.GEAR.PLURAL}} и валов."
HINT.BUILD_POWER.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.","Они размещены под землей, поэтому убедитесь, что ваши поселенцы могут получить доступ к каждой клетке сбоку."
HINT.BUILD_POWER.3,,Constructions which require or produce power will display a red or green icon indicating if they are an input or output to the network.,"Конструкции, которые требуют или производят энергию, будут отображать красный или зеленый значок, указывающий, являются ли они входом или выходом для сети."
HINT.BUILD_ROOFING.1,,"This view allows you to see which tiles are outside with no roof above them (light blue), and those which have had a roof built overhead (dark brown).","Этот вид позволяет вам увидеть, какие клетки находятся снаружи без крыши над ними (светло-голубой), и те, у которых есть крыша над головой (темно-коричневый)."
HINT.BUILD_ROOFING.2,,"You can use the {{GUI.ROOFING.ADD}} and {{GUI.CANCEL_LABEL}} options to queue up roofing to be constructed, and {{GUI.DECONSTRUCT_LABEL}} to remove any existing roof tiles.","Вы можете использовать параметры {{GUI.ROOFING.ADD}} и {{GUI.CANCEL_LABEL}}, чтобы поставить кровлю в очередь, которую нужно построить, и {{GUI.DECONSTRUCT_LABEL}}, чтобы удалить любую существующую черепицу."
HINT.BUILD_ROOFING.3,,A roof can only be constructed within 3 tiles of a wall or {{FURNITURE.PILLAR}}.,Крышу можно построить только в пределах 3-х клеток от стены или {{FURNITURE.PILLAR}}. 
HINT.BUTTON.DISABLE_ALL,,Disable all hints,Отключить все подсказки
HINT.BUTTON.DISMISS,,Dismiss,Отключить
HINT.BUTTON.HINTS_ONLY,,Hints only,Только подсказки
HINT.BUTTON.NEXT,,Next,Следующий
HINT.BUTTON.TUTORIAL,,Tutorial,Обучение
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.","Вы можете использовать это меню для изменения приоритета заданий и задач, чтобы задания с более высоким приоритетом были назначены перед заданиями с более низким приоритетом."
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.","Пока открыто меню приоритета, значки приоритета отображаются в игровом мире, где есть задание или задача, которую нужно выполнить, или где комната или предмет мебели могут создать рабочие места в будущем."
HINT.PROGRESS.HEADER,,Progress:,Прогресс:
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,Для вашего поселения больше нет доступного {{TOOL.AXE}}. Вы больше не сможете рубить деревья 
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.","На {{FURNITURE.FORGE}} можно изготовить другие топоры. Если у вас нет работающего {{FURNITURE.FORGE}}, вам может потребоваться удалить {{FURNITURE.WOODCUTTERS_BENCH}}." 
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,Для вашего поселения больше нет доступного {{TOOL.CHISEL}}. Это необходимо для изготовления каменной мебели. 
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.","На {{FURNITURE.FORGE}} можно изготовить и другие долота. Если у вас нет работающего {{FURNITURE.FORGE}}, вам может потребоваться удалить {{FURNITURE.STONEMASON_WORKBENCH}}."
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,В вашем поселении больше нет {{TOOL.PLANE}}. Это необходимо для изготовления деревянной мебели. 
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,В вашем поселении больше нет {{TOOL.SAW}}. Это необходимо для создания {{FURNITURE.WOODCUTTERS_BENCH}} или {{FURNITURE.CARPENTRY_WORKBENCH}} 
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.","На {{FURNITURE.FORGE}} можно изготовить другие пилы. Если у вас нет работающего {{FURNITURE.FORGE}}, вам может потребоваться удалить {{FURNITURE.WOODCUTTERS_BENCH}} или {{FURNITURE .CARPENTRY_WORKBENCH}}."
HINT.WEAPON_SELECTION.1,,Use this view to select a type of weapon that the settler will keep in their inventory in case of combat.,"Используйте это представление, чтобы выбрать тип оружия, которое поселенец будет держать в своем инвентаре на случай боя."
HINT.WEAPON_SELECTION.2,,It is strongly recommended you assign a ranged weapon such as a {{WEAPON.BOW}} or {{WEAPON.CROSSBOW}} to those settlers assigned as a {{PROFESSION.HUNTER}}.,"Настоятельно рекомендуется назначить оружие дальнего боя, такое как {{WEAPON.BOW}} или {{WEAPON.CROSSBOW}}, тем поселенцам, которым назначен {{PROFESSION.HUNTER}}"
HINT.WEAPON_SELECTION.3,,Weapons which you do not have available are displayed in red.,"Оружие, которого у вас нет, отображается красным цветом."
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this area to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","Добро пожаловать в мир короля под горой! Это ранняя альфа-версия игры с еще большим количеством функций и элементов геймплея, которые еще предстоит реализовать. Ваша бесстрашная группа гномов выбрала это место, чтобы найти новую колонию своего королевства. Обеспечьте пищу, кров и процветание и кто знает, может быть, однажды это станет столицей собственного королевства!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.","«Выберите « Обучение », чтобы ознакомиться с основами игры, « Только подсказки », чтобы пропустить обучение, но получать информацию во время игры, или « Отключить все подсказки », чтобы перестать показывать эти сообщения»."
HINT.WELCOME.PRE_SPAWN,,"Start the game by selecting a location on the map with enough space, and clicking the '{{GUI.EMBARK.START}}' button.","«Запустите игру, выбрав на карте место с достаточным пространством и нажав кнопку '{{GUI.EMBARK.START}}'»."

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.прилагательное}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.noun}}-{{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Тесто
INGREDIENT.FLOUR,,Flour,Мука
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Качан капусты
INGREDIENT.LOAF.PLURAL,,Loaves,Качаны капусты
INGREDIENT.MALT.SACK.NOUN,,Malt,Солод
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,"Его необходимо измельчить, прежде чем его можно будет использовать в дальнейшем для пивоварения."
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,Измельченный солод
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,Он смешивается с водой в {{FURNITURE.MASH_TUN}} для получения {{LIQUID.WORT}} 
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Грибница
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Грибница
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Также известный как мицелий, это можно рассматривать как «семена», из которых выращивать грибы в {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Семя:
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Семена:
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Семена нужного типа необходимы для посадки в {{ROOMS.FARM}}. Они также должны быть доступны в запасе {{STOCKPILE.GRANARY}}.
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate),Овощи (ящик) 
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate),Овощи (ящики)
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack),Овощи (мешок)
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack),Овощи (мешки)

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Инвентарь:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Топливо
