KEY,NOTES,ENGLISH,POLISH
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,"najczystsza forma kwarcu. Kryształy skalne często znajdują się w magicznych artefaktach, ponieważ są skondensowaną formą żywiołu lodu."
GEM.RUBY.ADJECTIVE,,Ruby,Rubinowy
GEM.RUBY.NOUN,,Ruby,Rubin
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","Jeden z siedmiu niebiańskich kamieni, rubiny są elementem ognia skondensowanego w solidną formę."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Szafirowy
GEM.SAPPHIRE.NOUN,,Sapphire,Szafir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Często uważa się, że chroni użytkownika przed uwagą demonów, szafiry są bardzo poszukiwane przez magów do stosowania w niebie i magii powietrznej."
GEM.SPINEL.ADJECTIVE,,Spinel,Spinelowy
GEM.SPINEL.NOUN,,Spinel,Spinel
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Często mylone z niebiańskimi kamieniami, takimi jak prawdziwe rubiny i szafiry, spinels są mniejszą formą magicznego klejnotu, który w zależności od koloru może być powiązany z dowolnym elementem."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Tanzanitowy
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanit
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,"Rzadki kamień szlachetny, który może naprzemiennie między niebieskim i fioletowym. Uważa się, że powstał z materialnego ciała martwego boga."
GEM.TOPAZ.ADJECTIVE,,Topaz,Topazowy
GEM.TOPAZ.NOUN,,Topaz,Topaz
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Czasami mylone z bardziej powszechnym klejnotem {{GEM.CITRINE.NOUN}}, topaz można znaleźć w kilku kolorach, ale najczęściej żółtawo-brązowym. Po raz pierwszy odkryto go na wyspie, która już nie istnieje."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalinowy
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Często spotykane obok {{ORE.CASSITERITE.ADJECTIVE}} rudy. Czasami kojarzy się z magią ziemi.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Turkusowy
GEM.TURQUOISE.NOUN,,Turquoise,Turkus
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,"Niebiesko-zielony minerał często używany w dekoracjach. Uważa się, że przyniesie szczęście na okaziciela. Często jest podawany z żywiołem ziemi."

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Zbieranie {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Picie {{targetZoneMaterial}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Jedzenie {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transportowanie {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Bezczynny
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Idzie spać
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Przenosi {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Dodaj/usuń kafelki
GUI.ADD_TILES,This should be as short as possible,Add tiles,Dodaj kafelki
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Objętość efektu atmosfery otoczenia:
GUI.BACK_LABEL,This should be as short as possible,Back,"Wstecz "
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Most
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Drzwi
GUI.BUILD.WALLS,,Walls,Ściany
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,Kształt L
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,Poczwórny
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Pojedynczy
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Meble
GUI.BUILD_LABEL,This should be as short as possible,Build,Buduj
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,"Anuluj "
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Zmień zawód
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),
GUI.CROP_SELECTION,,Crop:,Plon:
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}} , dzień {{dayNumber}} , {{season}}"
GUI.DECONSTRUCT_LABEL,This should be as short as possible,Demolish,
GUI.DIALOG.DISMISS,,Dismiss,Oddalenie
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Pokój o tej nazwie już istnieje.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,"Plik zapisu nie mógł zostać załadowany, ponieważ jest niezgodny z tą wersją gry."
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Wystąpił jakiś błąd
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Wystąpił nieoczekiwany błąd podczas ładowania gry.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Wystąpił nieoczekiwany błąd podczas zapisywania gry.
GUI.DIALOG.INFO_TITLE,,Information,Informacje
GUI.DIALOG.JUMP_TO,,Go to location,Przejdź do lokalizacji
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Wybrane tłumaczenie językowe jest obecnie niekompletne i brakuje jakiegoś tekstu. Zostanie użyty język awarski.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,"Wybrałeś inny zestaw modów, które mają być stosowane do gry. Zostaną one zastosowane po ponownym uruchomieniu gry."
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Jeden lub więcej modów jest niezgodnych z tą wersją gry i zostały wyłączone. Możesz sprawdzić dostępność aktualizacji w menu modów.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Zmiana nazwy pokoju
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,"Musisz ponownie uruchomić grę, aby ta zmiana zaczęła obowiązywać."
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Przypisano do {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Trwa usuwanie
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Meble te muszą być umieszczone na {{materialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,"Pełny ekran "
GUI.GRAPHICS.RESOLUTION,,Resolution,"Rozdzielczość "
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Brak (pozostawić odłogiem)
GUI.MINIMAP.LABEL,,Minimap,Minimapa
GUI.MUSIC_VOLUME,,Music volume:,Głośność muzyki:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Nowa wersja już dostępna na Ich.io
GUI.NEXT_LABEL,This should be as short as possible,Next,Dalej
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Meble te nie mogą być obracane w tej wersji gry
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Opcje dźwięku
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Uczyń drzewa przezroczyste podczas zasłaniania osadników
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Przerwa na powiadomienia
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","Ustawienia Gry "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,"Przewiń, gdy kursor znajduje się na krawędzi ekranu"
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Ustawienia Grafiki "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Zezwalaj na automatyczne raporty awarii
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Różne
GUI.OPTIONS.TAB.AUDIO,,Audio,
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,
GUI.OPTIONS.TAB.MISC,,Other,
GUI.OPTIONS.TAB.TWITCH,,Twitch,
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Rąb
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Sprzątaj
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,Zbieraj
GUI.ORDERS.MINE,This should be as short as possible,Mine,Kop
GUI.ORDERS_LABEL,This should be as short as possible,Orders,Rozkazy
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Most musi pokrywać obie strony rzeki i mieć co najmniej 3x3 płytki w rozmiarze
GUI.PRIORITY_LABEL,This should be as short as possible,Priority,
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Usuń
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Usuń kafelki
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Zasoby
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Dostępne: {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,"Wciśnij (R), aby obrócić mebel"
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Zapisywanie...
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Martwy: {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Populacja: {{count}}
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Osadnicy
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Łącznie: {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,"Głośność efektów "
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Rozmiar interfejsu:
GUI.VIEW_ROADMAP,,View development roadmap,
GUI.ZONES_LABEL,This should be as short as possible,Zones,Strefy

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWL,,Going sober,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Zjadł ładnie przygotowany posiłek
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Nosił martwe ciało.
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Pił wodę z rzeki
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Umieram z głodu
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Krytycznie odwodniony
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Optymistycznie nastawiony do nowej osady
HAPPINESS_MODIFIER.POISONED,,Poisoned,Zatruty
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Zobaczył martwe ciało.
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom","Spał w przestronnej, prywatnej sypialni"
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,Spał w prywatnej sypialni
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Wspólna sypialnia z innymi
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Spał w ciasnej sypialni
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Spał na nierównym podłożu
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Spał pod gwiazdami
HAPPINESS_MODIFIER.TITLE,,Happiness:,Szczęście:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Bardzo głodny.
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Bardzo spragniony
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Niezwykle zmęczony

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} przypisane do {{targetDescription}}

HINT.BUTTON.DISABLE_ALL,,Disable all hints,Wyłącz wszystkie wskazówki
HINT.BUTTON.DISMISS,,Dismiss,
HINT.BUTTON.HINTS_ONLY,,Hints only,Tylko wskazówki
HINT.BUTTON.NEXT,,Next,Następny
HINT.BUTTON.TUTORIAL,,Tutorial,Samouczek
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",
HINT.PROGRESS.HEADER,,Progress:,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this location to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!","Witamy w świecie Króla pod Górą! Jest to wczesna wersja alfa gry z wieloma innymi funkcjami i elementami rozgrywki jeszcze do wdrożenia. Wasza nieustraszona grupa krasnoludowych osadników wybrała to miejsce, by znaleźć nową kolonię swojego królestwa. Zapewnienie pożywienia, schronienia i dobrobytu, a kto wie, może pewnego dnia to będzie stolicą własnego królestwa!"
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",TEKST

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Ciasto
INGREDIENT.FLOUR,,Flour,Mąka
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Bochenek
INGREDIENT.LOAF.PLURAL,,Loaves,Bochenki
INGREDIENT.MALT.SACK.NOUN,,Malt,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Grzyby tarło
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Grzyby tarło
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Znany również jako grzybnia, można to uznać za „nasiona”, z których można uprawiać grzyby w {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Nasiono
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Nasiona
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Nasiona odpowiedniego typu są wymagane do sadzenia w {{ROOMS.FARM}}. Muszą być również dostępne w magazynie {{STOCKPILE.GRANARY}}.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Worek

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Zapas:

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{materialType.adjective}} {{itemType.noun_or_plural}}: {{quantity_if_multiple}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Paliwo
ITEM_GROUP.PRODUCT.PLURAL,,Products,Produkty
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Zasoby
ITEM_GROUP.TOOL.PLURAL,,Tools,Narzędzia

LANGUAGE.LABEL,,Language,Język

LIQUID.BEER.NOUN,,Beer,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,
LIQUID.WATER.NOUN,,Water,Woda
LIQUID.WORT.NOUN,,Wort,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",

MADNESS.BROKEN.ADJECTIVE,,Broken,Złamany
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ","Ten osadnik był tak nieszczęśliwy, że zostali przepchnięci przez punkt przełomowy i nie będą już pracować ani nawet jeść!"

MATERIAL,Used for specifying which material something is made out of,Material,Materiał

MATERIAL_TYPE,,Type,Rodzaj
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Każdy
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,Ziemiane
MATERIAL_TYPE.EARTH.NOUN,,Earth,Ziemia
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Jedzenie
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Klejnot
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,Metalowy
MATERIAL_TYPE.METAL.NOUN,,Metal,Metal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Ruda
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Inne
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Nasiono
MATERIAL_TYPE.STONE.ADJECTIVE,,,Kamienny
MATERIAL_TYPE.STONE.NOUN,,Stone,Kamień
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Warzywo
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,Drewniany
MATERIAL_TYPE.WOOD.NOUN,,Wood,Drewno

MENU.CONTINUE_GAME,,Continue game,Kontynuuj
MENU.MODS,,Mods,Mody
MENU.NEW_GAME,,Start new game,Nowa gra
MENU.OPTIONS,,Options,Ustawienia
MENU.QUIT,,Quit,Wyjdź
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Pełen ekran

METAL.BRONZE.ADJECTIVE,,Bronze,Brązowy
METAL.BRONZE.NOUN,,Bronze,Brąz
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Brąz jest stopem miedzi i cyny. Jest twardszy i znacznie trwalszy niż sama miedź. (Stopy nie zostały jeszcze wdrożone w Królu pod Górą)
METAL.COPPER.ADJECTIVE,,Copper,Miedziany
METAL.COPPER.NOUN,,Copper,Miedź
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Oprócz naturalnie występujących {{ORE.NATIVE_COPPER.NOUN}}, łatwo jest wypachniać z {{ORE.MALACHITE.NOUN}} rudy. Miedź ma wiele zastosowań, szczególnie w przypadku coinage, choć nie jest wystarczająco trudna do stworzenia skutecznej broni."
METAL.GOLD.ADJECTIVE,,Golden,Złoty
METAL.GOLD.NOUN,,Gold,Złoto
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","Król metali. Chociaż nie jest to najrzadsze lub najcenniejsze, złoto jest najbardziej pożądanym metalem przez większość ras — szczególnie krasnoludy."
METAL.IRON.ADJECTIVE,,Iron,Żelazny
METAL.IRON.NOUN,,Iron,Żelazo
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,"To biedny wojsko, które nie ma dostępu do żelaza. Krasnoludzcy metalowcy znają sekrety pracy nad tym {{METAL.STEEL.NOUN}}."
METAL.PLATINUM.ADJECTIVE,,Platinum,Platyna
METAL.PLATINUM.NOUN,,Platinum,Platyna
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,"Srebrno-biały metal, który jest bardzo odporny na korozję. Platyna jest rzadsza i dlatego bardziej wartościowa niż {{METAL.GOLD.NOUN}}."
METAL.SILVER.ADJECTIVE,,Silver,Srebrna
METAL.SILVER.NOUN,,Silver,Srebro
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ","Podobnie jak {{METAL.GOLD.NOUN}}, srebro jest często używane do montowania i jako solidne sztabki do handlu bogactwem."
METAL.STEEL.ADJECTIVE,,Steel,Stalowy
METAL.STEEL.NOUN,,Steel,Stal
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Znacznie silniejszy niż {{METAL.IRON.NOUN}}, co czyni doskonałą broń i narzędzia, tylko krasnoludy znają sekret tworzenia stali."
METAL.TIN.ADJECTIVE,,Tin,- Cyna
METAL.TIN.NOUN,,Tin,Cyna
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),Cynę można wytapiać z {{ORE.CASSITERITE.NOUN}} i stopować za pomocą {{METAL.COPPER.NOUN}} w celu wytworzenia {{METAL.BRONZE.NOUN}}. (Stopy nie zostały jeszcze wdrożone w Królu pod Górą)

MODS.APPLY,,Apply,Zastosuj
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Tak
MODS.COMPATIBILITY.INCOMPATIBLE,,No,Nie
