KEY,ENGLISH,NOTES,GERMAN,FRENCH,ITALIAN,SPANISH,PORTUGUESE,PORTUGUESE BR,POLISH,RUSSIAN,TURKISH,DANISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH,JAPANESE,SIMPLIFIED CHINESE,KOREAN
GUI.EMPTY_CONTAINER_LABEL.HINT,Dump the contents of this container on the ground.,,Schüttet den Inhalt dieses Behälters auf den Boden.,,,Vaciar el contenido en el suelo.,,,,,,,,,,,,この容器の中身を地面に捨てます。,,
GUI.FURNITURE_ASSIGNED_TO,Assigned to {{name}},,Zugewiesen zu {{name}},Appartient à {{name}},Oggetto assegnato a: {{name}},Asignado a {{name}},Atribuído a {{name}},Atribuição: {{name}},,Принадлежит: {{name}}," {{name}} a atandı",Tildelt til {{name},,Tilldelas till {{name}},,,,{{name}}に割り当て済,,
GUI.FURNITURE_BEING_REMOVED,Currently being removed,,Wird gerade entfernt,Retrait en cours,Rimozione in corso,Se está eliminando,Atualmente em remoção,Em remoção,,В процессе удаления,Şuanda kaldırılıyor,I øjeblikket er ved at blive fjernet,,För närvarande tas bort,,,,撤去される,,
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,This furniture must be placed on {{materialType}}.,,Dieses Möbelstück muss auf {{materialType}} platziert werden.,Ce meuble doit être placé sur {{materialType}}.,Questi mobili devono essere collocati su {{materialType}}.,Este mueble debe colocarse en {{materialType}}.,Este mobiliário deve ser colocado em {{materialType}}.,,,Эта мебель должна быть размещена на {{materialType}}.,Bu mobilya  {{materialType}} üzerine yerleştirilmeli,Møblerne skal placeres på {{materialType}}.,,Möblerna måste placeras på {{MaterialType}}.,,,,この建築物は{{materialType}}に置かれる必要があります。,,
GUI.GRAPHICS.FULLSCREEN,Fullscreen,,Vollbild,Plein écran,Schermo intero,Pantalla completa,Ecrã inteiro,Tela cheia,,Во весь экран,Tam ekran,Fuldskærm,,Helskärm,,,,画面設定,,
GUI.GRAPHICS.RESOLUTION,Resolution,,Auflösung,Résolution,Risoluzione,Resolución,Resolução,Resolução,,Разрешение экрана,Çözünürlük,Opløsning,,Upplösning,,,,解像度,,
GUI.LEAVE_CROP_FALLOW,None (Leave fallow),,Keine (Brachfläche),Vide (en jachère),Nessuna (lascia incolto),Nada (en barbecho),Nenhum (pousio),Nada (deixar em repouso),,Ничего (оставить под паром),Hiç,Ingen (Efterlad brak),,Ingen (Lämna träda),,,,なし(休耕地),,
GUI.LOAD_GAME.TABLE.DATE_TIME,Last modified,,Zuletzt geändert,,,última modificación,,,,,,,,,,,,最終更新,,
GUI.LOAD_GAME.TABLE.DELETE,Delete,,Löschen,,,Borrar,,,,,,,,,,,,削除,,
GUI.LOAD_GAME.TABLE.GAME_TIME,World time,,Uhrzeit,,,Hora,,,,,,,,,,,,時間,,
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,Name,,Name,,,Nombre,,,,,,,,,,,,名前,,
GUI.LOAD_GAME.TABLE.VERSION,Version,,Version,,,Versión,,,,,,,,,,,,バージョン,,
GUI.LOAD_GAME.TITLE,Load Game,,Lade Spiel,,,Cargar partida,,,,,,,,,,,,ロード,,
GUI.MAP_SEED.COPY_TO_CLIPBOARD,Copy to clipboard,,In die Zwischenablage kopieren,,,Copiar al portapapeles,,,,,,,,,,,,クリップボードにコピー,,
GUI.MAP_SEED_DISPLAY,"Current map seed: ",,Aktueller Karten-Seed:,,,Semilla del mapa actual:,,,,,,,,,,,,現在のマップシード,,
GUI.MECHANISM.SHAFT.HORIZONTAL,Horizontal,,Horizontal,,,Horizontal,,,,,,,,,,,,水平,,
GUI.MECHANISM.SHAFT.VERTICAL,Vertical,,Vertikal,,,Vertical,,,,,,,,,,,,垂直,,
GUI.MINIMAP.LABEL,Minimap,,Minikarte,Minimap,Minimap,Minimapa,Minimapa,,,Минимап,El Haritası,Minimap,,Minimap,,,,ミニマップ,,
GUI.MUSIC_VOLUME,Music volume:,,Musiklautstärke:,Volume de la musique:,Volume della musica:,Volumen de la música:,Volume da música:,Volume da música:,,Громкость музыки:,Müzik seviyesi:,Musikvolumen:,,Musik volym:,,,,音楽の音量,,
GUI.NEXT_LABEL,Next,,Weiter,Suivant,Avanti,Siguiente,Seguinte,Seguinte,,Далее,Sonraki,Næste,,Nästa,,,,次,,
GUI.NON_ROTATABLE_FURNITURE.HINT,This furniture can not be rotated in this version of the game,,Dieses Möbelstück kann in dieser Version des Spiels nicht rotiert werden.,Aucune rotation possible pour ce meuble dans cette version du jeu,Questo mobile non può essere ruotato in questa versione del gioco,Este mueble no se puede girar en esta versión del juego,Este mobiliário não pode ser girado nesta versão do jogo,,,Эта мебель не может быть повернута в этой версии игры,Oyunun bu versiyonunda mobilyalar döndürülemiyor.,Disse møbler kan ikke drejes i denne version af spillet,,Dessa möbler kan inte roteras i den här versionen av spelet,,,,この建築物は、現在のバージョンでは回転できません,,
GUI.OK_LABEL,Ok,,OK,OK,OK,Ok,OK,OK,,OK,Tamam,Ok,,OK,,,,OK,,
GUI.OPTIONS.AUDIO.TITLE,Sound Options,,Audioeinstellungen,Options sonores,Opzioni audio,Opciones de sonido,Opções de Som,Opções de Som,,Настройки звука,Ses Ayarları,Lydindstillinger,,Alternativ för ljud,,,,サウンドオプション,,
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,Make trees transparent when obscuring settlers,,"Bäume transparent machen, wenn sie Siedler verdecken",Rendre les arbres transparents lors de l'obscurcissement des colons,Rendere trasparenti gli alberi quando si oscurano i coloni,Hacer que los árboles sean transparentes cuando oculten a los colonos,Tornar as árvores transparentes ao obscurecer os colonos,,,Сделать деревья прозрачными при затемнении поселенцев,Vatandaşı görmeyi engelleyen ağaçları transparan yapar.,"Gør træer gennemsigtige, når tilslører bosættere",,Gör träd genomskinliga när dölja bosättare,,,,木によって入植者が隠れてしまうとき、木を透明にする,,
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,Pause for notifications,,Pause bei Benachrichtungen,Pause pour les notifications,Pausa per le notifiche,Pausa por notificaciones,Pausar para notificações,,,Пауза для уведомлений,Bildirimler için duraklat,Pause for meddelelser,,Paus för meddelanden,,,,通知を一時停止,,
GUI.OPTIONS.GAMEPLAY.TITLE,"Gameplay Options ",,"Spieleinstellungen ","Options de jeu ",Opzioni di gioco,Opciones de jugabilidad,Opções de Jogo,Opções de Jogo,,Настройки игры,Oyun Ayarları,Gameplay-muligheder,,Spelalternativ,,,,ゲームプレイオプション,,
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,Scroll when cursor is at the edge of the screen,,"Scrollen, wenn der Mauszeiger am Bildschirmrand ist",Faites défiler lorsque le curseur est sur le bord de l'écran,Scorri quando il cursore si trova sul bordo dello schermo,Desplazarse cuando el cursor está en el borde de la pantalla,Role quando o cursor estiver na borda da tela,,,"Прокрутка, когда курсор находится на краю экрана",İmleç ekranın köşesinde iken orta tuş ile kaydır.,"Rul, når markøren er ved kanten af skærmen",,Rulla när markören är vid kanten av skärmen,,,,カーソルが画面の端にあるときにスクロールする,,
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,Scroll to cursor when zooming,,Beim Scrollen zum Mauszeiger zoomen,,,Desplazarse al cursor al hacer zoom,,,,,,,,,,,,ズーム中にカーソルに合わせてスクロールする,,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,Borderless,,Ohne Fensterrahmen,,,Sin bordes,,,,,,,,,,,,ボーダーレス,,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,Exclusive fullscreen,,Exklusiver Vollbildmodus,,,Pantalla completa exclusiva,,,,,,,,,,,,排他的フルスクリーン,,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,Windowed,,Fensermodus,,,En ventana,,,,,,,,,,,,ウインドウモード,,
GUI.OPTIONS.GRAPHICS.TITLE,"Graphics Options ",,"Grafikeinstellungen ","Options graphiques ","Opzioni grafiche ","Ajustes de vídeo ","Opções Gráficas ","Opções Gráficas ",,"Настройки графики ",Grafik Ayarları,Grafikindstillinger,,"Grafikinställningar ",,,,グラフィックオプション,,
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,Allow automatic crash reports,,Automatische Absturzberichte erlauben,Autoriser les rapports d'incident automatiques,Consenti rapporti di arresto anomalo automatico,Permitir informes de fallos automáticos,Permitir relatórios de falhas automáticos,,,Разрешить автоматические отчеты о сбоях,Otomatik çökme raporlarına izin ver.,Tillad automatiske nedbrudsrapporter,,Tillåt automatiska kraschrapporter,,,,自動クラッシュレポートを許可する,,
GUI.OPTIONS.MISC.HINTS_ENABLED,Show hints in-game,,Zeige Hinweise und Tutorials im Spiel,,,Mostrar consejos y tutorial durante la partida,,,,,Oyun içinde ipucu ve öğreticilere izin ver.,,,,,,,ゲーム中にヒントを表示する,,
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,Scroll the background on the main menu,,Scrolle den Hintergrund im Hauptmenü,,,Alternar el fondo en el menú principal,,,,,Ana ekrandaki arka planı kaydır.,,,,,,,メインメニューの背景をスクロールする,,
GUI.OPTIONS.MISC.TITLE,Miscellaneous,,Verschiedenes,Divers,Varie,Varios,Diversos,,,Разное,Çeşitli,Diverse,,Diverse,,,,その他のオプション,,
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,Ask to start the tutorial at game start,,"Fragt, ob das Tutorial beim Spielstart angezeigt werden soll",,,,,,,,,,,,,,,ゲーム開始時にチュートリアルを表示するか尋ねる,,
GUI.OPTIONS.TAB.AUDIO,Audio,,Audio,,,Audio,,,,,Ses,,,,,,,音声,,
GUI.OPTIONS.TAB.GAMEPLAY,Gameplay,,Gameplay,,,Jugabilidad,,,,,Oynanış,,,,,,,ゲームプレイ,,
GUI.OPTIONS.TAB.GRAPHICS,Graphics,,Graphik,,,Vídeo,,,,,Grafikler,,,,,,,グラフィック,,
GUI.OPTIONS.TAB.MISC,Other,,Anderes,,,Otros,,,,,Diğer,,,,,,,その他,,
GUI.OPTIONS.TAB.TWITCH,Twitch,,Twitch,,,Twitch,,,,,Twitch,,,,,,,Twitch,,
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,Twitch Account:,,Twitch Account:,,,Cuenta de Twitch:,,,,,Twitch Hesabı:,,,,,,,Twitchアカウント:,,
GUI.OPTIONS.TWITCH.CODE_LABEL,Code,,Code,,,Código,,,,,Kod,,,,,,,コード,,
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,Twitch account connected,,Twitch Account verbunden,,,Cuenta de Twitch conectada,,,,,Twitch hesabı bağlandı,,,,,,,Twitchアカウントと連携済,,
GUI.OPTIONS.TWITCH.DISCONNECT,Disconnect,,Verbindung getrennt,,,Desconectar,,,,,Bağlantıyı kopart,,,,,,,連携を解除,,
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,Twitch account disconnected,,Twitch Account getrennt,,,Cuenta de Twitch desconectada,,,,,Twitch hesap bağlantısı koparıldı,,,,,,,Twitchアカウントと連携していません,,
GUI.OPTIONS.TWITCH.ENABLED,Twitch integration enabled,,Twitch Integration aktiviert,,,Integración de Twitch habilitada,,,,,Twitch entagrasyonu aktif.,,,,,,,Twitchとの連携を有効にする,,
GUI.OPTIONS.TWITCH.GENERAL_ERROR,An error occured while communicating with Twitch,,Ein Fehler ist während der Kommunikation mit Twitch aufgetreten,,,Ocurrió un error al comunicar con Twitch,,,,,Twitch ile iletişimde bir hata oluştu.,,,,,,,Twitchとの接続にエラーが発生しました,,
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,Click here to connect your Twitch account,,Klicke hier um dich mit deinem Twitch Account zu verbinden,,,Haz click aquí para conectar tu cuenta de Twitch,,,,,Twitch hesabı ile bağlanmak için tıkla,,,,,,,クリックでTwitchアカウントと接続します,,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,Give priority to subscribers,,Gib deinen Abonnenten Vorrang,,,Dar prioridad a los subscriptores,,,,,Abonelere öncelik ver,,,,,,,サブスクライブ者に優先権を与える,,
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,Submit,,Einreichen,,,Enviar,,,,,Gönder,,,,,,,送信,,
GUI.OPTIONS.TWITCH.TITLE,Twitch Integration,,Twitch Integration,,,Integración con Twitch,,,,,Twitch Entagrasyonu,,,,,,,Twitchとの連携機能,,
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,Use viewers as settler names,,Benutze Zuschauer für Siedlernamen,,,Usar viewers como nombres de los colonos,,,,,İzleyicileri vatandaş isimleri olarak gör,,,,,,,入植者の名前として視聴者名を使用,,
GUI.ORDERS.CHOP_WOOD,Chop,,Hacken,Couper,Taglia,Talar,Cortar,Cortar,,Рубить,Kes,Hak,,Hugga,,,,伐採,,
GUI.ORDERS.CLEAR_GROUND,Clear,,Aufräumen,Arracher,Rimuovi,Despejar,Limpar,Limpar,,Расчистить,Temizle,Klar,,Rensa,,,,整地,,
GUI.ORDERS.DIG_CHANNELS,Irrigation,,Bewässerung,,,Irrigación,,,,,,,,,,,,水路掘削,,
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,This order is used to dig channels in the ground.,,"Dieser Befehl wird verwendet, um Kanäle in den Boden zu graben.",,,Esta orden se usa para excavar canales de riego en el suelo,,,,,,,,,,,,地面を掘削し、水路を作ります。,,
GUI.ORDERS.EXTINGUISH_FLAMES,Extinguish,,Löschen,,,Extinguir,,,,,,,,,,,,消火,,
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,This order is used to extinguish fires that are currently burning.,,"Dieser Befehl wird verwendet, um Brände zu löschen, wenn es gerade brennen.",,,Esta orden se usa para extiguir incendios activos,,,,,,,,,,,,燃えている火を消します。,,
GUI.ORDERS.HARVEST_PLANTS,Harvest,,Ernten,"Récolter ",Raccogli,Cosechar,Colher,Colher,,Собирать,Hasat,Høst,,Skörda,,,,収穫,,
GUI.ORDERS.HUNT,Hunt,,Jagen,,,Cazar,,,,,,,,,,,,狩猟,,
GUI.ORDERS.HUNT.TOOLTIP,This order is used to select animals to be hunted.,,"Diese Reihenfolge wird verwendet, welche Tiere gejagt werden sollen.",,,Esta orden se usa para seleccionar los animales a cazar,,,,,,,,,,,,動物を選ぶと、入植者はそれを狩ろうとします。,,
GUI.ORDERS.MINE,Mine,,Graben,Miner,Scava,Excavar,Escavar,Minerar,,Добывать,Kaz,Mine,,Gräva,,,,採掘,,
GUI.ORDERS_LABEL,Orders,,Aufträge,"Ordres ",Ordini,"Órdenes ","Encomendas ",Ordens,,Приказы,Emirler,Ordrer,,Order,,,,命令,,
GUI.PLACE_BRIDGE.HINT,A bridge must cover both sides of the river and be at least 3x3 tiles in size,,Eine Brücke muss beide Seiten des Flusses bedecken und mindestens 3x3 Felder gross sein,Un pont doit couvrir les deux côtés de la rivière et avoir au moins 3x3 tuiles de taille,Un ponte deve coprire entrambi i lati del fiume e avere dimensioni di almeno 3x3 piastrelle,Un puente debe cubrir ambos lados del río y tener al menos 3x3 casillas de tamaño,Uma ponte deve cobrir ambos os lados do rio e ter pelo menos 3x3 telhas de tamanho,,,Мост должен покрывать обе стороны реки и иметь размер не менее 3x3 плитки,Köpri nehirin iki tarafınıda kaplamalı ve en az 3x3 karo olmalı.,En bro skal dække begge sider af floden og være mindst 3x3 fliser i størrelse,,En bro måste täcka båda sidor av floden och vara minst 3x3 plattor i storlek,,,,橋は川の両側を覆い、少なくとも3x3タイルのサイズでなければなりません,,
GUI.PRIORITY_LABEL,Priority,,Priorität,,,Prioridad,,,,,Öncelik,,,,,,,優先度,,
GUI.REMOVE_LABEL,Remove,,Entfernen,Retirer,Rimuovi,Eliminar,Remover,Remover,,Удалить,Kaldır,Fjern,,Ta bort,,,,除去,,
GUI.REMOVE_TILES,Remove tiles,,Felder entfernen,Retirer des cases,Rimuovi caselle,Eliminar casillas,Remover mosaicos,Remover áreas,,Удалить квадраты,Karoları Sil,Fjern fliser,,Ta bort paneler,,,,タイル除去,,
GUI.RESOURCE_MANAGEMENT.TITLE,Resources,,Ressourcen,Ressources,Risorse,Recursos,Recursos,,,людских,Kaynaklar,Ressourcer,,Resurser,,,,資源,,
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,Available: {{count}},,Verfügbar: {{count}},Disponible: {{count}},Disponibile: {{count}},Disponible: {{count}},Disponível: {{count}},,,Доступно: {{count}},"Mevcut: {{count}}  ",Tilgængelig: {{count},,Tillgänglig: {{count}},,,,利用可能:{{count}},,
GUI.ROOFING.ADD,Add,,Hinzufügen,,,Añadir,,,,,,,,,,,,追加,,
GUI.ROTATE_FURNITURE.HINT,Press (R) to rotate furniture,,Zum Rotieren der Möbel (R) drücken,Appuyez sur (R) pour pivoter les meubles,Premi (R) per ruotare le suppellettili,Pulsa (R) para rotar los muebles,Premir (R) para rodar mobília,Aperte (R) para girar a mobília,,"Нажмите (R), чтобы повернуть мебель",Mobilyayı döndürmek içni (R) bas.,Tryk (R) for at rotere møbler,,Tryck på (R) för att rotera möbler,,,,(R) を押すと建築物を回転させます,,
GUI.SAVING_PROMPT,Saving…,,Spiel wird gespeichert…,Sauvegarde en cours...,Salvataggio...,Guardando...,A guardar…,Salvando…,,Сохранение…,Kaydediliyor,Redder...,,Räddar...,,,,セーブ中…,,
GUI.SETTINGS.LABEL,Settings,,Einstellungen,,,Configuración,,,,,,,,,,,,設定,,
GUI.SETTLER_MANAGEMENT.BEDS_COUNTER,Number of beds: {{count}},,Anzahl der Betten:  {{count}},,,Número de camas: {{count}},,,,,,,,,,,,ベッドの数:{{count}},,
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,Dead: {{count}},,Tot: {{count}},Mort: {{count}},Morto: {{count}},Muertos: {{count}},Morto: {{count}},,,Мертвый: {{count}},Ölü: {{count}},Død: {{count}},,Döda: {{count}},,,,死者の数:{{count}},,
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,Population: {{count}},,Bevölkerung: {{count}},Population: {{count}},Popolazione: {{count}},Población: {{count}},População: {{count}},,,Население: {{count}},Popülasyon: {{count}},Befolkning: {{count},,Befolkning: {{count}},,,,入植者の数:{{count}},,
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,Sort by name,,Nach Name sortieren,,,Ordenar por nombre,,,,,İsime göre sırala,,,,,,,名前順でソート,,
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,Sort by unhappiness,,Nach Unzufriedenheit sortieren,,,Ordenar por infelicidad,,,,,Mutsuzluğa göre sırala,,,,,,,不幸な順にソート,,
GUI.SETTLER_MANAGEMENT.TITLE,Settlers,,Siedler,Les colons,Coloni,Colonos,Colonos,,,Поселенцы,Vatandaşlar,Nybyggere,,Nybyggare,,,,入植者,,
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,Total: {{count}},,Gesamt: {{count}},Total: {{count}},Totale: {{count}},Total: {{count}},Total: {{count}},,,Всего: {{count}},Toplam: {{count}},I alt: {{count}},,Totalt: {{count}},,,,合計:{{count}},,
GUI.SOUND_EFFECT_VOLUME,Sound effect volume,,Soundeffektlautstärke,Volume des effets sonores,Volume degli effetti sonori,Volumen de los efectos de sonido,Volume de efeitos sonoros,Volume dos efeitos sonoros,,Громкость эффектов,Ses efekti seviyesi,Lydeffektvolumen,,Ljudeffektvolym,,,,効果音の音量,,
GUI.UI_SCALE,UI scale:,,Interfacegröße,Dimension de l'interface:,Dimensione dell'interfaccia:,Tamaño de la interfaz:,Tamanho da interface:,Tamanho da interface:,,Размер интерфейса:,Arayüz ölçeği:,UI-skala:,,Gränssnittskala:,,,,UIスケール:,,
GUI.VIEW_ROADMAP,View development roadmap,,Entwicklungsroadmap anschauen,,,Ver la hoja de ruta del desarrollo,,,,,Geliştirme yol haritasını görüntüle,,,,,,,開発ロードマップを見る,,
GUI.ZONES_LABEL,Zones,,Zonen,Zones,Zone,Zonas,Áreas,Zonas,,Зоны,Bölgeler,Zoner,,Zoner,,,,ゾーン,,

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,Going sober,,Wird gerade nüchtern,,,Quedándose sobrio,,,,,Ayılıyor,,,,,,,酔いが醒めている,,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,Ate a nicely prepared meal,,Hat eine gute Mahlzeit gegessen,A mangé un repas cuisiné,Mangiato un pasto ben preparato,Comió una comida bien preparada,Comi uma refeição bem preparada,,,Ели красиво приготовленную еду,Güzel hazırlanmış bir yemek yedi,Spiste et pænt tilberedt måltid,,Åt en fint tillagad måltid,,,,おいしい食事を食べた,,
HAPPINESS_MODIFIER.BLEEDING,Bleeding profusely,,"Stark blutend ",,,Sangrando en profusión,,,,,,,,,,,,大量に出血した,,
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,Carried a dead body,,Trug einen toten Körper,A porté un cadavre,Portava un cadavere.,Llevó un cadáver.,Carregava um cadáver,,,У него труп,Bir ceset taşıdı,Brevet et lig,,Bär en död kropp,,,,死体を運んだ,,
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,Caught outside in the rain,,War draußen im Regen,,,Le pilló la lluvia fuera,,,,,,,,,,,,雨に濡れた,,
HAPPINESS_MODIFIER.DRANK_ALCOHOL,Under the effects of alcohol,,Unter Alkoholeinfluss,,,Bajo los efectos del alcohol,,,,,Alkolün etksii altında,,,,,,,飲酒した,,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,Drank river water,,Trank Flusswasser,A bu de l'eau de rivière,Bevuto acqua di fiume,Bebió agua del río,Bebeu água do rio,,,Пьянь речной воды,Nehir suyu içti,Drak floden vand,,Drack flod vatten,,,,川の水を飲んだ,,
HAPPINESS_MODIFIER.DYING_OF_HUNGER,Starving,,Am Verhungern,- Affamé,Morendo di fame,Muerto de hambre,Morrendo de fome,,,Голод,Açlıktan Ölüyor,Sulter,,Svältande,,,,飢えている,,
HAPPINESS_MODIFIER.DYING_OF_THIRST,Critically dehydrated,,Am Verdursten,Déshydraté de façon critique,Disidratati criticamente,Deshidratado críticamente,Criticamente desidratado,,,Критически обезвоженные,Tehlikeli seviyede susuz,Kritisk dehydreret,,Kritiskt uttorkad,,,,脱水症状に陥った,,
HAPPINESS_MODIFIER.HAD_A_TANTRUM,Had a tantrum,,Hatte einen Wutanfall,,,Pilló un berrinche,,,,,,,,,,,,かんしゃくを起こした,,
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,Optimistic about new settlement,,Optimistisch wegen neuer Siedlung,Optimiste quant à la nouvelle colonisation,Ottimista sul nuovo insediamento,Optimista sobre el nuevo asentamiento,Otimista sobre o novo assentamento,,,Оптимистичный подход к новому поселению,Yeni yerleşim yeri hakkında umutlu,Optimistisk om nye forlig,,Optimistiska om ny bosättning,,,,新しい入植地に希望を抱いている,,
HAPPINESS_MODIFIER.ON_FIRE,Was badly burned,,Hat sich schwer verbrannt,,,Se quemó mucho,,,,,,,,,,,,熱傷を負った,,
HAPPINESS_MODIFIER.POISONED,Poisoned,,Vergiftet,Empoisonné,Avvelenato,Envenenado,Envenenado,,,Отравлен,Zehirlendi,Forgiftet,,Förgiftad,,,,毒を受けた,,
HAPPINESS_MODIFIER.SAW_DEAD_BODY,Saw a dead body,,Sah einen toten Körper,J'ai vu un cadavre,Ho visto un cadavere.,Vio un cadáver,Vi um cadáver.,,,Видел труп,Ceset gördü,Så et lig,,Såg en död kropp,,,,死体を見た,,
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,Slept in the rain,,Musste im Regen schlafen,,,Durmió bajo la lluvia,,,,,,,,,,,,雨の中で眠った,,
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,Slept in the snow,,Musste im Schee schlafen,,,Durmió bajo la nevada,,,,,,,,,,,,雪の中で眠った,,
HAPPINESS_MODIFIER.SLEPT_IN_ENCLOSED_BEDROOM,Slept in an enclosed bedroom,,Schlief in einem abgeschlossenen Schlafzimmer,,,Durmió en dormitorio cerrado,,,,,,,,,,,,屋内の寝室で眠った,,
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,"Slept in a spacious, private bedroom",,"Schlief in einem geräumigen, eigenen Schlafzimmer",A dormi dans une chambre spacieuse et individuelle,Dormiva in una spaziosa camera da letto privata,Durmió en un dormitorio privado y espacioso,Dormi em um quarto espaçoso e privado,,,"Спал в просторной, отдельной спальне",Kişisel ve geniş bir yatak odasında uyudu,"Sov i et rummeligt, privat soveværelse",,"Sov i ett rymligt, privat sovrum",,,,広々とした個室で眠った,,
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,Shared a bedroom with others,,Teilte ein Schlafzimmer mit anderen,A partagé une chambre avec d'autres colons,Condividere una camera da letto con gli altri,Compartió un dormitorio con otros,Compartilhou um quarto com outras pessoas,,,Общая спальня с другими,Başkaları ile oda paylaştı,Delt soveværelse med andre,,Delat sovrum med andra,,,,寝室を他人と共有した,,
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,Slept in a cramped bedroom,,Schlief in einem beengten Schlafzimmer,A dormi dans une chambre étroite,Dormiva in una camera da letto angusta,Durmió en un dormitorio pequeño,Dormi em um quarto apertado,,,Спал в стесненных спальнях,Sıkış tıkış bir odada uyudu,Sov i et trangt soveværelse,,Sov i ett trångt sovrum,,,,窮屈な寝室で眠った,,
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,Slept on rough ground,,Schlief auf rauem Boden,A dormi sur sol rugueux,Dormiva su terreni accidentati,Durmió sobre el duro suelo,Dormiu em terreno acidentado,,,Спал на грубой земле,Schlief auf rauem Boden,Sovet på hårdt underlag,,Sov på grov mark,,,,荒れた地面の上で眠った,,
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,Slept under the stars,,Schlief unter den Sternen,A dormi sous les étoiles,Dormiva sotto le stelle,Durmió bajo las estrellas,Dormiu sob as estrelas,,,Спал под звездами,Yıldızların altında uyudu,Sov under stjernerne,,Sov under stjärnorna,,,,星の下で眠った,,
HAPPINESS_MODIFIER.TITLE,Happiness:,,Zufriedenheit:,Bonheur:,Felicità:,Felicidad:,Felicidade:,,,Счастье:,Mutluluk:,Lykke:,,Lycka:,,,,幸福度:,,
HAPPINESS_MODIFIER.VERY_HUNGRY,Very hungry,,Sehr hungrig,Très faim,Molto affamato,Muy hambriento,Muito faminta.,,,Очень голодный,Çok aç,Meget sulten,,Mycket hungrig,,,,とても空腹,,
HAPPINESS_MODIFIER.VERY_THIRSTY,Very thirsty,,Sehr durstig,Très soif,Molto sete,Muy sediento,Muito sedento.,,,Очень хочется пить,Aşırı susamış,Meget tørstig,,Mycket törstig,,,,とても渇いている,,
HAPPINESS_MODIFIER.VERY_TIRED,Extremely tired,,Extrem müde,Extrêmement fatigué,Estremamente stanco,Extremadamente cansado,Extremamente cansado,,,Очень устал,Aşırı yorgun,Ekstremt træt,,Extremt trött,,,,非常に疲れている,,
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,Worked in an enclosed room,,Arbeitete in einen abgeschlossenen Raum,,,Trabajó en una habitación cerrada,,,,,,,,,,,,屋内で作業している,,
HAPPINESS_MODIFIER.WORKED_IN_RAIN,Working in the rain,,Hat im Regen gearbeitet,,,Trabajando bajo la lluvia,,,,,,,,,,,,雨にうたれながら作業している,,

